role_id,domain,direction,role_name,role_definition,core_boundary,status
structural_engineering,智能系统与端侧,芯片与计算硬件,结构工程师,设计产品机械结构材料和装配方案,以结构设计为主要交付,active
thermal_engineering,智能系统与端侧,芯片与计算硬件,热设计工程师,设计散热热仿真和热管理方案,以热设计和散热为主要交付,active
robotics_software,智能系统与端侧,机器人与自动驾驶,机器人软件工程师,构建机器人中间件控制软件或应用系统,以机器人软件集成为主要交付,active
communication_engineering,智能系统与端侧,通信与多媒体终端,通信工程师,构建无线通信协议网络或通信系统,以通信链路和协议系统为主要交付,active
graphics_engineering,智能系统与端侧,通信与多媒体终端,图形图像工程师,构建图形渲染图像处理或视觉呈现系统,以图形图像工程为主要交付,active
game_technical_artist,智能系统与端侧,通信与多媒体终端,游戏技术美术,实现游戏美术资产的技术表现和工具链,以引擎材质Shader视觉性能和美术工具为主要交付,active
audio_video_engineering,智能系统与端侧,通信与多媒体终端,音视频工程师,构建音视频采集编解码传输或播放系统,以音视频系统为主要交付,active
test_development,测试质量与技术服务,测试与质量,测试开发工程师,开发自动化测试框架工具和质量保障系统,以测试工程化为主要交付,active
software_testing,测试质量与技术服务,测试与质量,测试工程师,执行软件测试设计用例和定位质量问题,以测试验证为主要交付,active
quality_engineering,测试质量与技术服务,测试与质量,质量工程师,建设质量体系度量和质量改进机制,以质量治理为主要交付,active
model_testing,测试质量与技术服务,测试与质量,大模型测试工程师,评测模型能力安全性稳定性和应用效果,以AI模型评测为主要交付,active
technical_support,测试质量与技术服务,技术支持与解决方案,技术支持工程师,为技术产品提供部署排障和客户技术支持,以技术支持和故障解决为主要交付,active
solution_engineering,测试质量与技术服务,技术支持与解决方案,解决方案工程师,将产品能力转化为客户技术方案和交付设计,以技术方案设计和售前交付为主要交付,active
product_manager,数字产品与体验,产品管理,产品经理,负责数字产品的用户问题、需求方案、迭代验证和跨团队落地,以产品需求、方案和效果迭代为主要交付；不因行业、城市或业务线单独拆岗,active
data_product_manager,数字产品与体验,产品管理,数据产品经理,负责数据资产、指标、分析平台或数据服务产品的需求与产品化落地,交付数据产品和数据服务能力；不等同于数据分析师、数据工程师或通用产品经理,active
technical_product_manager,数字产品与体验,产品管理,技术产品经理,负责技术平台、开发者平台或基础设施产品的需求、方案和产品迭代,产品对象是技术平台/基础设施并要求技术方案理解；不等同于软件架构师或项目经理,active
security_compliance_engineer,云网与安全,网络与网络安全,安全合规工程师,负责信息安全制度、风险评估、审计认证、隐私与数据安全合规整改,以治理、审计、认证和合规整改为主要交付；不等同于安全运营或攻防研发,active
research_development_project_manager,数字产品与体验,项目与交付管理,研发项目经理,负责软件、AI、数据或研发基础设施项目的计划、依赖、资源、风险和里程碑,项目对象是内部研发交付；不负责产品路线决策，也不以客户实施验收为主要产出,active
game_project_manager,数字产品与体验,项目与交付管理,游戏项目经理,负责游戏研发、版本、发行、本地化或美术制作的计划协同与交付,项目对象明确为游戏产品；不等同于游戏策划、游戏产品经理或通用研发项目经理,active
delivery_project_manager,数字产品与体验,项目与交付管理,交付项目经理,负责客户项目实施、部署、上线、验收和交付问题闭环,客户实施和交付结果是主要产出；不等同于内部研发项目计划管理,active
it_project_manager,数字产品与体验,项目与交付管理,IT项目经理,负责企业信息化、IT系统、云计算、数据中心或IT安全项目的需求、方案、治理和交付,项目对象是企业IT建设与治理；不等同于研发项目经理或仅负责客户验收的交付项目经理,active
ui_ux_design,数字产品与体验,用户体验设计,UI/UX设计师,负责数字产品的界面、交互和用户体验方案并跟进设计落地,以界面/交互/体验设计交付为主；不等同于前端开发或游戏策划,active
