case_id,review_decision,final_canonical_role_id,new_role_candidate_name,review_evidence
role_pool_v1_095,replace_existing,operations_engineering,,监控告警容灾SRE和CI/CD稳定性保障是主要交付
role_pool_v1_096,new_role_candidate,,数据中心暖通工程师,数据中心暖通设计标准和图纸审核构成独立设施岗位
role_pool_v1_097,exclude_out_of_scope,,,类目和品类运营不属于技术岗位
role_pool_v1_098,new_role_candidate,,电磁兼容工程师,EMC电磁兼容职责有独立工程边界但正文证据较少
role_pool_v1_099,replace_existing,ml_algorithm,,通用机器学习建模训练部署和效果迭代是主要交付
role_pool_v1_100,replace_existing,hardware_engineering,,服务器CPU GPU内存网卡硬件架构是主要交付
role_pool_v1_101,accept_proposal,ai_product,,AI SaaS产品规划API边界和商业化落地是主要交付
role_pool_v1_102,accept_proposal,cybersecurity_engineering,,隐私风险平台开发和隐私SDLC技术建设属于网络安全工程
role_pool_v1_103,replace_existing,software_architecture,,高并发零售领域架构和领域模型设计是主要交付
role_pool_v1_104,new_role_candidate,,游戏技术美术,Unity渲染Shader和美术工具链构成独立岗位边界
role_pool_v1_105,accept_proposal,ai_product,,AI财务产品规划模型需求和产品迭代是主要交付
role_pool_v1_106,accept_proposal,cybersecurity_engineering,,隐私合规数据安全治理与技术基建是主要交付
role_pool_v1_107,replace_existing,operations_engineering,,多云运维监控告警IaC和AIOps是主要交付
role_pool_v1_108,replace_existing,data_engineering,,数仓建模流批数据链路和AI数据底座是主要交付
role_pool_v1_109,exclude_out_of_scope,,,艺术商品选品采购和运营不属于技术岗位
role_pool_v1_110,accept_proposal,cybersecurity_engineering,,企业安全风险度量治理和多安全域建设是主要交付
role_pool_v1_111,insufficient_evidence,,,搜索推荐广告三种独立算法职责并列且未说明主要交付
role_pool_v1_112,replace_existing,hardware_engineering,,CPU GPU SoC部件选型和硬件系统方案是主要交付
role_pool_v1_113,accept_proposal,backend_engineering,,搜索运营平台服务端系统设计和分布式工程是主要交付
role_pool_v1_114,new_role_candidate,,安全治理运营工程师,安全战略项目交付和安全文化运营区别于安全研发与攻防
role_pool_v1_115,replace_existing,client_engineering,,iOS原生和Flutter跨端应用开发是主要交付
role_pool_v1_116,replace_existing,hardware_engineering,,服务器硬件架构和设备级技术选型是主要交付
role_pool_v1_117,accept_proposal,test_development,,服务端测试开发和自动化质量保障是主要交付
role_pool_v1_118,new_role_candidate,,隐私合规工程师,数据隐私法规PIA DPIA和合规治理具有独立能力边界
role_pool_v1_119,replace_existing,ai_application,,智能客服多Agent和LLM应用落地是主要交付
role_pool_v1_120,replace_existing,data_engineering,,数据仓库流批链路和AI数据底座是主要交付
