case_id,option_rank,job_id,job_title,canonical_role_id,canonical_role,standard_category,standard_direction,required_skills,job_description,human_accept,human_reason,job_title_label,expert_gpt_grade_0_to_3,expert_gpt_accept,expert_gpt_shared_skill_count,expert_gpt_reason,annotator
CM-079,5,JOB00004,资深产品经理（ 智能体方向）-火山引擎,ai_product,AI产品经理,AI应用与平台,AI平台与产品,[],"1、产品战略与愿景定义：基于市场趋势与客户痛点，独立负责AI Agent产品的战略规划与愿景设计，清晰定义产品核心价值主张与路线图（产品路径图）；
2、全链路产品设计与迭代：负责从需求分析、用户研究、信息架构设计到高保真原型产出的全流程；重点设计Agent的执行引擎抽象、插件化架构交互、多租户安全体系等产品体验，确保技术可行性与业务价值的统一；
3、To B企业级产品落地：深度参与AI产品在生产环境的特性设计，包括安全合规、权限控制、生命周期管理、监控告警、容错机制等，确保产品满足企业级客户的严苛要求；
4、技术与业务桥梁构建：作为业务、研发、市场三方的核心纽带，准确翻译业务需求为技术语言，驱动研发团队高效交付，并对产品上线后的数据表现与用户反馈进行持续迭代优化；
5、行业方案与商业化赋能：结合垂类行业（如私域运营、客户服务等）场景，沉淀标准化的AI Agent产品解决方案，参与售前方案设计与客户成功，推动产品商业化。
1、本科及以上学历，5年及以上AI领域产品经验，其中至少3年专注于AI大模型、Agent智能体或相关技术产品方向的资深经验；
2、深刻理解AI大模型应用、RAG架构、函数调用（Tool Use）、Prompt工程等技术原理，并能转化为产品能力；有To B企业级AI产品落地经验者优先；
3、具备优秀的系统设计能力，能够理解并设计插件化、可扩展、可热插拔的Agent产品架构，具备复杂业务逻辑建模和跨系统产品设计经验；
4、具备较强的技术理解力和沟通能力，能与研发、算法工程师顺畅协作，有效推动技术方案落地；熟悉Go/Java/Python等至少一种开发语言者将极大加分；
5、具备敏锐的商业洞察力，以结果为导向，能够平衡短期交付与长期战略，驱动产品从0到1再到N的规模化成功；
6、自驱力强，具备优秀的项目管理能力和跨团队协作能力，能在快速变化的环境中推动复杂项目顺利完成。
该岗位主要是即时零售产品规划、场景梳理、多产品线协同、用户需求转化、产品数据评估等产品能力，没有明确可抽取的计算机技术关键词
即时零售",,,AI产品经理,0,no,0,标准岗位不同，且缺少足够的职责与技能证据。,expert_gpt_v1
CM-080,1,JOB10233,数据科学实习生,data_analysis,数据分析师,数据智能,数据分析与数据库,"[""SQL"", ""概率统计"", ""机器学习"", ""因果推断"", ""R"", ""Python""]","1.通过数据分析支持推荐搜索等业务，通过实验设计、机器学习方法、专题分析等方式解决推荐和搜索场景中的实际问题，推动产品策略不断优化。
2. 应用前沿统计推断技术，不断促进平台在线实验的科学性和先进性。
3. 负责业务核心指标的监控、分析和异动归因。
1、逻辑思维能力强，有一定的产品或商业sense；
2、熟练掌握SQL（有SQL笔试环节），有概率统计和机器学习基础，了解常见因果推断方法，熟悉R/Python者优先；
3、能保证实习时间（可连续实习6个月+）
4、自驱、目标导向；沟通能力强；
5、对互联网、内容行业及未来科技有强烈兴趣，有相关实习经验者优先。
要求熟练SQL，具备概率统计和机器学习基础，了解因果推断，熟悉R/Python优先。
数据科学",,,数据分析师,3,yes,4,标准岗位一致，命中4/6项JD技能，职责方向一致。,expert_gpt_v1
CM-080,2,JOB10957,微信小店-数据科学,data_analysis,数据分析师,数据智能,数据分析与数据库,"[""数据科学"", ""SQL"", ""Hive"", ""Python"", ""海量数据处理"", ""机器学习"", ""因果推断"", ""检验方法优化""]","1.负责商业交易数据的收集、整理与分析，开展产品、运营、推荐等业务策略洞察分析，为业务提供决策支持；
2.深入理解业务逻辑，通过数据分析挖掘潜在问题，提出优化建议；
3.与产品团队协作，科学地进行A/B Testing和因果推断，配合业务方不断迭代策略；
4.跨部门协作，支持各部门的数据需求，提升整体运营效率；
5.定期输出数据报告，为管理层提供决策依据。
1.1年以上数据科学相关岗位的工作经验；
2.计算机科学、数据科学、机器学习、统计学、应用数学等领域本科及以上学历；
3.熟练使用SQL/Hive/Python等，具备海量数据处理、机器学习、因果推断等经验；
4.熟悉A/B Testing领域的专业知识，能够探索和优化检验方法；
5.具备敏锐的数据洞察力和严谨的逻辑思维能力，有系统性方法论的沉淀；
6.良好的沟通能力和团队合作精神，能够在快节奏的环境中工作。
要求熟练使用SQL/Hive/Python，具备海量数据处理、机器学习、因果推断和A/B Testing检验方法优化经验。
电商数据科学",,,数据分析师,3,yes,5,标准岗位一致，命中5/8项JD技能，职责方向一致。,expert_gpt_v1
CM-080,3,JOB09819,萝卜快跑供给效率数据分析实习（J98298）,data_analysis,数据分析师,数据智能,数据分析与数据库,"[""实验设计"", ""SQL"", ""海量数据处理"", ""Python"", ""Pandas"", ""NumPy"", ""scikit-learn"", ""Tableau"", ""Power BI"", ""FineBI"", ""Metabase"", ""数据可视化""]","1.支持团队经营数据监控，解读工作，参与异动归因能力自动化建设；
2.看清供给时长分布现状，配合完成对应不可售卖原因分析；
3.梳理团队核心指标体系，挖掘B端时长提升潜在优化方向；
4.支持各场景实验设计&评估，包括不限于时间片轮转、did和单因素随机实验；
1.本科及以上学历，数学、统计学、计算机科学、运筹学等相关专业优先；
2.熟悉各实验理论，熟练使用 SQL，能够高效地查询和处理海量数据；
3.熟练使用至少一种数据分析工具，如 Python（Pandas, NumPy, Scikit-learn 等）；
4.熟练使用数据可视化工具，如 Tableau、Power BI、FineBI 或 Metabase 等。
要求熟悉实验理论，熟练SQL和海量数据处理，掌握Python、Pandas、NumPy、scikit-learn等数据分析工具，熟悉Tableau、Power BI、FineBI或Metabase。
供给效率数据分析",,,数据分析师,3,yes,7,标准岗位一致，命中7/12项JD技能，职责方向一致。,expert_gpt_v1
CM-080,4,JOB00003,软件开发,agent_application,智能体应用工程师,AI应用与平台,智能体与大模型应用,"[""AI工程系统架构"", ""大模型工作流"", ""Agent"", ""Agent系统架构"", ""Prompt工程"", ""长文本处理"", ""Function Calling"", ""RAG"", ""多Agent协同"", ""工作流编排"", ""任务调度"", ""异常自愈"", ""根因定位"", ""LLM工程化""]","1. 主导智能化Agent架构设计，整合Prompt工程、长文本处理、Function Calling与RAG等核心能力；
2. 构建多Agent协同工作流机制，实现任务自动拆解、调度与异常自愈；
3. 推动AI能力与现有工程体系深度融合，建立反馈闭环优化模型自修正能力；
4. 制定智能用例生成等场景落地路径，完成从架构搭建到闭环验证的全流程交付；
5. 总结LLM工程化与Agent架构实践，形成可复用技术方案指导团队提升。
1. 具备AI驱动的工程系统架构经验，主导过大模型工作流从0到1搭建，熟悉复杂任务自主拆解与执行；
2. 拥有智能化Agent协同系统的实际开发经验，熟悉在主流平台中落地AI能力以提升研发效率的路径；
3. 能够主导基于大模型的Agent系统架构设计，整合Prompt工程、长文本处理、Function Calling与RAG等核心技术；
4. 能够设计多Agent协同的工作流编排机制，实现任务自动调度与异常自愈，并具备从问题表象定位底层原因的能力；
5. 致力于将AI技术深度融入研发流程，敢于探索新型应用模式并推动关键突破；
6. 符合京东价值观：客户为先、创新、拼搏、担当、感恩、诚信。
主导过大模型工作流从0到1搭建; 熟悉复杂任务自主拆解与执行; 拥有智能化Agent协同系统实际开发经验; 能够主导基于大模型的Agent系统架构设计; 能够设计多Agent协同的工作流编排机制",,,智能体应用工程师,0,no,0,标准岗位不同，且缺少足够的职责与技能证据。,expert_gpt_v1
CM-080,5,JOB00004,资深产品经理（ 智能体方向）-火山引擎,ai_product,AI产品经理,AI应用与平台,AI平台与产品,[],"1、产品战略与愿景定义：基于市场趋势与客户痛点，独立负责AI Agent产品的战略规划与愿景设计，清晰定义产品核心价值主张与路线图（产品路径图）；
2、全链路产品设计与迭代：负责从需求分析、用户研究、信息架构设计到高保真原型产出的全流程；重点设计Agent的执行引擎抽象、插件化架构交互、多租户安全体系等产品体验，确保技术可行性与业务价值的统一；
3、To B企业级产品落地：深度参与AI产品在生产环境的特性设计，包括安全合规、权限控制、生命周期管理、监控告警、容错机制等，确保产品满足企业级客户的严苛要求；
4、技术与业务桥梁构建：作为业务、研发、市场三方的核心纽带，准确翻译业务需求为技术语言，驱动研发团队高效交付，并对产品上线后的数据表现与用户反馈进行持续迭代优化；
5、行业方案与商业化赋能：结合垂类行业（如私域运营、客户服务等）场景，沉淀标准化的AI Agent产品解决方案，参与售前方案设计与客户成功，推动产品商业化。
1、本科及以上学历，5年及以上AI领域产品经验，其中至少3年专注于AI大模型、Agent智能体或相关技术产品方向的资深经验；
2、深刻理解AI大模型应用、RAG架构、函数调用（Tool Use）、Prompt工程等技术原理，并能转化为产品能力；有To B企业级AI产品落地经验者优先；
3、具备优秀的系统设计能力，能够理解并设计插件化、可扩展、可热插拔的Agent产品架构，具备复杂业务逻辑建模和跨系统产品设计经验；
4、具备较强的技术理解力和沟通能力，能与研发、算法工程师顺畅协作，有效推动技术方案落地；熟悉Go/Java/Python等至少一种开发语言者将极大加分；
5、具备敏锐的商业洞察力，以结果为导向，能够平衡短期交付与长期战略，驱动产品从0到1再到N的规模化成功；
6、自驱力强，具备优秀的项目管理能力和跨团队协作能力，能在快速变化的环境中推动复杂项目顺利完成。
该岗位主要是即时零售产品规划、场景梳理、多产品线协同、用户需求转化、产品数据评估等产品能力，没有明确可抽取的计算机技术关键词
即时零售",,,AI产品经理,0,no,0,标准岗位不同，且缺少足够的职责与技能证据。,expert_gpt_v1
CM-081,1,JOB06410,数据开发实习生-业务中台,data_engineering,数据工程师,数据智能,数据工程与治理,"[""SQL"", ""Python"", ""Hive"", ""Spark"", ""Kafka"", ""Flink""]","ByteIntern：面向2027届毕业生（2026年9月-2027年8月期间毕业），为符合岗位要求的同学提供转正机会。
团队介绍：团队负责公司多个跨产品业务方向，提供可复用的平台能力及技术解决方案。负责为公司多业务提供如地理位置、行业数据等多类型的中台能力与技术解决方案，积极利用人工智能等技术进行中台能力提效与升级；
加入我们，你将有机会从中台的多视角参与业务建设，感受不同类型/阶段的业务特点；通过用户场景的开发和架构工作，学习和解决极富挑战的技术问题；你也可以从数据出发，积极利用策略和模型，为业务提供有价值的助力。

1、理解并抽象业务需求，进行合理的数据仓库架构设计、建模、ETL开发、指标看板建设；
2、参与数据治理工作，提升数据易用性及数据质量，保障核心数据生产SLA；
3、总结抽象适用于业务的科学的数据研究方法论，发挥数据价值，与分析师、研发&产品团队紧密合作，推进地理中台能力在各业务场景中的应用。
1、2027届本科及以上学历在读，计算机等相关专业优先；
2、具备较强的编码能力，熟悉SQL、Python、Hive、Spark、Kafka、Flink中的多项，有数据挖掘经验优先；
3、善于沟通，积极主动，具备较好的数理逻辑和业务好奇心。
熟悉SQL、Python、Hive、Spark、Kafka、Flink中的多项，有数据挖掘经验优先。
业务中台; 数据开发",,,数据工程师,3,yes,6,标准岗位一致，命中6/6项JD技能，职责方向一致。,expert_gpt_v1
CM-081,2,JOB02114,数据仓库开发工程师-国际化业务,data_engineering,数据工程师,数据智能,数据工程与治理,"[""SQL"", ""Python"", ""Java"", ""Hive"", ""Spark"", ""Kafka"", ""Flink""]","1、负责数据仓库架构设计、建模和ETL开发；
2、参与数据ETL流程的优化并解决海量数据ETL相关技术问题；
3、参与复杂数据链路依赖和多元数据内容生态下的数据治理工作；
4、背靠字节跳动强大的中台架构和产品体系，在业务快速落地数据解决方案。
1、精通数据仓库实施方法论、深入了解数据仓库体系，并支撑过实际业务场景；
2、具备较强的编码能力，熟练掌 SQL/Python/Java/Hive/Spark/Kafka/Flink中的多项；
3、对数据敏感，认真细致，善于从数据中发现疑点；
4、善于沟通，具备优秀的技术与业务结合能力；
5、较好的英文沟通能力是加分项。
要求精通数据仓库体系; 熟悉SQL、Python、Java、Hive、Spark、Kafka、Flink多项
国际化业务; 数据仓库开发",,,数据工程师,3,yes,6,标准岗位一致，命中6/7项JD技能，职责方向一致。,expert_gpt_v1
CM-081,3,JOB06405,大数据开发实习生-业务中台,data_engineering,数据工程师,数据智能,数据工程与治理,"[""SQL"", ""Python"", ""Hive"", ""Spark"", ""Kafka"", ""Flink"", ""大数据开发""]","日常实习：面向全体在校生，为符合岗位要求的同学提供为期3个月及以上的项目实践机会。
团队介绍：团队负责公司多个跨产品业务方向，提供可复用的平台能力及技术解决方案。我们为公司多业务提供如地理位置、行业数据、舆情、众包标注、中间件等多类型的中台能力与技术解决方案，积极利用AI等技术做中台能力提效与升级。
加入我们，你将有机会从中台的多视角参与业务建设，感受不同类型/阶段的业务特点；通过投身亿级用户场景的开发&架构工作，学习和解决极富挑战的技术问题；你也可以从数据出发，积极利用策略和模型，为业务提供有价值的助力。

1、理解并抽象业务需求，进行合理的数据仓库架构设计、建模、ETL开发、指标看板建设；
2、参与数据治理工作，提升数据易用性及数据质量，保障核心数据生产SLA；
3、总结抽象适用于业务的科学的数据研究方法论，发挥数据价值，与分析师、研发&产品团队紧密合作，推进地理中台能力在各业务场景中的应用。
1、本科及以上学历在读，计算机等相关专业优先；
2、具备较强的编码能力，熟悉SQL，Python，Hive，Spark，Kafka，Flink中的多项，有数据挖掘经验优先；
3、善于沟通，积极主动，具备较好的数理逻辑和业务好奇心。
熟悉SQL、Python、Hive、Spark、Kafka、Flink中的多项，有数据挖掘经验优先。
业务中台; 大数据开发",,,数据工程师,3,yes,6,标准岗位一致，命中6/7项JD技能，职责方向一致。,expert_gpt_v1
CM-081,4,JOB00003,软件开发,agent_application,智能体应用工程师,AI应用与平台,智能体与大模型应用,"[""AI工程系统架构"", ""大模型工作流"", ""Agent"", ""Agent系统架构"", ""Prompt工程"", ""长文本处理"", ""Function Calling"", ""RAG"", ""多Agent协同"", ""工作流编排"", ""任务调度"", ""异常自愈"", ""根因定位"", ""LLM工程化""]","1. 主导智能化Agent架构设计，整合Prompt工程、长文本处理、Function Calling与RAG等核心能力；
2. 构建多Agent协同工作流机制，实现任务自动拆解、调度与异常自愈；
3. 推动AI能力与现有工程体系深度融合，建立反馈闭环优化模型自修正能力；
4. 制定智能用例生成等场景落地路径，完成从架构搭建到闭环验证的全流程交付；
5. 总结LLM工程化与Agent架构实践，形成可复用技术方案指导团队提升。
1. 具备AI驱动的工程系统架构经验，主导过大模型工作流从0到1搭建，熟悉复杂任务自主拆解与执行；
2. 拥有智能化Agent协同系统的实际开发经验，熟悉在主流平台中落地AI能力以提升研发效率的路径；
3. 能够主导基于大模型的Agent系统架构设计，整合Prompt工程、长文本处理、Function Calling与RAG等核心技术；
4. 能够设计多Agent协同的工作流编排机制，实现任务自动调度与异常自愈，并具备从问题表象定位底层原因的能力；
5. 致力于将AI技术深度融入研发流程，敢于探索新型应用模式并推动关键突破；
6. 符合京东价值观：客户为先、创新、拼搏、担当、感恩、诚信。
主导过大模型工作流从0到1搭建; 熟悉复杂任务自主拆解与执行; 拥有智能化Agent协同系统实际开发经验; 能够主导基于大模型的Agent系统架构设计; 能够设计多Agent协同的工作流编排机制",,,智能体应用工程师,0,no,0,标准岗位不同，且缺少足够的职责与技能证据。,expert_gpt_v1
CM-081,5,JOB00004,资深产品经理（ 智能体方向）-火山引擎,ai_product,AI产品经理,AI应用与平台,AI平台与产品,[],"1、产品战略与愿景定义：基于市场趋势与客户痛点，独立负责AI Agent产品的战略规划与愿景设计，清晰定义产品核心价值主张与路线图（产品路径图）；
2、全链路产品设计与迭代：负责从需求分析、用户研究、信息架构设计到高保真原型产出的全流程；重点设计Agent的执行引擎抽象、插件化架构交互、多租户安全体系等产品体验，确保技术可行性与业务价值的统一；
3、To B企业级产品落地：深度参与AI产品在生产环境的特性设计，包括安全合规、权限控制、生命周期管理、监控告警、容错机制等，确保产品满足企业级客户的严苛要求；
4、技术与业务桥梁构建：作为业务、研发、市场三方的核心纽带，准确翻译业务需求为技术语言，驱动研发团队高效交付，并对产品上线后的数据表现与用户反馈进行持续迭代优化；
5、行业方案与商业化赋能：结合垂类行业（如私域运营、客户服务等）场景，沉淀标准化的AI Agent产品解决方案，参与售前方案设计与客户成功，推动产品商业化。
1、本科及以上学历，5年及以上AI领域产品经验，其中至少3年专注于AI大模型、Agent智能体或相关技术产品方向的资深经验；
2、深刻理解AI大模型应用、RAG架构、函数调用（Tool Use）、Prompt工程等技术原理，并能转化为产品能力；有To B企业级AI产品落地经验者优先；
3、具备优秀的系统设计能力，能够理解并设计插件化、可扩展、可热插拔的Agent产品架构，具备复杂业务逻辑建模和跨系统产品设计经验；
4、具备较强的技术理解力和沟通能力，能与研发、算法工程师顺畅协作，有效推动技术方案落地；熟悉Go/Java/Python等至少一种开发语言者将极大加分；
5、具备敏锐的商业洞察力，以结果为导向，能够平衡短期交付与长期战略，驱动产品从0到1再到N的规模化成功；
6、自驱力强，具备优秀的项目管理能力和跨团队协作能力，能在快速变化的环境中推动复杂项目顺利完成。
该岗位主要是即时零售产品规划、场景梳理、多产品线协同、用户需求转化、产品数据评估等产品能力，没有明确可抽取的计算机技术关键词
即时零售",,,AI产品经理,0,no,0,标准岗位不同，且缺少足够的职责与技能证据。,expert_gpt_v1
CM-082,1,JOB05139,数据治理实习生-隐私和数据保护办公室,data_governance,数据治理工程师,数据智能,数据工程与治理,"[""算法模型识别"", ""SQL"", ""Python"", ""Spark"", ""Hive"", ""大数据处理"", ""数据治理""]","日常实习：面向全体在校生，为符合岗位要求的同学提供为期3个月及以上的项目实践机会。
团队介绍：我们是字节跳动隐私与数据保护核心团队，联动法律、安全、研发等多方力量，为全球数亿用户构建第一道数据安全防线。聚焦隐私合规落地、数据风险防控，在超150个国家/地区的复杂隐私、数据合规场景中，构建全生命周期数据安全方案，以“隐私+数据”双通道驱动保护创新。
为什么加入我们？
1、全球化核心战场：加入支撑字节跳动国际化生态的关键团队，主导服务数亿用户的隐私安全体系，同字节跳动系产品一起定义行业标准；
2、硬核能力历练：攻克数亿级数据防护，横跨美洲、欧盟、东南亚等法律差异等难题，沉淀覆盖多区域的合规技术视野；
3、多元成长生态：融入跨多国家多城市的协作团队，参与行业隐私标杆项目，在文化碰撞中解锁国际化合规实战经验。

1、支持数据分类和分类方法和标准，识别和标记存储中的各种数据样本，并确保准确性和召回率；
2、支持算法及LLM模型识别优化，梳理数据分类分级识别的建议和依据，参与识别模型改进方案讨论；
3、深入理解业务，调研各业务线数据样本，完善数据标签和样本库分类标准；
4、调研LLM落地场景，搭建数据链路，支持提升数据分类效率和质量。
1、本科及以上学历在读，信息安全、计算机、数学等相关理工类专业优先；
2、理解算法模型识别的流程，熟悉SQL或Python基本数据分析操作，了解Spark、Hive等大数据处理工具或框架；
3、具有团队合作精神，沟通能力强，能够与产品、开发等团队成员协作；
4、可保证连续实习三个月以上，每周可实习4天以上。
理解算法模型识别流程，熟悉SQL或Python数据分析操作，了解Spark、Hive等大数据处理工具或框架。
隐私和数据保护; 数据治理",,,数据治理工程师,3,yes,4,标准岗位一致，命中4/7项JD技能，职责方向一致。,expert_gpt_v1
CM-082,2,JOB00219,地图测绘工程师,data_governance,数据治理工程师,数据智能,数据工程与治理,"[""GIS"", ""QGIS"", ""MapInfo"", ""地图数据采集"", ""地图数据质量评估""]","负责地图数据采集和运营维护；
负责地图数据质量评估；
负责跟进地图数据问题解决并解决；
本科以上，GIS及相关专业，熟练掌握常用 GIS 工具，例如 qgis、mapinfo；
思维活跃，具备强烈的好奇心、有韧性、抗压能力强；
具备较强同理心和沟通能力；
符合京东价值观：客户为先、创新、拼搏、担当、感恩、诚信。
GIS及相关专业; 熟练掌握QGIS、MapInfo等常用GIS工具; 负责地图数据采集和运营维护以及地图数据质量评估
地图数据; 测绘",,,数据治理工程师,1,no,0,标准岗位一致，但简历没有JD必需技能证据，不能直接推荐。,expert_gpt_v1
CM-082,3,JOB07611,AI音乐标注实习生,data_governance,数据治理工程师,数据智能,数据工程与治理,"[""AI音乐"", ""Suno"", ""Mureka"", ""MIDI制作"", ""音频编辑""]","1. 对音乐作品进行专业标注，包括整体音乐特征分析和分段结构标注
2. 准确标注音乐的调性、节奏、配器、风格等关键信息
3. 按照项目要求完成每日标注任务，确保数据质量和标注一致性
4. 参与标注流程优化，协助完善音乐标注标准
【本科及以上学历，音乐相关专业优先（如音乐表演、作曲、音乐制作等），每周至少实习4天，持续3个月以上】
1. 具备扎实的乐理基础，能够辨识常见乐器音色和音乐风格
2. 对音乐细节敏感，有良好的听辨分析能力
3. 工作耐心细致，能够保证标注的准确性和完整性
【加分项】
1. 有音乐制作、音频编辑或MIDI制作经验
2. 熟悉多种音乐流派及其特点
3. 具备基础的音乐分析能力，如和声、曲式分析等
4. 对AI音乐技术有浓厚兴趣，有使用Suno/Mureka等进行AI音乐创作的经验
岗位主要为AI音乐标注，明确提到Suno/Mureka等AI音乐创作工具、MIDI制作和音频编辑经验。
AI音乐标注",,,数据治理工程师,1,no,0,标准岗位一致，但简历没有JD必需技能证据，不能直接推荐。,expert_gpt_v1
CM-082,4,JOB00003,软件开发,agent_application,智能体应用工程师,AI应用与平台,智能体与大模型应用,"[""AI工程系统架构"", ""大模型工作流"", ""Agent"", ""Agent系统架构"", ""Prompt工程"", ""长文本处理"", ""Function Calling"", ""RAG"", ""多Agent协同"", ""工作流编排"", ""任务调度"", ""异常自愈"", ""根因定位"", ""LLM工程化""]","1. 主导智能化Agent架构设计，整合Prompt工程、长文本处理、Function Calling与RAG等核心能力；
2. 构建多Agent协同工作流机制，实现任务自动拆解、调度与异常自愈；
3. 推动AI能力与现有工程体系深度融合，建立反馈闭环优化模型自修正能力；
4. 制定智能用例生成等场景落地路径，完成从架构搭建到闭环验证的全流程交付；
5. 总结LLM工程化与Agent架构实践，形成可复用技术方案指导团队提升。
1. 具备AI驱动的工程系统架构经验，主导过大模型工作流从0到1搭建，熟悉复杂任务自主拆解与执行；
2. 拥有智能化Agent协同系统的实际开发经验，熟悉在主流平台中落地AI能力以提升研发效率的路径；
3. 能够主导基于大模型的Agent系统架构设计，整合Prompt工程、长文本处理、Function Calling与RAG等核心技术；
4. 能够设计多Agent协同的工作流编排机制，实现任务自动调度与异常自愈，并具备从问题表象定位底层原因的能力；
5. 致力于将AI技术深度融入研发流程，敢于探索新型应用模式并推动关键突破；
6. 符合京东价值观：客户为先、创新、拼搏、担当、感恩、诚信。
主导过大模型工作流从0到1搭建; 熟悉复杂任务自主拆解与执行; 拥有智能化Agent协同系统实际开发经验; 能够主导基于大模型的Agent系统架构设计; 能够设计多Agent协同的工作流编排机制",,,智能体应用工程师,0,no,0,标准岗位不同，且缺少足够的职责与技能证据。,expert_gpt_v1
CM-082,5,JOB00004,资深产品经理（ 智能体方向）-火山引擎,ai_product,AI产品经理,AI应用与平台,AI平台与产品,[],"1、产品战略与愿景定义：基于市场趋势与客户痛点，独立负责AI Agent产品的战略规划与愿景设计，清晰定义产品核心价值主张与路线图（产品路径图）；
2、全链路产品设计与迭代：负责从需求分析、用户研究、信息架构设计到高保真原型产出的全流程；重点设计Agent的执行引擎抽象、插件化架构交互、多租户安全体系等产品体验，确保技术可行性与业务价值的统一；
3、To B企业级产品落地：深度参与AI产品在生产环境的特性设计，包括安全合规、权限控制、生命周期管理、监控告警、容错机制等，确保产品满足企业级客户的严苛要求；
4、技术与业务桥梁构建：作为业务、研发、市场三方的核心纽带，准确翻译业务需求为技术语言，驱动研发团队高效交付，并对产品上线后的数据表现与用户反馈进行持续迭代优化；
5、行业方案与商业化赋能：结合垂类行业（如私域运营、客户服务等）场景，沉淀标准化的AI Agent产品解决方案，参与售前方案设计与客户成功，推动产品商业化。
1、本科及以上学历，5年及以上AI领域产品经验，其中至少3年专注于AI大模型、Agent智能体或相关技术产品方向的资深经验；
2、深刻理解AI大模型应用、RAG架构、函数调用（Tool Use）、Prompt工程等技术原理，并能转化为产品能力；有To B企业级AI产品落地经验者优先；
3、具备优秀的系统设计能力，能够理解并设计插件化、可扩展、可热插拔的Agent产品架构，具备复杂业务逻辑建模和跨系统产品设计经验；
4、具备较强的技术理解力和沟通能力，能与研发、算法工程师顺畅协作，有效推动技术方案落地；熟悉Go/Java/Python等至少一种开发语言者将极大加分；
5、具备敏锐的商业洞察力，以结果为导向，能够平衡短期交付与长期战略，驱动产品从0到1再到N的规模化成功；
6、自驱力强，具备优秀的项目管理能力和跨团队协作能力，能在快速变化的环境中推动复杂项目顺利完成。
该岗位主要是即时零售产品规划、场景梳理、多产品线协同、用户需求转化、产品数据评估等产品能力，没有明确可抽取的计算机技术关键词
即时零售",,,AI产品经理,0,no,0,标准岗位不同，且缺少足够的职责与技能证据。,expert_gpt_v1
CM-083,1,JOB08400,数据挖掘实习生-【Global Operation】,data_mining_algorithm,数据挖掘算法工程师,算法与模型,推荐搜索与决策算法,"[""机器学习"", ""算法工程""]","1、发现不符合APP调性的内容、用户；
2、参与数据分析、特征工程及相关算法模型的研发，包括但不限于传统的XGB、行为识别等。
1、硕士及以上在校学生；
2、具有良好机器学习等方面的技术背景；
3、有相关项目经验优先；
4、对数据敏感，有较强数据分析和解决问题能力，有较强工程能力者优先；
5、思维灵活，解题思路开阔，方法可以是机器学习算法，但不限于常用算法。
要求具备机器学习背景、数据分析能力和工程能力，有数据挖掘相关项目经验优先。
Global Operation数据挖掘",,,数据挖掘算法工程师,3,yes,2,标准岗位一致，命中2/2项JD技能，职责方向一致。,expert_gpt_v1
CM-083,2,JOB06493,AI数据挖掘实习生-小荷健康,data_mining_algorithm,数据挖掘算法工程师,算法与模型,推荐搜索与决策算法,"[""Python""]","ByteIntern：面向2027届毕业生（2026年9月-2027年8月期间毕业），为符合岗位要求的同学提供转正机会。
团队介绍：小荷健康团队专注于小荷AI医生业务和抖音/头条医疗搜索业务的相关工程和策略研发，以及小荷健康医疗大模型的研发。我们依托医疗大模型基座的能力，为不同渠道用户提供健康咨询和医疗服务建议能力，助力分级诊疗落地，缓解医患矛盾，缓解优质医疗资源不足且分布不均的问题，并以“为每个中国人/家庭提供一个私人AI医生”为愿景。团队涵盖了前端、客户端、服务端、算法、数据等多个团队。在工程领域我们除了保障业务迭代、性能优化、稳定性工作之外，还会探索先进的跨端技术、适配医疗场景的Agent架构赋能于业务，并积极使用AI Coding提升研发效率。在算法方向，不仅深耕业务全链路策略效果，同时自研的小荷医疗大模型在多个权威医疗Benchmark上达到行业SOTA。

1、参与小荷健康业务的数据挖掘工作，结合医疗大模型与AI技术进行创新与应用；
2、挖掘潜在有收益的业务机会或业务问题，对业务痛点提出优化解决的策略方案；
3、参与业务核心场景的探索研究，结合对业务场景的充分理解，推动忠于用户价值的数据挖掘或算法策略方案落地。
1、2027届本科及以上学历在读，数学、统计、数据科学、计算机、人工智能等相关专业；
2、对AI产品、AI技术有浓厚的兴趣；掌握Python等编程语言，能运用数据挖掘工具完成常见挖掘类型工作的优先；
3、具备较强的逻辑分析与问题拆解能力，可以将一个复杂业务问题转化成一个数学/算法问题，并提出有针对性的优化思路；
4、具有良好的沟通合作技巧，较强的责任心及团队合作精神。
掌握Python等编程语言，能使用数据挖掘工具完成常见挖掘任务。
小荷健康; AI数据挖掘",,,数据挖掘算法工程师,2,yes,1,标准岗位一致，但仅命中1/1项JD技能，列为可推荐边界样本。,expert_gpt_v1
