case_id,candidate_id,source_target_role,candidate_text,candidate_skills,years_experience,gold_canonical_role_id,gold_accepted_job_ids,gold_rejected_job_ids,review_decision,reviewer,notes
CM-086,resume_003885_exp01_1,数据库工程师,"求职意向：数据库工程师。
标准岗位：数据库工程师；岗位大族：基础设施；经验年限：1年；候选人层级：初级。
岗位系统技能画像：Go、MySQL、分布式系统、PostgreSQL、Python、数据工程、C/C++、Linux、Java、代价模型、异常检测、SQL。
个人概述：具备1年左右数据库工程师相关实践经验，熟悉Go、MySQL、分布式系统、PostgreSQL、Python、数据工程、C/C++、Linux，能够承担模块开发、测试验证和问题跟进。
教育背景：本科，学士学位，211高校，数据科学与大数据技术专业，英语四级。
技能栈：Go、MySQL、分布式系统、PostgreSQL、Python、数据工程、C/C++、Linux、Java、代价模型、异常检测、SQL、MongoDB、Redis、TensorFlow、PyTorch、Hadoop、Spark。
工作经历：数据库工程师方向，累计1年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：实时数仓与数据治理平台：担任主要负责人，技术栈包括Spark、代码生成、JavaScript、分布式系统、ETL、Kubernetes。负责采集链路、ETL 任务、数据质量校验和主题域建模，提升数据可用性。项目结果：将核心流程耗时降低约 20%。 日志数据实时处理链路：担任核心成员，技术栈包括SQL、Milvus、ETL、CI/CD、TypeScript、PostgreSQL。基于 Kafka/Flink/Spark 完成实时计算任务，支持业务监控和画像分析。项目结果：形成可复用的技术方案和项目文档。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。","[""Go"", ""MySQL"", ""分布式系统"", ""PostgreSQL"", ""Python"", ""数据工程"", ""C/C++"", ""Linux"", ""Java"", ""代价模型"", ""异常检测"", ""SQL"", ""MongoDB"", ""Redis"", ""TensorFlow"", ""PyTorch"", ""Hadoop"", ""Spark"", ""Tableau"", ""Power BI"", ""FineBI"", ""Kafka"", ""TDSQL"", ""Milvus""]",1,,,,,,
CM-087,resume_002922_exp02_0,DevOps工程师,"求职意向：DevOps工程师。
标准岗位：DevOps工程师；岗位大族：基础设施；经验年限：2年；候选人层级：初级。
岗位系统技能画像：模型服务化、模型部署、AI基础设施、模型工程、GPU内存优化、模型推理、DeepSpeed、Triton、推理优化、CUDA、MCP、Megatron。
个人概述：具备2年左右DevOps工程师相关实践经验，熟悉模型服务化、模型部署、AI基础设施、模型工程、GPU内存优化、模型推理、DeepSpeed、Triton，能够承担模块开发、测试验证和问题跟进。
教育背景：硕士研究生，硕士学位，双一流高校，计算机科学与技术专业，英语六级。
技能栈：模型服务化、模型部署、AI基础设施、模型工程、GPU内存优化、模型推理、DeepSpeed、Triton、推理优化、CUDA、MCP、Megatron、Java、JavaScript、AWS、Azure、Docker、Kubernetes。
工作经历：DevOps工程师方向，累计2年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：企业 Kubernetes 容器平台：担任主要负责人，技术栈包括Python、CI/CD、Elasticsearch、Vector Database、Java、GPUDriven。负责集群规划、服务发布、监控告警和资源隔离，支撑多业务应用上云。项目结果：提升问题定位和交付效率。 云资源自动化交付平台：担任核心成员，技术栈包括DevOps、CI/CD、MySQL、Terraform、Grafana、Elasticsearch。使用 Terraform 和脚本完成资源编排、权限配置和交付流程标准化。项目结果：显著改善系统稳定性和可维护性。 混合云稳定性治理：担任核心成员，技术栈包括Grafana、Prometheus、分布式系统、C++、Terraform、AWS。参与容量评估、故障演练和成本优化，提升云平台可用性。项目结果：显著改善系统稳定性和可维护性。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。","[""模型服务化"", ""模型部署"", ""AI基础设施"", ""模型工程"", ""GPU内存优化"", ""模型推理"", ""DeepSpeed"", ""Triton"", ""推理优化"", ""CUDA"", ""MCP"", ""Megatron"", ""Java"", ""JavaScript"", ""AWS"", ""Azure"", ""Docker"", ""Kubernetes"", ""Terraform"", ""云计算"", ""DevOps"", ""LLVM/MLIR"", ""CUDA/Triton"", ""分布式训练""]",2,,,,,,
CM-088,resume_std_005599_exp01_1,驱动开发工程师,"求职意向：驱动开发工程师。
标准岗位：驱动开发工程师；岗位大族：软件研发；经验年限：1年；候选人层级：初级。
岗位系统技能画像：Linux驱动、Kernel、C/C++、设备树、PCIe、USB、I2C、SPI、ARM、硬件调试、中断处理、DMA。
个人概述：具备1年左右驱动开发工程师相关实践经验，熟悉Linux驱动、Kernel、C/C++、设备树、PCIe、USB、I2C、SPI，能够承担模块开发、测试验证和问题跟进。
教育背景：博士研究生，博士学位，普通高校，电子信息工程专业。
技能栈：Linux驱动、Kernel、C/C++、设备树、PCIe、USB、I2C、SPI、ARM、硬件调试、中断处理、DMA、Linux、Machine Learning、PLC编程、系统开发、Android、机器学习。
工作经历：驱动开发工程师方向，累计1年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：驱动开发工程师质量提升项目：担任核心成员，技术栈包括Linux驱动、Kernel、C/C++、设备树、PCIe、USB、I2C、SPI。面向驱动开发工程师岗位场景，围绕Linux驱动、Kernel、C/C++构建从方案设计、实现验证到质量复盘的闭环能力。项目结果：支撑多业务线稳定复用。 软件研发流程优化平台：担任核心成员，技术栈包括USB、I2C、SPI、ARM、硬件调试、中断处理、DMA、Linux。基于USB、I2C等技术完成方案验证、问题定位和迭代优化。项目结果：提升问题定位和交付效率。
综合能力：具备文档沉淀、跨团队沟通、问题定位、质量意识和持续学习能力，能够根据业务目标选择合适的技术方案。","[""Linux驱动"", ""Kernel"", ""C/C++"", ""设备树"", ""PCIe"", ""USB"", ""I2C"", ""SPI"", ""ARM"", ""硬件调试"", ""中断处理"", ""DMA"", ""Linux"", ""Machine Learning"", ""PLC编程"", ""系统开发"", ""Android"", ""机器学习""]",1,,,,,,
CM-089,resume_std_005580_exp03_3,嵌入式软件工程师,"求职意向：嵌入式软件工程师。
标准岗位：嵌入式软件工程师；岗位大族：软件研发；经验年限：3年；候选人层级：中级。
岗位系统技能画像：C/C++、嵌入式系统、Linux、RTOS、ARM、MCU、驱动开发、串口、CAN、I2C、SPI、硬件调试。
个人概述：具备3年左右嵌入式软件工程师相关实践经验，熟悉C/C++、嵌入式系统、Linux、RTOS、ARM、MCU、驱动开发、串口，能够承担独立模块交付、跨团队协作和质量改进。
教育背景：本科，学士学位，211高校，软件工程专业。
技能栈：C/C++、嵌入式系统、Linux、RTOS、ARM、MCU、驱动开发、串口、CAN、I2C、SPI、硬件调试、TCP/IP、光学技术、内存管理、系统开发、Python、Shell脚本。
工作经历：嵌入式软件工程师方向，累计3年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：软件研发流程优化平台：担任核心成员，技术栈包括C/C++、嵌入式系统、Linux、RTOS、ARM、MCU、驱动开发、串口。面向嵌入式软件工程师岗位场景，围绕C/C++、嵌入式系统、Linux构建从方案设计、实现验证到质量复盘的闭环能力。项目结果：形成可复用的技术方案和项目文档。 嵌入式软件工程师核心能力建设：担任核心成员，技术栈包括MCU、驱动开发、串口、CAN、I2C、SPI、硬件调试、TCP/IP。基于MCU、驱动开发等技术完成方案验证、问题定位和迭代优化。项目结果：提升问题定位和交付效率。
综合能力：具备文档沉淀、跨团队沟通、问题定位、质量意识和持续学习能力，能够根据业务目标选择合适的技术方案。","[""C/C++"", ""嵌入式系统"", ""Linux"", ""RTOS"", ""ARM"", ""MCU"", ""驱动开发"", ""串口"", ""CAN"", ""I2C"", ""SPI"", ""硬件调试"", ""TCP/IP"", ""光学技术"", ""内存管理"", ""系统开发"", ""Python"", ""Shell脚本""]",3,,,,,,
CM-090,resume_002162_exp10_4,前端开发工程师,"求职意向：前端开发工程师。
标准岗位：前端开发工程师；岗位大族：软件研发；经验年限：10年；候选人层级：专家。
岗位系统技能画像：JavaScript、React、性能优化、Node.js、TypeScript、Vue.js、HTML、软件开发、CSS、Webpack、Python、跨平台开发。
个人概述：具备10年左右前端开发工程师相关实践经验，熟悉JavaScript、React、性能优化、Node.js、TypeScript、Vue.js、HTML、软件开发，能够承担技术规划、架构演进、团队赋能和关键项目决策。
教育背景：本科，学士学位，普通高校，网络工程专业，无。
技能栈：JavaScript、React、性能优化、Node.js、TypeScript、Vue.js、HTML、软件开发、CSS、Webpack、Python、跨平台开发、Java、Vue、Spring Boot、Django、Flask、RESTful API。
工作经历：前端开发工程师方向，累计10年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：SaaS 业务系统全栈开发：担任主要负责人，技术栈包括Rust、CSS、系统设计、Django、Flask、Java。负责前端页面、后端接口、数据库设计和部署发布。项目结果：显著改善系统稳定性和可维护性。 低代码配置平台：担任核心成员，技术栈包括HTML、RESTful API、Node.js、TypeScript、Flask、React。实现表单配置、流程编排、权限控制和可视化搭建能力。项目结果：显著改善系统稳定性和可维护性。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。","[""JavaScript"", ""React"", ""性能优化"", ""Node.js"", ""TypeScript"", ""Vue.js"", ""HTML"", ""软件开发"", ""CSS"", ""Webpack"", ""Python"", ""跨平台开发"", ""Java"", ""Vue"", ""Spring Boot"", ""Django"", ""Flask"", ""RESTful API"", ""Kafka"", ""RabbitMQ"", ""MySQL"", ""MongoDB"", ""微服务"", ""Microservices""]",10,,,,,,
CM-091,resume_003452_exp05_4,全栈开发工程师,"求职意向：全栈开发工程师。
标准岗位：全栈开发工程师；岗位大族：软件研发；经验年限：5年；候选人层级：中级。
岗位系统技能画像：JavaScript、Go、Java、Vue.js、MySQL、React、TypeScript、Python、Redis、软件开发、Ai coding、LangChain。
个人概述：具备5年左右全栈开发工程师相关实践经验，熟悉JavaScript、Go、Java、Vue.js、MySQL、React、TypeScript、Python，能够承担独立模块交付、跨团队协作和质量改进。
教育背景：硕士研究生，硕士学位，双一流高校，交互设计专业，英语六级。
技能栈：JavaScript、Go、Java、Vue.js、MySQL、React、TypeScript、Python、Redis、软件开发、Ai coding、LangChain、HTML、CSS、Vue、分布式系统、高并发、架构设计。
工作经历：全栈开发工程师方向，累计5年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：企业级运营管理后台：担任主要负责人，技术栈包括分布式系统、数据分析、Vue、Rust、前端工程化、用户体验。负责组件库封装、状态管理、权限路由和复杂表单交互。项目结果：将核心流程耗时降低约 20%。 数据可视化大屏：担任核心成员，技术栈包括Python、Go、分布式系统、HTML、JavaScript、高并发。实现图表组件、实时数据刷新和性能优化，支持业务运营分析。项目结果：显著改善系统稳定性和可维护性。 前端工程化体系建设：担任核心成员，技术栈包括C++、高并发、CSS、Python、React、运营。推进构建优化、代码规范、自动化测试和发布流程标准化。项目结果：形成可复用的技术方案和项目文档。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。","[""JavaScript"", ""Go"", ""Java"", ""Vue.js"", ""MySQL"", ""React"", ""TypeScript"", ""Python"", ""Redis"", ""软件开发"", ""Ai coding"", ""LangChain"", ""HTML"", ""CSS"", ""Vue"", ""分布式系统"", ""高并发"", ""架构设计"", ""用户增长"", ""IP"", ""运营"", ""C++"", ""Rust"", ""前端工程化""]",5,,,,,,
CM-092,resume_std_005710_exp10_4,图形图像工程师,"求职意向：图形图像工程师。
标准岗位：图形图像工程师；岗位大族：多媒体；经验年限：10年；候选人层级：专家。
岗位系统技能画像：C++、OpenGL、Vulkan、DirectX、图形渲染、Shader、图像处理、GPU、CUDA、计算机视觉、Unreal、Unity。
个人概述：具备10年左右图形图像工程师相关实践经验，熟悉C++、OpenGL、Vulkan、DirectX、图形渲染、Shader、图像处理、GPU，能够承担技术规划、架构演进、团队赋能和关键项目决策。
教育背景：博士研究生，博士学位，普通高校，软件工程专业。
技能栈：C++、OpenGL、Vulkan、DirectX、图形渲染、Shader、图像处理、GPU、CUDA、计算机视觉、Unreal、Unity、Java、高性能计算、C/C++、Unreal Engine、图像图形技术、游戏与图形开发。
工作经历：图形图像工程师方向，累计10年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：实时流媒体传输平台：担任核心成员，技术栈包括C++、OpenGL、Vulkan、DirectX、图形渲染、Shader、图像处理、GPU。面向图形图像工程师岗位场景，围绕C++、OpenGL、Vulkan构建从方案设计、实现验证到质量复盘的闭环能力。项目结果：支撑多业务线稳定复用。 图形渲染性能优化：担任核心成员，技术栈包括Shader、图像处理、GPU、CUDA、计算机视觉、Unreal、Unity、Java。基于Shader、图像处理等技术完成方案验证、问题定位和迭代优化。项目结果：提升问题定位和交付效率。
综合能力：具备文档沉淀、跨团队沟通、问题定位、质量意识和持续学习能力，能够根据业务目标选择合适的技术方案。","[""C++"", ""OpenGL"", ""Vulkan"", ""DirectX"", ""图形渲染"", ""Shader"", ""图像处理"", ""GPU"", ""CUDA"", ""计算机视觉"", ""Unreal"", ""Unity"", ""Java"", ""高性能计算"", ""C/C++"", ""Unreal Engine"", ""图像图形技术"", ""游戏与图形开发""]",10,,,,,,
CM-093,resume_std_006010_exp08_3,硬件工程师,"求职意向：硬件工程师。
标准岗位：硬件工程师；岗位大族：硬件；经验年限：8年；候选人层级：高级。
岗位系统技能画像：硬件设计、原理图设计、PCB设计、单板调试、示波器、信号完整性、EMC、Altium Designer、ARM、硬件测试、可靠性测试、电路分析。
个人概述：具备8年左右硬件工程师相关实践经验，熟悉硬件设计、原理图设计、PCB设计、单板调试、示波器、信号完整性、EMC、Altium Designer，能够承担核心项目主导、方案评审和复杂问题攻坚。
教育背景：本科，学士学位，211高校，机械设计制造及其自动化专业。
技能栈：硬件设计、原理图设计、PCB设计、单板调试、示波器、信号完整性、EMC、Altium Designer、ARM、硬件测试、可靠性测试、电路分析、编程语言、C/C++、硬件开发、光学技术、IT基础设施、Linux。
工作经历：硬件工程师方向，累计8年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：硬件热设计优化项目：担任核心成员，技术栈包括硬件设计、原理图设计、PCB设计、单板调试、示波器、信号完整性、EMC、Altium Designer。面向硬件工程师岗位场景，围绕硬件设计、原理图设计、PCB设计构建从方案设计、实现验证到质量复盘的闭环能力。项目结果：形成可复用的技术方案和项目文档。 单板调试与可靠性提升：担任核心成员，技术栈包括信号完整性、EMC、Altium Designer、ARM、硬件测试、可靠性测试、电路分析、编程语言。基于信号完整性、EMC等技术完成方案验证、问题定位和迭代优化。项目结果：提升问题定位和交付效率。
综合能力：具备文档沉淀、跨团队沟通、问题定位、质量意识和持续学习能力，能够根据业务目标选择合适的技术方案。","[""硬件设计"", ""原理图设计"", ""PCB设计"", ""单板调试"", ""示波器"", ""信号完整性"", ""EMC"", ""Altium Designer"", ""ARM"", ""硬件测试"", ""可靠性测试"", ""电路分析"", ""编程语言"", ""C/C++"", ""硬件开发"", ""光学技术"", ""IT基础设施"", ""Linux""]",8,,,,,,
CM-094,resume_002971_exp10_4,大模型算法工程师,"求职意向：大模型算法工程师。
标准岗位：大模型算法工程师；岗位大族：AI算法；经验年限：10年；候选人层级：专家。
岗位系统技能画像：LLM、Megatron、PPO、LoRA微调、C/C++、PyTorch、DeepSpeed、Python、机器学习、GRPO、深度学习、计算机视觉。
个人概述：具备10年左右大模型算法工程师相关实践经验，熟悉LLM、Megatron、PPO、LoRA微调、C/C++、PyTorch、DeepSpeed、Python，能够承担技术规划、架构演进、团队赋能和关键项目决策。
教育背景：硕士研究生，硕士学位，211高校，模式识别与智能系统专业，英语六级。
技能栈：LLM、Megatron、PPO、LoRA微调、C/C++、PyTorch、DeepSpeed、Python、机器学习、GRPO、深度学习、计算机视觉、Java、JavaScript、TensorFlow、Hadoop、Spark、DATA+AI。
工作经历：大模型算法工程师方向，累计10年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：企业知识库 RAG 问答平台：担任主要负责人，技术栈包括多模态AI、DATA+AI、AIBot、PyTorch、Model Inference、LangChain。负责语义检索、召回排序、Prompt 模板和效果评估，沉淀离线评测集并优化回答准确率。项目结果：提升问题定位和交付效率。 多模态内容理解与标签系统：担任核心成员，技术栈包括AIBot、PyTorch、MPI、分布式系统、SQL、JavaScript。参与图文特征抽取、模型训练和推理服务部署，支持业务侧内容审核与推荐分发。项目结果：显著改善系统稳定性和可维护性。 大模型推理性能优化：担任核心成员，技术栈包括SQL、Python、大模型、CUDA、MindSpore、数据仓库。围绕批处理、缓存、量化和 GPU 资源利用率进行调优，降低在线推理延迟。项目结果：显著改善系统稳定性和可维护性。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。","[""LLM"", ""Megatron"", ""PPO"", ""LoRA微调"", ""C/C++"", ""PyTorch"", ""DeepSpeed"", ""Python"", ""机器学习"", ""GRPO"", ""深度学习"", ""计算机视觉"", ""Java"", ""JavaScript"", ""TensorFlow"", ""Hadoop"", ""Spark"", ""DATA+AI"", ""AIBot"", ""AIOps"", ""多模态AI"", ""风控模型"", ""自然语言处理"", ""CUDA""]",10,,,,,,
CM-095,resume_000880_exp01_1,大模型应用工程师,"求职意向：大模型应用工程师。
标准岗位：大模型应用工程师；岗位大族：AI应用；经验年限：1年；候选人层级：初级。
岗位系统技能画像：大模型调优、AI应用开发、LLM、模型微调、Embedding、Function Calling、RAG、大模型应用、模型工程、prompt工程、LangChain、向量数据库。
个人概述：具备1年左右大模型应用工程师相关实践经验，熟悉大模型调优、AI应用开发、LLM、模型微调、Embedding、Function Calling、RAG、大模型应用，能够承担模块开发、测试验证和问题跟进。
教育背景：硕士研究生，硕士学位，双一流高校，交互设计专业，英语六级。
技能栈：大模型调优、AI应用开发、LLM、模型微调、Embedding、Function Calling、RAG、大模型应用、模型工程、prompt工程、LangChain、向量数据库、Python、Java、JavaScript、HTML、CSS、React。
工作经历：大模型应用工程师方向，累计1年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：企业级运营管理后台：担任主要负责人，技术栈包括品牌、Power BI、C++、SQL、React、Tableau。负责组件库封装、状态管理、权限路由和复杂表单交互。项目结果：显著改善系统稳定性和可维护性。 数据可视化大屏：担任核心成员，技术栈包括系统设计、用户体验、JavaScript、Vue、代码测试、TypeScript。实现图表组件、实时数据刷新和性能优化，支持业务运营分析。项目结果：将核心流程耗时降低约 20%。 前端工程化体系建设：担任核心成员，技术栈包括TypeScript、React、Vue、CSS、前端工程化、用户研究。推进构建优化、代码规范、自动化测试和发布流程标准化。项目结果：形成可复用的技术方案和项目文档。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。","[""大模型调优"", ""AI应用开发"", ""LLM"", ""模型微调"", ""Embedding"", ""Function Calling"", ""RAG"", ""大模型应用"", ""模型工程"", ""prompt工程"", ""LangChain"", ""向量数据库"", ""Python"", ""Java"", ""JavaScript"", ""HTML"", ""CSS"", ""React"", ""Vue"", ""TypeScript"", ""系统设计"", ""高并发"", ""代码测试"", ""IP""]",1,,,,,,
CM-096,resume_003954_exp01_1,机器学习算法工程师,"求职意向：机器学习算法工程师。
标准岗位：机器学习算法工程师；岗位大族：AI算法；经验年限：1年；候选人层级：初级。
岗位系统技能画像：C/C++、Go、Linux、Machine Learning、PyTorch、Python、TensorFlow、机器学习、GPU、Hive、Java、Kubernetes。
个人概述：具备1年左右机器学习算法工程师相关实践经验，熟悉C/C++、Go、Linux、Machine Learning、PyTorch、Python、TensorFlow、机器学习，能够承担模块开发、测试验证和问题跟进。
教育背景：本科，学士学位，普通高校，模式识别与智能系统专业，英语四级。
技能栈：C/C++、Go、Linux、Machine Learning、PyTorch、Python、TensorFlow、机器学习、GPU、Hive、Java、Kubernetes、JavaScript、SQL、Pandas、NumPy、Few-shot、知识库。
工作经历：机器学习算法工程师方向，累计1年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：企业知识库 RAG 问答平台：担任主要负责人，技术栈包括高并发、MindSpore、AgentRuntime、代码生成、知识库、Python。负责语义检索、召回排序、Prompt 模板和效果评估，沉淀离线评测集并优化回答准确率。项目结果：将核心流程耗时降低约 20%。 多模态内容理解与标签系统：担任核心成员，技术栈包括代码生成、NPU/GPU、AgentRuntime、C#、知识库、高并发。参与图文特征抽取、模型训练和推理服务部署，支持业务侧内容审核与推荐分发。项目结果：提升问题定位和交付效率。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。","[""C/C++"", ""Go"", ""Linux"", ""Machine Learning"", ""PyTorch"", ""Python"", ""TensorFlow"", ""机器学习"", ""GPU"", ""Hive"", ""Java"", ""Kubernetes"", ""JavaScript"", ""SQL"", ""Pandas"", ""NumPy"", ""Few-shot"", ""知识库"", ""AIOps"", ""AgentRuntime"", ""Deep Learning"", ""Scikit-learn"", ""特征工程"", ""Multimodal AI""]",1,,,,,,
CM-097,resume_003684_exp03_2,大模型测试工程师,"求职意向：大模型测试工程师。
标准岗位：大模型测试工程师；岗位大族：测试质量；经验年限：3年；候选人层级：中级。
岗位系统技能画像：AI安全、Go、C/C++、大模型评测、AI测试、Python、模型评测、Java、大模型安全、模型安全、机器学习、Machine Learning。
个人概述：具备3年左右大模型测试工程师相关实践经验，熟悉AI安全、Go、C/C++、大模型评测、AI测试、Python、模型评测、Java，能够承担独立模块交付、跨团队协作和质量改进。
教育背景：本科，学士学位，普通高校，计算机科学与技术专业，无。
技能栈：AI安全、Go、C/C++、大模型评测、AI测试、Python、模型评测、Java、大模型安全、模型安全、机器学习、Machine Learning、Selenium、JMeter、性能测试、自动化测试、安全测试、Security Testing。
工作经历：大模型测试工程师方向，累计3年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：接口自动化测试平台：担任主要负责人，技术栈包括Security Testing、质量保障、Performance Testing、代码生成、Elasticsearch、性能测试。设计用例管理、接口执行、报告生成和 CI 集成流程。项目结果：显著改善系统稳定性和可维护性。 性能压测与容量评估：担任核心成员，技术栈包括CI/CD、接口测试、Rust、Selenium、Java、Kubernetes。使用压测工具定位瓶颈，输出容量基线和优化建议。项目结果：显著改善系统稳定性和可维护性。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。","[""AI安全"", ""Go"", ""C/C++"", ""大模型评测"", ""AI测试"", ""Python"", ""模型评测"", ""Java"", ""大模型安全"", ""模型安全"", ""机器学习"", ""Machine Learning"", ""Selenium"", ""JMeter"", ""性能测试"", ""自动化测试"", ""安全测试"", ""Security Testing"", ""Automated Testing"", ""Performance Testing"", ""系统设计"", ""代码生成"", ""分布式系统"", ""CI/CD""]",3,,,,,,
CM-098,resume_004216_exp01_0,多模态算法工程师,"求职意向：多模态算法工程师。
标准岗位：多模态算法工程师；岗位大族：AI算法；经验年限：1年；候选人层级：初级。
岗位系统技能画像：Diffusion、Python、PyTorch、SFT、AIGC、C/C++、NLP、VLM、分布式训练、大模型训练、DeepSpeed、LLM。
个人概述：具备1年左右多模态算法工程师相关实践经验，熟悉Diffusion、Python、PyTorch、SFT、AIGC、C/C++、NLP、VLM，能够承担模块开发、测试验证和问题跟进。
教育背景：硕士研究生，硕士学位，211高校，人工智能专业，英语六级。
技能栈：Diffusion、Python、PyTorch、SFT、AIGC、C/C++、NLP、VLM、分布式训练、大模型训练、DeepSpeed、LLM、Java、JavaScript、SQL、Go、TensorFlow、Prompt Engineering。
工作经历：多模态算法工程师方向，累计1年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：企业知识库 RAG 问答平台：担任主要负责人，技术栈包括风控模型、Rust、SGLang、GPU/NPU、Embedding、Flink。负责语义检索、召回排序、Prompt 模板和效果评估，沉淀离线评测集并优化回答准确率。项目结果：显著改善系统稳定性和可维护性。 多模态内容理解与标签系统：担任核心成员，技术栈包括FineBI、AIGC、GPUDriven、Python、PyTorch、GPU/NPU。参与图文特征抽取、模型训练和推理服务部署，支持业务侧内容审核与推荐分发。项目结果：形成可复用的技术方案和项目文档。 大模型推理性能优化：担任核心成员，技术栈包括GPU/NPU、SGLang、风控模型、QClaw-AI、AIGC、代码测试。围绕批处理、缓存、量化和 GPU 资源利用率进行调优，降低在线推理延迟。项目结果：支撑多业务线稳定复用。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。","[""Diffusion"", ""Python"", ""PyTorch"", ""SFT"", ""AIGC"", ""C/C++"", ""NLP"", ""VLM"", ""分布式训练"", ""大模型训练"", ""DeepSpeed"", ""LLM"", ""Java"", ""JavaScript"", ""SQL"", ""Go"", ""TensorFlow"", ""Prompt Engineering"", ""Embedding"", ""QClaw-AI"", ""自然语言处理"", ""风控模型"", ""特征工程"", ""FineBI""]",1,,,,,,
CM-099,resume_000075_exp08_3,网络工程师,"求职意向：网络工程师。
标准岗位：网络工程师；岗位大族：基础设施；经验年限：8年；候选人层级：高级。
岗位系统技能画像：网络技术、Shell脚本、IT基础设施、Kubernetes、TCP/IP、C/C++、Python、Go、CSS、Spark、Java、JavaScript。
个人概述：具备8年左右网络工程师相关实践经验，熟悉网络技术、Shell脚本、IT基础设施、Kubernetes、TCP/IP、C/C++、Python、Go，能够承担核心项目主导、方案评审和复杂问题攻坚。
教育背景：博士研究生，博士学位，双一流高校，网络工程专业，英语六级。
技能栈：网络技术、Shell脚本、IT基础设施、Kubernetes、TCP/IP、C/C++、Python、Go、CSS、Spark、Java、JavaScript、SQL、Docker、Linux、Ansible、CI/CD、云计算。
工作经历：网络工程师方向，累计8年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：统一监控告警平台：担任主要负责人，技术栈包括安全测试、Grafana、信息安全、架构设计、Docker、网络安全。接入主机、容器、数据库和业务指标，设计告警规则并推进故障闭环。项目结果：形成可复用的技术方案和项目文档。 自动化发布与巡检系统：担任核心成员，技术栈包括分布式系统、信息安全、PostgreSQL、系统设计、自动化运维、Go。编写脚本和流水线任务，减少人工发布风险并提升巡检效率。项目结果：支撑多业务线稳定复用。 线上故障应急与稳定性治理：担任核心成员，技术栈包括CI/CD、系统设计、Linux、PostgreSQL、网络安全、SQL。参与故障定位、容量扩容、复盘改进和应急预案建设。项目结果：形成可复用的技术方案和项目文档。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。","[""网络技术"", ""Shell脚本"", ""IT基础设施"", ""Kubernetes"", ""TCP/IP"", ""C/C++"", ""Python"", ""Go"", ""CSS"", ""Spark"", ""Java"", ""JavaScript"", ""SQL"", ""Docker"", ""Linux"", ""Ansible"", ""CI/CD"", ""云计算"", ""自动化测试"", ""安全测试"", ""性能测试"", ""PostgreSQL"", ""Vector Database"", ""Oracle""]",8,,,,,,
