sample_id,job_id,source_type,title,description,gold_required_skills,gold_optional_skills,gold_responsibilities,is_parseable,annotator,notes
JD-011,job_9d25af65490d73968024,legacy_label,光子艺术部-高级后端开发工程师,"1.负责游戏全管线 AIGC 网页端平台的整体后端架构设计、技术选型与核心系统研发，构建高可用、高并发、可弹性扩展的 AI 服务底座；
2.主导Agent 与 Harness 工程后端实现，设计并实现智能任务调度、多 Agent 协作、工具链集成、工作流编排等核心能力；
3.负责大模型推理服务的优化与调度，设计并实现分布式推理引擎、模型缓存、请求队列管理等系统，提升推理效率与资源利用率；
4.设计并实现游戏全管线工作流引擎，支持从概念设计、原画、建模、动画、音效到关卡设计的端到端 AI 辅助创作流程；
5.负责大规模游戏资产存储与处理系统建设，支持多模态游戏资产的上传、存储、处理、检索与分发；
6.建立后端监控、告警与故障排查体系，保障平台 7×24 小时稳定运行，快速定位并解决线上问题；
7.带领后端团队，制定研发流程与代码规范，进行技术指导与人才培养，把控项目交付质量与进度；
8.与产品、前端、算法团队紧密协作，深入理解游戏开发者需求，将产品愿景转化为可落地的技术方案；
9.跟踪后端与 AIGC 前沿技术发展，探索新技术在游戏创作平台的应用落地，持续提升平台技术竞争力。",,,,,,
JD-012,JOB00537,enterprise,精密制造工艺技术开发高级工程师,"请您详见岗位意向中的岗位职责
请您详见岗位意向中的岗位要求
精密制造工艺",,,,,,
JD-013,JOB04698,enterprise,算法策略工程师（大模型方向）-抖音,"1、支持抖音AI作者助手算法工作，通过算法策略、抖音生态数据挖掘等方式提高AI助手回答效果；建设大模型自动化测评体系；基于专家经验、大模型自动化测评等数据，使用强化学习方法提高AI助手回答效果；
2、支持抖音AI成长助手算法工作，建设社群AI助手，自主服务作者成长，包括投稿任务、点评打卡、日常答疑等；
3、建设抖音运营大模型，基于抖音生态数据特点，挖掘作者成长核心数据实例，建设抖音运营大模型；
4、建设内容理解标签平台，使用大模型能力挖掘抖音海量内容数据，建设趋势榜单，作者检索引擎；
5、根据业务场景需求，开展大模型的领域适配与定制化训练：利用LoRA、QLoRA等微调技术，构建业务专用模型；运用DPO、GRPO等对齐技术，提升模型的输出质量；探索RLHF在业务场景中的应用。
1、对大模型技术有一定的知识积累，具有相关工作经验者优先：LLM Prompt Engineering，具备系统化的Prompt设计经验；熟悉LoRA、QLoRA等微调技术；具备RLHF实践经验，熟悉DPO、GRPO等对齐优化方法；
2、熟练使用SQL，熟练掌握Python编程语言；3年以上算法开发经验，具备扎实的机器学习和深度学习基础；
3、具备优秀的数据敏感度与逻辑思维能力，能够针对各种业务问题构建分析框架，将数据转化为有效的信息进行定量洞察；
4、拥有快速学习新技术的能力，能够在较短时间内理解前沿论文，有独立思考的能力。
熟悉大模型技术，具备Prompt设计、LoRA/QLoRA微调、RLHF、DPO或GRPO经验，熟练SQL和Python，具备3年以上算法开发经验。
抖音; 大模型算法策略",,,,,,
JD-014,JOB08651,enterprise,大模型语音算法工程师,"1. 参与语音大模型 应用研发与落地
2. 参与语音全双工语音交互、包含打断、拒识、判停
3. 参与 语音理解、语音生成、语音端到端等大模型效果优化
1、 熟悉主流语音合成框架（如 CoSyVoice、F5、Bert-VITS、GPT-SoVITS 等），并具备实际调优经验。
2、熟悉常见音频表征模型（hubert / best-rq 、wav2bert2.0）、有小语种方言落地经验优先、
3、具备大规模语音预训练、后训练（Post-training） 经验，熟悉数据增强、模型微调等技术。
4、在语音合成（TTS）、语音识别（ASR）、端到端语音大模型、语音唤醒、前端信号、VAD 至少一个方向有落地经历
5、在 ICASSP、Interspeech、NeurIPS 等顶会发表过相关论文，或参与过开源语音项目贡献优先。
要求熟悉CoSyVoice、F5、Bert-VITS、GPT-SoVITS等语音合成框架，掌握HuBERT、BEST-RQ、wav2vec2.0等音频表征，大规模语音预训练、后训练、数据增强、微调，以及TTS、ASR、端到端语音大模型、语音唤醒、前端信号、VAD方向经验。
大模型语音算法",,,,,,
JD-015,GOV-2025-132104-300147044001,government,监管部门一级主任科员及以下,"用人司局：国家金融监督管理总局山西监管局
职位简介：主要从事金融信息科技风险监管、电子设备软硬件管理及信息系统运行维护等工作。
专业要求：计算机科学与技术、软件工程
学历要求：硕士研究生及以上
学位要求：与最高学历相对应的学位
政治面貌：不限
基层工作经历：二年
考试类别：中央机关及其省级直属机构综合管理类
备注：1.报名时请在专业栏中同时填写专业名称和专业代码；2.具有2年以上基层工作经历；3.要求研究生学历大学英语六级成绩425分及以上，请在外语水平栏中注明成绩；4.专业考试信息请参见国家金融监督管理总局2025年度招考公告。",,,,,,
JD-016,GOV-2024-141000-200110001001,government,信息化建设岗一级主任科员及以下,"用人司局：办公室
职位简介：从事信息化建设相关工作
专业要求：计算机科学与技术、电子信息科学与技术、软件工程、网络工程、信息安全相关专业
学历要求：本科及以上
学位要求：与最高学历相对应的学位
政治面貌：中共党员
基层工作经历：二年
考试类别：中央机关及其省级直属机构综合管理类
备注：服从调配",,,,,,
JD-017,job_8546052c95c1dba8b879,legacy_label,微信-多模态大模型算法工程师-OCR与文档理解方向（北京）,负责微信在OCR、文档理解等垂类方向的多模态大模型技术研发和业务落地，支持相关模型在微信C端应用，以及视频号、公众号、微信小店等业务的搜索、推荐、审核等领域的应用。,,,,,,
JD-018,job_e90ffc701d486bffd5fb,legacy_label,和平精英-资深3D角色设计师（商业化）,"1.根据原画制作高中低模贴图，确保模型的大型、结构及材质符合项目品质要求；
2.负责资源导入引擎后的材质球调试及贴图绘制工作，并在游戏里验收最终效果；
3.跟进外包制作反馈沟通，输出有效明确的修改意见；
4.进行版本缺陷验收修改及给出有效解决方案。",,,,,,
JD-019,GOV-2025-158203-300130001022,government,执行队一级警长及以下（二十二）,"用人司局：国家移民管理局北京遣返中心
职位简介：属于公安机关人民警察，承担信息化系统建设管理、信息网络、以及技术装备研发应用等工作。
专业要求：计算机科学与技术（0775、0812）、软件工程（0835）、电子信息（0854）、信息与通信工程（0810）
学历要求：硕士研究生及以上
学位要求：与最高学历相对应的学位
政治面貌：中共党员或共青团员
基层工作经历：无限制
考试类别：行政执法类
备注：1．限2025届高校毕业生报考（高等学历教育各阶段均需取得相应学历和学位），限以主修专业报考。
2．大学英语等级考试六级425分以上。
3．按《公务员录用体检特殊标准（试行）》进行体检，对《公务员录用体检特殊标准（试行）》未作规定的项目，按《公务员录用体检通用标准（试行）》执行，视力标准可询招录单位。
4．按《公安机关录用人民警察体能测评项目和标准》进行体能测评。
5．按《公安机关录用人民警察政治考察工作办法》开展考察。具有《公安机关录用人民警察政治考察工作办法》第八条、第九条情形的，不得报考；父母、配偶或子女已移居国（境）外的，不得报考；非公派原因，曾六个月以上在国（境）外留学、工作、生活的，不得报考。
6．具有较强的语言表达和公文写作能力
7．须服从二次分配；在本单位最低服务年限五年（含试用期）。
8．仅限男性报考。
9．请考生及时关注“移民管理警察招考小助手”微信小程序发布的报考信息。
10．咨询电话：010-66265724、5730、5734",,,,,,
JD-020,job_3741b9826e441c6a54c6,legacy_label,腾讯游戏-AIGC后台开发工程师（数据方向）-新星引力计划,"1.负责构建面向生成式AI的高质量训练数据集，涉及图像、动画、3D模型等多元美术资产的自动化处理流水线（采集、清洗、修复、增广）；
2.主导数据基础平台的建设，设计可扩展的架构以支持多模态数据（如2D/3D资产）的高效管理与协同，确保数据安全、版本控制与跨团队流转效率；
3.研发智能标注工具链，集成主动学习、半自动化标注等技术，降低人工成本，提升数据标注精度与效率。",,,,,,
JD-021,job_021f4b8edcd4758ad827,legacy_label,微信-机器学习基础设施开发工程师（存储/向量检索/参数服务器）-系统架构方向,"1.负责微信生态内机器学习基础设施组件的研发与维护，重点包括数据存储类组件（如FeatureKV、WeGraphDB、UnionDB）、向量检索系统（如SimOL）及参数服务器（如WePS）等核心模块的开发；
2.深入分析业务需求，针对性优化组件的查询效率、写入吞吐量及资源利用率，持续提升系统性能表现；
3.通过代码重构、架构改进等方式增强组件的易用性，降低业务接入门槛，同时保障高可用性，确保服务SLA达到99.9%以上；
4.紧密结合微信推荐系统、大语言模型等业务的实际场景，收集用户反馈并迭代组件功能，解决业务落地过程中的技术瓶颈；
5.参与技术方案评审与故障排查，输出高质量的技术文档，沉淀最佳实践经验。",,,,,,
JD-022,GOV-2025-129112-300110003002,government,科技管理（电子信息化类）四级主办及以下,"用人司局：长春绿园海关
职位简介：从事海关国门安全信息技术以及智慧海关建设等相关工作。
专业要求：人工智能、智能科学与技术、智能无人系统技术、软件工程、电子科学与技术、计算机科学与技术、空间信息与数字技术、物联网工程、计算机系统结构、计算机软件与理论、计算机应用技术、计算机技术
学历要求：本科或硕士研究生
学位要求：与最高学历相对应的学位
政治面貌：中共党员或共青团员
基层工作经历：无限制
考试类别：行政执法类
备注：限2025届高校毕业生；本科生大学英语四级考试425分及以上，研究生大学英语六级考试425分及以上；本职位所指专业为具体专业名称；考生必须具备与填报学历及专业相应的学位；研究生报考者，专业要求为人工智能、计算机系统结构、计算机软件与理论、计算机应用技术、计算机技术、软件工程，且本科专业为人工智能、智能科学与技术、智能无人系统技术、软件工程、电子科学与技术、计算机科学与技术、空间信息与数字技术、物联网工程；住宿自理；专业能力测试安排，详见海关总署网站（www.customs.gov.cn）。",,,,,,
JD-023,JOB08858,enterprise,存储系统工程师,"1、负责存储系统性能优化，解决影响用户流畅体验的瓶颈问题，针对性设计高效存储方案；
2、存储系统软硬件垂直整合方案预研，整合内存管理、文件系统、Block IO和新型存储介质，提升存储效率。
1、本科及以上学历，电子或计算机相关专业3年以上相关经验；
2、精通C语言编程，有Linux/Android开发经验；
3、熟悉Linux存储系统，有内存管理、文件系统、Block IO、存储器驱动或固件任一开发经验；
4、沟通能力佳、逻辑清晰、认真负责、有强烈求知欲。
要求精通C，具备Linux/Android开发经验，熟悉Linux存储系统、内存管理、文件系统、Block IO、存储器驱动或固件开发。
存储系统",,,,,,
JD-024,job_1927f693b7b477b4d7b6,legacy_label,魔方技术中心-高级游戏引擎开发工程师,"1.负责引擎相关功能开发或修改；
2.负责图形渲染效果开发和协助提升美术制作工艺；
3.负责游戏专项技术攻坚和突破；
4.负责性能优化等相关工作。",,,,,,
JD-025,GOV-2024-002000-100210004005,government,计算机应用工作一级主任科员及以下,"用人司局：老干部局
职位简介：从事信息化建设、设备与系统维护等工作
专业要求：计算机科学与技术、软件工程
学历要求：仅限本科
学位要求：学士
政治面貌：中共党员
基层工作经历：无限制
考试类别：中央机关及其省级直属机构综合管理类
备注：咨询电话：01063097447。“专业”为《普通高等学校本科专业目录》中的专业名称，不是学科门类和专业类。考生需获得与专业相应的学历学位。专业能力测试的内容为对党的大政方针的理解把握能力和专业技术能力等，占综合成绩的比重为15%。",,,,,,
JD-026,JOB05654,enterprise,AI应用后端开发（支付网络方向）实习生-国际支付,"ByteIntern：面向2027届毕业生（2026年9月-2027年8月期间毕业），为符合岗位要求的同学提供转正机会。
团队介绍：国际支付，立足于为字节跳动国际化业务提供专业的支付和金融服务，专注于全球支付产品线的质量和效率，确保为国际产品提供高度可靠和稳定的服务，建立国际支付产品和能力，同时在高效助力业务快速拓展的同时，打造行业领先的支付和金融产品能力。团队当前所提供的产品和服务，遍布全球多个国家和地区，团队拥有丰富的国际化产品研发经验；同时这里有全球超大规模的支付网络；覆盖多业务场景的海外钱包及金融产品解决方案；围绕分布式一致性、高并发、高可用、资金安全在内的核心技术能力攻坚；LLM等前沿AI技术在支付&金融服务中的探索、研发和应用。另外，我们在全球设立团队，团队同学背景多元，不同的思维方式，打造了一个多元、碰撞、融合、包容的工作环境。我们邀请你来此成长、专研，发掘无限的潜力，一起应对技术和业务以及跨国合作上的挑战，还有跨文化交流机会在等你！

1、负责字节跳动国际支付业务的后端开发工作，参与核心系统的设计、开发与优化；
2、参与国际支付相关基础能力建设，包括支付链路、渠道接入、路由策略、配置中心、数据治理等核心方向；
3、参与在线大流量、高并发系统的设计与性能优化，保障系统稳定性、可扩展性和资金安全；
4、参与AI/LLM技术在支付场景中的落地建设，包括但不限于：基于大模型优化支付路由策略，提升成功率、成本效率与策略迭代效率；基于大模型理解渠道文档、接口协议与能力差异，提升渠道接入、配置生成和联调效率；基于大模型识别数据异常、补齐字段语义、辅助定位链路问题，提升数据质量治理效率；基于大模型沉淀支付领域知识，辅助研发、运营和策略分析提效；
5、参与专项技术调研、新技术引入和前瞻项目建设，推动支付系统持续演进。
1、2027届本科及以上学历在读，计算机相关专业优先；
2、热爱计算机科学和互联网技术，具备扎实的编程基础，熟悉至少一门编程语言，包括但不限于Java、Go、C、C++、Python、PHP；
3、掌握扎实的计算机基础知识，理解数据结构、算法、操作系统、计算机网络等内容；
4、具备良好的逻辑分析和问题抽象能力，能够对复杂业务进行拆解和系统化设计；
5、对分布式系统、高并发架构、数据治理、机器学习或大模型应用有相关兴趣者优先；
6、具备良好的学习能力、沟通能力和团队协作能力，有较强的责任心和好奇心。
熟悉Java、Go、C、C++、Python或PHP，理解数据结构、算法、操作系统、计算机网络，了解分布式系统、高并发架构、数据治理、机器学习或大模型应用。
国际支付; 支付网络; AI应用后端",,,,,,
JD-027,JOB05336,enterprise,算法开发实习生-SRE,"ByteIntern：面向2027届毕业生（2026年9月-2027年8月期间毕业），为符合岗位要求的同学提供转正机会。
团队介绍：字节跳动基础架构SRE团队，主要负责构建字节跳动私有云的组件服务和稳定性保障，支撑今日头条、西瓜视频、火山小视频、抖音等字节跳动旗下全产品线。Site reliability engineering(SRE)致力于打造高扩展、高可用系统，并将其贯彻为原则的软件工程师。

1、探索大模型在智能运维领域中的应用，提供基于大模型的智能交互、根因定位和异常检测等算法服务；
2、搭建Multi-Agent框架，具备ReAct、Memory、RAG、MCP、A2A、微调等技术能力，为运维效率提升提供智能服务；
3、持续跟进大模型前沿技术、开源方案及其在智能运维领域的应用。
1、2027届本科及以上学历在读，计算机、软件工程、通信等相关专业；
2、精通AIOps，尤其是稳定性方面的智能运维，有相关项目的落地经验；
3、理解主流大模型的算法原理，具备模型和Agent层面的算法和开发能力。
精通AIOps和智能运维，理解主流大模型算法原理，具备模型和Agent层面的算法开发能力。
SRE; 算法开发",,,,,,
JD-028,GOV-2024-129137-300110001004,government,科技处二级主管及以下,"用人司局：成都海关
职位简介：从事信息化应用管理与网络安全运行工作，以及智慧海关建设管理工作。
专业要求：本科：网络工程、信息安全、软件工程、计算机科学与技术；研究生：计算机应用技术、计算机软件与理论、通信与信息系统
学历要求：本科及以上
学位要求：与最高学历相对应的学位
政治面貌：不限
基层工作经历：二年
考试类别：中央机关及其省级直属机构综合管理类
备注：本科生大学英语四级考试425分及以上，研究生大学英语六级考试425分及以上；专业能力测试安排，详见海关总署网站（www.customs.gov.cn）；住宿自理；本职位所指专业为具体专业名称；考生必须具备与填报学历及专业相应的学位；服从关区二次调配。",,,,,,
JD-029,job_557f5c5613280e0d93e1,legacy_label,PC应用宝-高级商业化运营,"1.主导应用宝PC游戏平台商业化核心路径的探索与策略迭代，制定并执行平台增长策略；
2.牵头跨部门资源整合，协调产品、技术、运营等多方团队，推动PC游戏平台商业化目标达成；
3.推进PC游戏平台与游戏渠道、外部流量平台的新生态合作落地，建立长期稳定的合作关系；
4.负责PC游戏流水增长目标，通过优化商业模式、提升运营效率等方式实现业务突破；
5.深入研究PC端多品类游戏（端游、手游、小游戏）商业化逻辑，探索适合不同游戏的变现模式；
6.加速小游戏CPS、端游发行、直购商场等不同商业模式在PC端的创新与落地。",,,,,,
JD-030,job_860b8ddba68315c22819,legacy_label,和平精英-资深2D角色设计师（英雄设计）,"1.负责和平精英新玩法模式中英雄角色的概念设计、原画创作及视觉呈现，结合玩法机制设计角色的技能、外观、背景故事等核心元素；
2.深度参与玩法设计讨论，与策划、程序、动画团队紧密协作，确保角色美术设计与玩法机制高度融合（如技能表现、战斗风格、团队定位等）；
3.能够独立定制玩法角色风格基调，设计符合战术竞技题材的独特英雄角色，兼顾视觉辨识度、文化包容性与商业化潜力；
4.输出高品质角色原画（包括三视图、技能特效示意图、皮肤延展方案等），并配合3D团队完成模型落地；
5.持续跟踪英雄射击类游戏的角色设计趋势，提炼创新点并融入项目。",,,,,,
JD-031,JOB03145,enterprise,多模态智能算法专家-智能创作（北京/上海/深圳）,"团队介绍：智能创作团队是字节跳动的创作场景业务中台，以AI赋能创造，致力于通过AI技术降低创作门槛，赋能视觉内容生产与创作的智能化升级。团队深度支持抖音、剪映、即梦、豆包、商业化等多个业务线，持续深耕图片与视频生成、智能剪辑、数字人、特效等多个业务场景，通过由AI驱动的智能化工具与算法，为用户提供了更智能、更便捷、更丰富的创作体验，助力普通用户轻松实现高质量内容创作，同时为专业创作者提供强大的技术支持，推动内容生态的繁荣与创新。

1、探索研究多模态理解、生成式、机器学习、强化学习、AIGC、计算机视觉、人工智能等前沿技术；
2、基于通用大模型，结合创作垂类应用场景，进行相关的数据建设、指令微调、偏好对齐、模型优化，升数据合成、模型推理 & 规划能力，构建全面客观准确的评测体系，探索提升垂类大模型能力；
3、探索突破包括而不限于多模态RAG，视觉COT与Agent等在内的多模态模型、世界模型进阶能力，构建以智能创作为核心的多模态AI Agent；推动相关的新技术、新产品落地。
1、熟悉多模态大模型（VLM）、大语言模型（LLM）相关的算法技术，在相关领域有过良好的项目经验或研究经验，熟悉大模型相关的数据构造方法、Post Training算法；
2、了解LLM架构，熟悉PE工程、AI Agent、LangChain、RAG等技术，有AI Agent应用经验、AIGC实操经验的优先；
3、有较好的创新能力和协助意识，对于不断探索新的AI技术和应用场景有强烈意愿和主观能动性，能紧跟AI领域的最新发展动态，不断提升自己的专业知识和技能。
要求熟悉VLM、LLM算法和大模型数据构造、Post-Training; 了解LLM架构、Prompt Engineering、AI Agent、LangChain、RAG; AI Agent应用或AIGC实操经验优先
智能创作; 北京; 上海; 深圳",,,,,,
JD-032,GOV-2026-129131-300110104011,government,数据分析（统计分析应用类）四级主办及以下,"用人司局：穗东海关
职位简介：从事海关数据处理分析及智慧海关建设工作。
专业要求：本科：信息与计算科学、数据计算及应用、数据科学与大数据技术、大数据管理与应用； 研究生：管理科学与工程。
学历要求：本科或硕士研究生
学位要求：与最高学历相对应的学位
政治面貌：不限
基层工作经历：无限制
考试类别：行政执法类
备注：限2026届高校毕业生；本科生大学英语四级考试425分及以上，研究生大学英语六级考试425分及以上，报名时请写明大学英语级别和具体分数；现场一线岗位；需24小时倒班；考生必须具备与填报学历及专业相应的学位；在本单位最低服务年限5年（含试用期）；专业能力测试安排，详见海关总署网站（www.customs.gov.cn）。",,,,,,
JD-033,GOV-2026-132108-300147246001,government,科技部门一级主任科员及以下,"用人司局：国家金融监督管理总局延寿监管支局
职位简介：主要从事金融信息科技风险监管、电子设备软硬件管理及信息系统运行维护等工作。
专业要求：计算机科学与技术、软件工程、网络工程、信息安全、数字媒体技术、智能科学与技术、数据科学与大数据技术、新媒体技术
学历要求：仅限本科
学位要求：学士
政治面貌：不限
基层工作经历：无限制
考试类别：市（地）级及以下直属机构综合管理类
备注：1.报名时请在专业栏中同时填写专业名称和专业代码；2.专业考试信息请参见《2026年度国家金融监督管理总局招考职位专业科目笔试考试大纲》。",,,,,,
