sample_id,record_id,reference_skills,reference_warning,reference_years_experience,reference_education
RES-016,resume_std_005709_exp08_3,"[""C++"", ""OpenGL"", ""Vulkan"", ""DirectX"", ""图形渲染"", ""Shader"", ""图像处理"", ""GPU"", ""CUDA"", ""计算机视觉"", ""Unreal"", ""Unity"", ""Java"", ""高性能计算"", ""C/C++"", ""Unreal Engine"", ""图像图形技术"", ""游戏与图形开发""]",仅供盲标完成后复核，不得直接复制为金标,8,"{""education"": ""硕士研究生"", ""degree"": ""硕士"", ""school_category"": ""双一流高校"", ""major"": ""计算机科学与技术"", ""english_level"": ""英语六级""}"
RES-017,resume_000766_exp02_0,"[""AI应用开发"", ""Go"", ""Java"", ""Python"", ""大模型应用"", ""软件开发"", ""C/C++"", ""NLP"", ""Machine Learning"", ""React"", ""JavaScript"", ""MySQL"", ""HTML"", ""CSS"", ""Vue"", ""Webpack"", ""TypeScript"", ""Redux"", ""Vuex"", ""Spring Boot"", ""Django"", ""Flask"", ""RESTful API"", ""Node.js""]",仅供盲标完成后复核，不得直接复制为金标,2,"{""education"": ""硕士研究生"", ""degree"": ""硕士"", ""school_category"": ""双一流高校"", ""major"": ""信息工程"", ""english_level"": ""英语六级""}"
RES-018,resume_std_005870_exp00_0,"[""FPGA"", ""Verilog"", ""VHDL"", ""Vivado"", ""时序约束"", ""RTL设计"", ""AXI"", ""PCIe"", ""DDR"", ""硬件调试"", ""数字电路"", ""信号完整性""]",仅供盲标完成后复核，不得直接复制为金标,0,"{""education"": ""本科"", ""degree"": ""学士"", ""school_category"": ""211高校"", ""major"": ""微电子科学与工程"", ""english_level"": ""英语六级""}"
RES-019,resume_001908_exp10_4,"[""Go"", ""Python"", ""prompt工程"", ""C/C++"", ""Java"", ""LangChain"", ""Agent"", ""Function Calling"", ""LLM"", ""RAG"", ""软件开发"", ""LangGraph"", ""Spring Boot"", ""Django"", ""Flask"", ""RESTful API"", ""Node.js"", ""MySQL"", ""Microservices"", ""微服务"", ""高并发"", ""代码生成"", ""代码测试"", ""Milvus""]",仅供盲标完成后复核，不得直接复制为金标,10,"{""education"": ""硕士研究生"", ""degree"": ""硕士"", ""school_category"": ""211高校"", ""major"": ""软件工程"", ""english_level"": ""英语六级""}"
RES-020,resume_003313_exp03_2,"[""Docker"", ""Shell脚本"", ""网络技术"", ""C/C++"", ""Kubernetes"", ""SRE"", ""Linux"", ""Python"", ""Go"", ""Java"", ""AIops"", ""IT基础设施"", ""JavaScript"", ""SQL"", ""CI/CD"", ""云计算"", ""安全测试"", ""自动化测试"", ""性能测试"", ""MySQL"", ""Oracle"", ""Elasticsearch"", ""Shell"", ""Prometheus""]",仅供盲标完成后复核，不得直接复制为金标,3,"{""education"": ""博士研究生"", ""degree"": ""博士"", ""school_category"": ""双一流高校"", ""major"": ""信息安全"", ""english_level"": ""英语六级""}"
RES-021,resume_std_005850_exp08_3,"[""芯片测试"", ""ATE"", ""测试方案"", ""Python"", ""C/C++"", ""LabVIEW"", ""量产测试"", ""测试覆盖率"", ""硬件调试"", ""示波器"", ""数据分析"", ""DFT"", ""MySQL"", ""封装EDA"", ""工业自动化"", ""机器学习"", ""深度学习"", ""软件开发""]",仅供盲标完成后复核，不得直接复制为金标,8,"{""education"": ""本科"", ""degree"": ""学士"", ""school_category"": ""双一流高校"", ""major"": ""集成电路设计与集成系统"", ""english_level"": ""英语六级""}"
RES-022,resume_std_005589_exp05_2,"[""C/C++"", ""嵌入式系统"", ""Linux"", ""RTOS"", ""ARM"", ""MCU"", ""驱动开发"", ""串口"", ""CAN"", ""I2C"", ""SPI"", ""硬件调试"", ""TCP/IP"", ""光学技术"", ""内存管理"", ""系统开发"", ""Python"", ""Shell脚本""]",仅供盲标完成后复核，不得直接复制为金标,5,"{""education"": ""本科"", ""degree"": ""学士"", ""school_category"": ""双一流高校"", ""major"": ""软件工程"", ""english_level"": ""英语四级""}"
RES-023,resume_std_006030_exp05_2,"[""AI产品设计"", ""大模型产品"", ""AIGC产品"", ""需求分析"", ""PRD"", ""用户研究"", ""数据分析"", ""原型设计"", ""Prompt工程"", ""RAG"", ""产品规划"", ""增长分析"", ""AIGC"", ""大模型应用"", ""AI工作流设计"", ""Agent"", ""AI安全""]",仅供盲标完成后复核，不得直接复制为金标,5,"{""education"": ""本科"", ""degree"": ""学士"", ""school_category"": ""985高校"", ""major"": ""计算机科学与技术"", ""english_level"": ""英语六级""}"
RES-024,resume_004246_exp03_1,"[""Go"", ""Python"", ""C/C++"", ""Java"", ""云计算"", ""模型服务化"", ""分布式系统"", ""数据工程"", ""AI工作流设计"", ""AutoGen"", ""LangChain"", ""Context Engineering"", ""JavaScript"", ""SQL"", ""Spring Boot"", ""Django"", ""Flask"", ""MySQL"", ""Microservices"", ""微服务"", ""Node.js"", ""代码生成"", ""架构设计"", ""高并发""]",仅供盲标完成后复核，不得直接复制为金标,3,"{""education"": ""博士研究生"", ""degree"": ""博士"", ""school_category"": ""海外高校"", ""major"": ""软件工程"", ""english_level"": ""英语六级""}"
RES-025,resume_000739_exp10_4,"[""网络技术"", ""Shell脚本"", ""IT基础设施"", ""Kubernetes"", ""TCP/IP"", ""C/C++"", ""Python"", ""Go"", ""CSS"", ""Spark"", ""Java"", ""JavaScript"", ""SQL"", ""AWS"", ""Azure"", ""Docker"", ""Linux"", ""Ansible"", ""云计算"", ""DevOps"", ""自动化测试"", ""性能测试"", ""安全测试"", ""Vector Database""]",仅供盲标完成后复核，不得直接复制为金标,10,"{""education"": ""本科"", ""degree"": ""学士"", ""school_category"": ""双一流高校"", ""major"": ""软件工程"", ""english_level"": ""英语六级""}"
RES-026,resume_std_005539_exp08_4,"[""C/C++"", ""Linux Kernel"", ""操作系统"", ""驱动开发"", ""编译器"", ""SDK"", ""性能优化"", ""进程调度"", ""内存管理"", ""系统软件"", ""调试工具"", ""并发编程"", ""AI基础设施"", ""TensorRT"", ""推理优化"", ""模型并行"", ""CUDA"", ""Python""]",仅供盲标完成后复核，不得直接复制为金标,8,"{""education"": ""本科"", ""degree"": ""学士"", ""school_category"": ""211高校"", ""major"": ""电子信息工程"", ""english_level"": ""英语四级""}"
RES-027,resume_005287_exp08_4,"[""云计算"", ""Go"", ""Linux"", ""MySQL"", ""PHP"", ""Python"", ""C/C++"", ""分布式系统"", ""数据工程"", ""CSS"", ""Docker"", ""MongoDB"", ""Java"", ""Spring Boot"", ""Django"", ""Flask"", ""RESTful API"", ""Redis"", ""微服务"", ""Microservices"", ""Node.js"", ""代码生成"", ""架构设计"", ""Milvus""]",仅供盲标完成后复核，不得直接复制为金标,8,"{""education"": ""专科"", ""degree"": ""无学位"", ""school_category"": ""高职院校"", ""major"": ""计算机科学与技术"", ""english_level"": ""无""}"
RES-028,resume_std_005549_exp01_1,"[""C/C++"", ""Linux Kernel"", ""操作系统"", ""驱动开发"", ""编译器"", ""SDK"", ""性能优化"", ""进程调度"", ""内存管理"", ""系统软件"", ""调试工具"", ""并发编程"", ""AI基础设施"", ""TensorRT"", ""推理优化"", ""模型并行"", ""CUDA"", ""Python""]",仅供盲标完成后复核，不得直接复制为金标,1,"{""education"": ""硕士研究生"", ""degree"": ""硕士"", ""school_category"": ""普通高校"", ""major"": ""计算机科学与技术"", ""english_level"": ""英语六级""}"
RES-029,resume_001698_exp10_4,"[""Diffusion"", ""Diffusion模型"", ""NLP"", ""多模态"", ""AIGC"", ""C/C++"", ""PyTorch"", ""Python"", ""TensorFlow"", ""图像图形技术"", ""模型压缩"", ""深度学习"", ""Java"", ""SQL"", ""Hadoop"", ""Spark"", ""RLHF/RLAIF"", ""Agentlightning"", ""QClaw-AI"", ""GPU/AI"", ""Scikit-learn"", ""机器学习"", ""推荐系统"", ""分布式推理""]",仅供盲标完成后复核，不得直接复制为金标,10,"{""education"": ""本科"", ""degree"": ""学士"", ""school_category"": ""普通高校"", ""major"": ""软件工程"", ""english_level"": ""英语四级""}"
RES-030,resume_std_005540_exp05_2,"[""C/C++"", ""Linux Kernel"", ""操作系统"", ""驱动开发"", ""编译器"", ""SDK"", ""性能优化"", ""进程调度"", ""内存管理"", ""系统软件"", ""调试工具"", ""并发编程"", ""AI基础设施"", ""TensorRT"", ""推理优化"", ""模型并行"", ""CUDA"", ""Python""]",仅供盲标完成后复核，不得直接复制为金标,5,"{""education"": ""硕士研究生"", ""degree"": ""硕士"", ""school_category"": ""双一流高校"", ""major"": ""计算机科学与技术"", ""english_level"": ""英语六级""}"
RES-031,resume_std_005849_exp05_2,"[""芯片测试"", ""ATE"", ""测试方案"", ""Python"", ""C/C++"", ""LabVIEW"", ""量产测试"", ""测试覆盖率"", ""硬件调试"", ""示波器"", ""数据分析"", ""DFT"", ""MySQL"", ""封装EDA"", ""工业自动化"", ""机器学习"", ""深度学习"", ""软件开发""]",仅供盲标完成后复核，不得直接复制为金标,5,"{""education"": ""博士研究生"", ""degree"": ""博士"", ""school_category"": ""211高校"", ""major"": ""微电子科学与工程"", ""english_level"": ""英语六级""}"
RES-032,resume_std_005959_exp02_1,"[""热设计"", ""散热仿真"", ""CFD"", ""Icepak"", ""FloTHERM"", ""结构设计"", ""热测试"", ""材料导热"", ""可靠性测试"", ""有限元分析"", ""硬件工程"", ""测试验证"", ""Python"", ""仿真技术"", ""硬件开发"", ""算法工程""]",仅供盲标完成后复核，不得直接复制为金标,2,"{""education"": ""博士研究生"", ""degree"": ""博士"", ""school_category"": ""普通高校"", ""major"": ""机械设计制造及其自动化"", ""english_level"": ""英语六级""}"
RES-033,resume_std_005940_exp05_2,"[""结构设计"", ""SolidWorks"", ""CAD"", ""机械设计"", ""可靠性测试"", ""3D建模"", ""公差分析"", ""材料力学"", ""有限元分析"", ""样机验证"", ""热设计"", ""工艺评审"", ""工业自动化"", ""感知算法"", ""自动化技术"", ""光学技术"", ""机器人与自动驾驶"", ""仿真技术""]",仅供盲标完成后复核，不得直接复制为金标,5,"{""education"": ""本科"", ""degree"": ""学士"", ""school_category"": ""211高校"", ""major"": ""自动化"", ""english_level"": ""英语六级""}"
RES-034,resume_002167_exp10_4,"[""C/C++"", ""Python"", ""信息安全"", ""Java"", ""Go"", ""Docker"", ""软件开发"", ""机器学习"", ""硬件开发"", ""自动化技术"", ""Linux"", ""Machine Learning"", ""AWS"", ""Azure"", ""Kubernetes"", ""Terraform"", ""云计算"", ""CI/CD"", ""安全测试"", ""性能测试"", ""自动化测试"", ""Redis"", ""PostgreSQL"", ""Milvus""]",仅供盲标完成后复核，不得直接复制为金标,10,"{""education"": ""本科"", ""degree"": ""学士"", ""school_category"": ""普通高校"", ""major"": ""软件工程"", ""english_level"": ""英语四级""}"
RES-035,resume_std_006040_exp02_2,"[""AI产品设计"", ""大模型产品"", ""AIGC产品"", ""需求分析"", ""PRD"", ""用户研究"", ""数据分析"", ""原型设计"", ""Prompt工程"", ""RAG"", ""产品规划"", ""增长分析"", ""AIGC"", ""大模型应用"", ""AI工作流设计"", ""Agent"", ""AI安全""]",仅供盲标完成后复核，不得直接复制为金标,2,"{""education"": ""硕士研究生"", ""degree"": ""硕士"", ""school_category"": ""双一流高校"", ""major"": ""工业工程"", ""english_level"": ""英语六级""}"
RES-036,resume_003758_exp08_3,"[""PyTorch"", ""C/C++"", ""机器学习"", ""PPO"", ""Machine Learning"", ""Python"", ""TensorFlow"", ""深度学习"", ""计算机视觉"", ""GRPO"", ""游戏与图形开发"", ""世界模型"", ""SQL"", ""Go"", ""Hadoop"", ""Spark"", ""Tableau"", ""Power BI"", ""FineBI"", ""Agentlightning"", ""Embedding"", ""AIBot"", ""模型微调"", ""Flux""]",仅供盲标完成后复核，不得直接复制为金标,8,"{""education"": ""本科"", ""degree"": ""学士"", ""school_category"": ""双一流高校"", ""major"": ""软件工程"", ""english_level"": ""无""}"
RES-037,resume_004098_exp02_0,"[""Flink"", ""Python"", ""Spark"", ""数据工程"", ""C/C++"", ""ClickHouse"", ""Kafka"", ""Go"", ""Hadoop"", ""Hive"", ""Java"", ""向量数据库"", ""JavaScript"", ""SQL"", ""MySQL"", ""MongoDB"", ""Redis"", ""Tableau"", ""Power BI"", ""FineBI"", ""数据仓库"", ""Vector Database"", ""Oracle"", ""DevOps""]",仅供盲标完成后复核，不得直接复制为金标,2,"{""education"": ""硕士研究生"", ""degree"": ""硕士"", ""school_category"": ""211高校"", ""major"": ""数据科学与大数据技术"", ""english_level"": ""英语六级""}"
RES-038,resume_001162_exp02_2,"[""Go"", ""深度学习"", ""Java"", ""Linux"", ""Machine Learning"", ""Python"", ""TensorFlow"", ""推荐算法"", ""机器学习"", ""NLP"", ""PyTorch"", ""分布式计算"", ""Hadoop"", ""Spark"", ""AIOps"", ""多模态AI"", ""UGC-AIGC"", ""大语言模型"", ""FineBI"", ""风控模型"", ""Deep Learning"", ""特征工程"", ""x86"", ""Triton""]",仅供盲标完成后复核，不得直接复制为金标,2,"{""education"": ""硕士研究生"", ""degree"": ""硕士"", ""school_category"": ""双一流高校"", ""major"": ""计算机科学与技术"", ""english_level"": ""英语六级""}"
RES-039,resume_001636_exp05_2,"[""AI安全"", ""Go"", ""C/C++"", ""大模型评测"", ""AI测试"", ""Python"", ""模型评测"", ""Java"", ""大模型安全"", ""模型安全"", ""机器学习"", ""Machine Learning"", ""JavaScript"", ""Selenium"", ""JMeter"", ""性能测试"", ""自动化测试"", ""安全测试"", ""Security Testing"", ""Performance Testing"", ""Automated Testing"", ""分布式系统"", ""系统设计"", ""代码生成""]",仅供盲标完成后复核，不得直接复制为金标,5,"{""education"": ""本科"", ""degree"": ""学士"", ""school_category"": ""211高校"", ""major"": ""计算机科学与技术"", ""english_level"": ""英语四级""}"
RES-040,resume_000508_exp00_0,"[""Diffusion"", ""Python"", ""PyTorch"", ""SFT"", ""AIGC"", ""C/C++"", ""NLP"", ""VLM"", ""分布式训练"", ""大模型训练"", ""DeepSpeed"", ""LLM"", ""JavaScript"", ""TensorFlow"", ""Tableau"", ""Power BI"", ""FineBI"", ""AIOps"", ""多模态AI"", ""AI Agent"", ""Agentic"", ""Data Warehouse"", ""Computer Vision"", ""特征工程""]",仅供盲标完成后复核，不得直接复制为金标,0,"{""education"": ""本科"", ""degree"": ""学士"", ""school_category"": ""211高校"", ""major"": ""计算机科学与技术"", ""english_level"": ""英语四级""}"
RES-041,resume_003835_exp10_4,"[""LLM"", ""Megatron"", ""PPO"", ""LoRA微调"", ""C/C++"", ""PyTorch"", ""DeepSpeed"", ""Python"", ""机器学习"", ""GRPO"", ""深度学习"", ""计算机视觉"", ""Java"", ""JavaScript"", ""SQL"", ""TensorFlow"", ""Tableau"", ""Power BI"", ""FineBI"", ""GPU/AI"", ""大语言模型"", ""LoRA"", ""Prompt Engineering"", ""Computer Vision""]",仅供盲标完成后复核，不得直接复制为金标,10,"{""education"": ""本科"", ""degree"": ""学士"", ""school_category"": ""普通高校"", ""major"": ""软件工程"", ""english_level"": ""英语四级""}"
RES-042,resume_005302_exp02_0,"[""大模型调优"", ""AI应用开发"", ""LLM"", ""模型微调"", ""Embedding"", ""Function Calling"", ""RAG"", ""大模型应用"", ""模型工程"", ""prompt工程"", ""LangChain"", ""向量数据库"", ""Python"", ""Java"", ""JavaScript"", ""SQL"", ""Go"", ""HTML"", ""CSS"", ""React"", ""Vue"", ""Webpack"", ""Redux"", ""Vuex""]",仅供盲标完成后复核，不得直接复制为金标,2,"{""education"": ""专科"", ""degree"": ""无学位"", ""school_category"": ""高职院校"", ""major"": ""计算机科学与技术"", ""english_level"": ""无""}"
RES-043,resume_004149_exp10_4,"[""Hive"", ""Python"", ""Spark"", ""数据工程"", ""SQL"", ""MySQL"", ""PostgreSQL"", ""MongoDB"", ""Redis"", ""Pandas"", ""NumPy"", ""Tableau"", ""Power BI"", ""FineBI"", ""数据分析"", ""ETL"", ""Flink"", ""数据仓库"", ""深度学习"", ""CV/NLP"", ""特征工程"", ""数据可视化""]",仅供盲标完成后复核，不得直接复制为金标,10,"{""education"": ""本科"", ""degree"": ""学士"", ""school_category"": ""211高校"", ""major"": ""统计学"", ""english_level"": ""英语六级""}"
RES-044,resume_002329_exp01_1,"[""Python"", ""TensorFlow"", ""C/C++"", ""TTS"", ""PyTorch"", ""Go"", ""NLP"", ""机器学习"", ""ASR"", ""信号处理"", ""音视频技术"", ""Linux"", ""Java"", ""JavaScript"", ""SQL"", ""Pandas"", ""NumPy"", ""Hadoop"", ""Spark"", ""Tableau"", ""Power BI"", ""FineBI"", ""Agentic"", ""QClaw-AI""]",仅供盲标完成后复核，不得直接复制为金标,1,"{""education"": ""硕士研究生"", ""degree"": ""硕士"", ""school_category"": ""双一流高校"", ""major"": ""软件工程"", ""english_level"": ""英语六级""}"
RES-045,resume_005241_exp05_2,"[""TensorFlow"", ""Python"", ""计算机视觉"", ""Diffusion"", ""PyTorch"", ""机器学习"", ""AIGC"", ""Machine Learning"", ""图像图形技术"", ""多模态"", ""C/C++"", ""LLM"", ""Pandas"", ""NumPy"", ""Tableau"", ""Power BI"", ""FineBI"", ""多模态AI"", ""System Prompt"", ""AgentBench"", ""PCG/AI"", ""Flux"", ""CV/NLP"", ""Scikit-learn""]",仅供盲标完成后复核，不得直接复制为金标,5,"{""education"": ""专科"", ""degree"": ""无学位"", ""school_category"": ""高职院校"", ""major"": ""软件工程"", ""english_level"": ""无""}"
RES-046,resume_001363_exp00_0,"[""数据工程"", ""机器学习"", ""Python"", ""因果推断"", ""算法工程"", ""Spark"", ""Hive"", ""Hadoop"", ""Machine Learning"", ""Transformer"", ""模型训练"", ""PyTorch"", ""Java"", ""JavaScript"", ""SQL"", ""Go"", ""MySQL"", ""MongoDB"", ""Pandas"", ""NumPy"", ""TensorFlow"", ""Tableau"", ""Power BI"", ""FineBI""]",仅供盲标完成后复核，不得直接复制为金标,0,"{""education"": ""硕士研究生"", ""degree"": ""硕士"", ""school_category"": ""985高校"", ""major"": ""信息管理与信息系统"", ""english_level"": ""英语六级""}"
RES-047,resume_std_005710_exp00_0,"[""C++"", ""OpenGL"", ""Vulkan"", ""DirectX"", ""图形渲染"", ""Shader"", ""图像处理"", ""GPU"", ""CUDA"", ""计算机视觉"", ""Unreal"", ""Unity"", ""Java"", ""高性能计算"", ""C/C++"", ""Unreal Engine"", ""图像图形技术"", ""游戏与图形开发""]",仅供盲标完成后复核，不得直接复制为金标,0,"{""education"": ""博士研究生"", ""degree"": ""博士"", ""school_category"": ""普通高校"", ""major"": ""软件工程"", ""english_level"": ""英语六级""}"
