sample_id,record_id,reference_skills,reference_warning
JD-014,JOB08651,"[""语音合成"", ""TTS"", ""ASR"", ""CoSyVoice"", ""F5"", ""Bert-VITS"", ""GPT-SoVITS"", ""音频表征模型"", ""HuBERT"", ""BEST-RQ"", ""wav2vec 2.0"", ""语音预训练"", ""Post-training"", ""数据增强"", ""模型微调"", ""端到端语音大模型"", ""语音唤醒"", ""前端信号处理"", ""VAD""]",仅供盲标完成后复核，不得直接复制为金标
JD-015,GOV-2025-132104-300147044001,[],仅供盲标完成后复核，不得直接复制为金标
JD-016,GOV-2024-141000-200110001001,[],仅供盲标完成后复核，不得直接复制为金标
JD-017,job_8546052c95c1dba8b879,[],仅供盲标完成后复核，不得直接复制为金标
JD-018,job_e90ffc701d486bffd5fb,[],仅供盲标完成后复核，不得直接复制为金标
JD-019,GOV-2025-158203-300130001022,[],仅供盲标完成后复核，不得直接复制为金标
JD-020,job_3741b9826e441c6a54c6,[],仅供盲标完成后复核，不得直接复制为金标
JD-021,job_021f4b8edcd4758ad827,[],仅供盲标完成后复核，不得直接复制为金标
JD-022,GOV-2025-129112-300110003002,[],仅供盲标完成后复核，不得直接复制为金标
JD-023,JOB08858,"[""C"", ""Linux"", ""Android"", ""Linux存储系统"", ""内存管理"", ""文件系统"", ""Block IO"", ""存储器驱动"", ""存储固件""]",仅供盲标完成后复核，不得直接复制为金标
JD-024,job_1927f693b7b477b4d7b6,[],仅供盲标完成后复核，不得直接复制为金标
JD-025,GOV-2024-002000-100210004005,[],仅供盲标完成后复核，不得直接复制为金标
JD-026,JOB05654,"[""Java"", ""Go"", ""C"", ""C++"", ""Python"", ""PHP"", ""数据结构与算法"", ""操作系统"", ""计算机网络"", ""分布式系统"", ""高并发架构"", ""数据治理"", ""机器学习"", ""大模型应用""]",仅供盲标完成后复核，不得直接复制为金标
JD-027,JOB05336,"[""AIOps"", ""智能运维"", ""大模型算法"", ""Agent""]",仅供盲标完成后复核，不得直接复制为金标
JD-028,GOV-2024-129137-300110001004,[],仅供盲标完成后复核，不得直接复制为金标
JD-029,job_557f5c5613280e0d93e1,"[""运营""]",仅供盲标完成后复核，不得直接复制为金标
JD-030,job_860b8ddba68315c22819,[],仅供盲标完成后复核，不得直接复制为金标
JD-031,JOB03145,"[""VLM"", ""LLM"", ""数据构造"", ""Post-Training"", ""LLM架构"", ""Prompt Engineering"", ""AI Agent"", ""LangChain"", ""RAG"", ""AIGC""]",仅供盲标完成后复核，不得直接复制为金标
JD-032,GOV-2026-129131-300110104011,[],仅供盲标完成后复核，不得直接复制为金标
JD-033,GOV-2026-132108-300147246001,[],仅供盲标完成后复核，不得直接复制为金标
JD-034,JOB12396,"[""计算机视觉"", ""机器学习"", ""深度学习"", ""C"", ""C++"", ""Python""]",仅供盲标完成后复核，不得直接复制为金标
JD-035,JOB03978,"[""统计学"", ""因果推断"", ""机器学习"", ""SQL"", ""Python"", ""数据科学"", ""量化分析"", ""计算广告分析""]",仅供盲标完成后复核，不得直接复制为金标
JD-036,JOB09918,"[""分布式系统"", ""微服务"", ""云原生"", ""自动驾驶系统"", ""车联网系统""]",仅供盲标完成后复核，不得直接复制为金标
JD-037,JOB08082,"[""计算机视觉"", ""Low-level图像处理"", ""去噪"", ""超分辨率"", ""编解码"", ""AI Codec优化"", ""H.265"", ""VVC"", ""音视频大模型""]",仅供盲标完成后复核，不得直接复制为金标
JD-038,job_750f3827211dc5cbd53f,[],仅供盲标完成后复核，不得直接复制为金标
JD-039,GOV-2025-158205-300130001003,[],仅供盲标完成后复核，不得直接复制为金标
JD-040,job_22aa9c6e4cf75741a32b,[],仅供盲标完成后复核，不得直接复制为金标
JD-041,JOB10098,"[""经典控制理论"", ""现代控制理论"", ""线性系统"", ""非线性系统"", ""运动控制"", ""频域控制设计"", ""状态空间控制设计"", ""优化控制设计"", ""飞行力学"", ""牛顿力学"", ""分析力学"", ""飞行品质"", ""飞行器操稳特性"", ""系统辨识""]",仅供盲标完成后复核，不得直接复制为金标
JD-042,job_1b56417d2cbf6133bd04,[],仅供盲标完成后复核，不得直接复制为金标
JD-043,job_596f63eff2d2e4de522d,"[""Python""]",仅供盲标完成后复核，不得直接复制为金标
JD-044,job_0f1816ba6dce4eed5d80,[],仅供盲标完成后复核，不得直接复制为金标
JD-045,GOV-2025-158206-300130001019,[],仅供盲标完成后复核，不得直接复制为金标
JD-046,JOB08364,"[""Python"", ""C"", ""C++"", ""计算机视觉"", ""LLM"", ""多模态大模型"", ""Agent"", ""大模型微调"", ""RLHF"", ""Linux"", ""MySQL"", ""缓存"", ""RPC"", ""微服务架构""]",仅供盲标完成后复核，不得直接复制为金标
JD-047,GOV-2026-137132-400110132001,[],仅供盲标完成后复核，不得直接复制为金标
JD-048,GOV-2025-137111-400110111002,[],仅供盲标完成后复核，不得直接复制为金标
JD-049,job_440c2e852aaf394b9b0a,[],仅供盲标完成后复核，不得直接复制为金标
JD-050,GOV-2025-111000-200110002001,[],仅供盲标完成后复核，不得直接复制为金标
JD-051,JOB08011,"[""大模型"", ""风控对抗"", ""内容风控"", ""反作弊"", ""设备风险"", ""GPT"", ""LLaMA"", ""Python"", ""Java"", ""模型训练"", ""模型微调"", ""工程调用""]",仅供盲标完成后复核，不得直接复制为金标
JD-052,GOV-2024-135127-400110127025,[],仅供盲标完成后复核，不得直接复制为金标
JD-053,GOV-2024-135102-400110102002,[],仅供盲标完成后复核，不得直接复制为金标
JD-054,job_ddca5bebbdeb3c8efaed,[],仅供盲标完成后复核，不得直接复制为金标
JD-055,JOB10531,"[""iOS开发"", ""Objective-C"", ""iOS系统框架"", ""数据结构"", ""算法"", ""TCP/IP"", ""HTTP"", ""UDP"", ""内存优化"", ""启动优化"", ""耗时优化""]",仅供盲标完成后复核，不得直接复制为金标
JD-056,GOV-2026-132105-300147175001,[],仅供盲标完成后复核，不得直接复制为金标
JD-057,job_bf15662565713214ed7c,"[""PyTorch""]",仅供盲标完成后复核，不得直接复制为金标
JD-058,JOB06560,"[""多线程编程"", ""分布式计算"", ""网络通信"", ""内存管理"", ""设计模式"", ""C"", ""C++"", ""Python"", ""Golang"", ""PyTorch"", ""MLOps"", ""深度学习算法"", ""分布式系统"", ""Kubernetes"", ""Kubeflow"", ""Hadoop"", ""HDFS"", ""Spark"", ""ClickHouse""]",仅供盲标完成后复核，不得直接复制为金标
JD-059,GOV-2025-158114-300130001001,[],仅供盲标完成后复核，不得直接复制为金标
JD-060,GOV-2025-132106-300147132001,[],仅供盲标完成后复核，不得直接复制为金标
JD-061,job_adb0261d6ff7f872b15f,[],仅供盲标完成后复核，不得直接复制为金标
JD-062,GOV-2024-135105-400110105077,[],仅供盲标完成后复核，不得直接复制为金标
JD-063,job_445279ecd0cde26dfaa8,"[""数据分析""]",仅供盲标完成后复核，不得直接复制为金标
JD-064,GOV-2024-109430-300130001007,[],仅供盲标完成后复核，不得直接复制为金标
JD-065,job_74033db4218138ac58b2,[],仅供盲标完成后复核，不得直接复制为金标
JD-066,job_2d423b45f591c59297f1,[],仅供盲标完成后复核，不得直接复制为金标
JD-067,job_759584a71a686a821286,"[""IP""]",仅供盲标完成后复核，不得直接复制为金标
JD-068,GOV-2026-129114-300110107006,[],仅供盲标完成后复核，不得直接复制为金标
JD-069,job_3b5d56865365a660d9b6,[],仅供盲标完成后复核，不得直接复制为金标
JD-070,JOB00440,"[""搜索算法"", ""推荐算法"", ""广告算法"", ""C++"", ""Java"", ""Python"", ""数据结构与算法"", ""机器学习"", ""数学统计"", ""Hadoop"", ""Spark"", ""TensorFlow"", ""深度学习""]",仅供盲标完成后复核，不得直接复制为金标
JD-071,GOV-2025-132119-300147548001,[],仅供盲标完成后复核，不得直接复制为金标
JD-072,job_5bd866351ae57c658d32,[],仅供盲标完成后复核，不得直接复制为金标
JD-073,JOB05983,"[""数据结构与算法"", ""操作系统"", ""Python"", ""Go"", ""Java"", ""大模型应用"", ""多模态内容理解"", ""内容挖掘算法""]",仅供盲标完成后复核，不得直接复制为金标
JD-074,job_7574e64f7df557c678e3,[],仅供盲标完成后复核，不得直接复制为金标
JD-075,job_9a47df4abd72fd7f6b3e,[],仅供盲标完成后复核，不得直接复制为金标
JD-076,GOV-2026-129131-300110115002,[],仅供盲标完成后复核，不得直接复制为金标
JD-077,JOB10136,"[""Python"", ""PyTorch"", ""机器学习"", ""深度学习"", ""概率统计"", ""大语言模型训练"", ""多模态基础模型训练"", ""预训练数据"", ""Data Mixture"", ""合成数据"", ""模型评估"", ""数据清洗"", ""去重"", ""污染检测"", ""质量评估"", ""覆盖度建模"", ""长序列组织"", ""蒸馏数据"", ""数据配比"", ""实验设计"", ""训练系统"", ""评估系统""]",仅供盲标完成后复核，不得直接复制为金标
JD-078,JOB04428,"[""网络架构"", ""软件定义网络"", ""云网络"", ""VPC"", ""NAT"", ""负载均衡"", ""主流云网络架构""]",仅供盲标完成后复核，不得直接复制为金标
JD-079,GOV-2025-132106-300147131002,[],仅供盲标完成后复核，不得直接复制为金标
JD-080,GOV-2026-129130-300110008001,[],仅供盲标完成后复核，不得直接复制为金标
JD-081,GOV-2024-130130-300110042001,[],仅供盲标完成后复核，不得直接复制为金标
JD-082,JOB04140,"[""C"", ""Go"", ""Python"", ""Java"", ""Android开发"", ""鸿蒙开发"", ""客户端逆向"", ""客户端性能优化"", ""客户端架构"", ""Android Framework"", ""系统Framework""]",仅供盲标完成后复核，不得直接复制为金标
JD-083,GOV-2024-154127-300147007001,[],仅供盲标完成后复核，不得直接复制为金标
JD-084,GOV-2026-158132-300130310003,[],仅供盲标完成后复核，不得直接复制为金标
JD-085,JOB10315,"[""AIGC"", ""AI评测"", ""Go"", ""Python"", ""Java"", ""测试工程化""]",仅供盲标完成后复核，不得直接复制为金标
JD-086,JOB09434,"[""W3C"", ""HTML5"", ""CSS3"", ""JavaScript"", ""ES6"", ""Ajax"", ""DOM"", ""BOM"", ""响应式布局"", ""CSS性能优化"", ""面向对象编程"", ""React"", ""Vue"", ""数据响应式"", ""Node.js"", ""Gulp"", ""Webpack"", ""Rollup"", ""前端性能优化"", ""调试工具"", ""抓包工具""]",仅供盲标完成后复核，不得直接复制为金标
JD-087,JOB12129,"[""机器学习"", ""预估模型"", ""C"", ""C++"", ""Java"", ""Python"", ""数据挖掘"", ""强化学习"", ""信息检索"", ""自然语言理解"", ""推荐系统"", ""计算广告学"", ""算法博弈论""]",仅供盲标完成后复核，不得直接复制为金标
JD-088,JOB10892,"[""UE5"", ""Unity"", ""Blueprint"", ""C++"", ""脚本开发"", ""渲染管线"", ""GBuffer"", ""批量化数据生成"", ""PCG"", ""Python"", ""PyTorch"", ""USD"", ""Houdini"", ""Omniverse"", ""可微渲染"", ""计算机图形学"", ""Diffusion Model""]",仅供盲标完成后复核，不得直接复制为金标
JD-089,job_7241985145b78ad57e95,[],仅供盲标完成后复核，不得直接复制为金标
JD-090,JOB00345,"[""嵌入式Linux"", ""C"", ""C++"", ""通信协议栈"", ""数据处理引擎"", ""设备管理组件"", ""ARM"", ""中间件"", ""Linux系统编程"", ""网络编程"", ""进程间通信"", ""Linux驱动模型"", ""BSP"", ""交叉编译"", ""Makefile"", ""CMake"", ""GDB"", ""Strace"", ""系统构建""]",仅供盲标完成后复核，不得直接复制为金标
JD-091,GOV-2025-132120-300147561001,[],仅供盲标完成后复核，不得直接复制为金标
JD-092,JOB09461,"[""iOS"", ""Objective-C"", ""网络编程"", ""数据库"", ""多线程编程"", ""面向对象设计"", ""设计模式""]",仅供盲标完成后复核，不得直接复制为金标
JD-093,JOB04210,"[""Python"", ""PHP"", ""C++"", ""Java"", ""Golang"", ""MySQL"", ""Redis"", ""消息队列"", ""微服务"", ""服务治理"", ""负载均衡"", ""流控"", ""服务端研发""]",仅供盲标完成后复核，不得直接复制为金标
JD-094,job_59da9e5f621fbf4d5cc9,"[""昇腾""]",仅供盲标完成后复核，不得直接复制为金标
JD-095,JOB10059,"[""Java"", ""数据结构"", ""算法"", ""分布式开发"", ""高并发系统"", ""面向对象设计"", ""Java Web"", ""微服务"", ""Linux"", ""MySQL"", ""NoSQL"", ""Java中间件"", ""商品系统"", ""订单系统"", ""交易系统""]",仅供盲标完成后复核，不得直接复制为金标
JD-096,GOV-2024-154107-300147105001,[],仅供盲标完成后复核，不得直接复制为金标
JD-097,GOV-2026-132108-300147234001,[],仅供盲标完成后复核，不得直接复制为金标
JD-098,JOB00035,"[""Java"", ""数据结构"", ""算法"", ""微服务架构"", ""Spring"", ""Docker"", ""分布式系统"", ""后端开发"", ""系统架构设计"", ""性能优化"", ""代码评审""]",仅供盲标完成后复核，不得直接复制为金标
JD-099,job_871c62ce1d4a10cffffa,[],仅供盲标完成后复核，不得直接复制为金标
JD-100,JOB05202,"[""Java"", ""C"", ""C++"", ""PHP"", ""Python"", ""Go"", ""网络开发""]",仅供盲标完成后复核，不得直接复制为金标
JD-101,JOB08891,"[""Android图形系统"", ""View"", ""HWUI"", ""Skia"", ""WMS"", ""SurfaceFlinger"", ""HWComposer"", ""OpenHarmony图形子系统"", ""Linux X11"", ""Wayland"", ""Flutter图形子系统"", ""OpenGL ES"", ""Vulkan"", ""Android框架"", ""iOS框架"", ""trace"", ""Perfetto"", ""perf"", ""eBPF"", ""Rust"", ""C"", ""C++"", ""CPU调度"", ""IO调度"", ""内存优化"", ""文件系统"", ""devfreq"", ""cpufreq""]",仅供盲标完成后复核，不得直接复制为金标
JD-102,job_b5962753de44b1dee3f1,[],仅供盲标完成后复核，不得直接复制为金标
JD-103,job_aef6648db280a06e56e1,"[""Android"", ""iOS"", ""架构设计""]",仅供盲标完成后复核，不得直接复制为金标
JD-104,JOB01137,"[""Python"", ""Golang"", ""Rust"", ""Java"", ""AI Coding"", ""大模型"", ""Agent"", ""工具调用"", ""上下文管理"", ""长程执行"", ""Self-involve"", ""云原生"", ""分布式系统"", ""任务调度"", ""可观测性"", ""资源隔离"", ""网络访问控制""]",仅供盲标完成后复核，不得直接复制为金标
JD-105,GOV-2024-129113-300110013005,[],仅供盲标完成后复核，不得直接复制为金标
JD-106,job_d7abe6094859c408be90,[],仅供盲标完成后复核，不得直接复制为金标
JD-107,job_33451ba6d2c3d78fdfc0,[],仅供盲标完成后复核，不得直接复制为金标
JD-108,GOV-2025-132110-300147180001,[],仅供盲标完成后复核，不得直接复制为金标
JD-109,JOB09498,"[""Go"", ""数据结构"", ""算法"", ""网络基础"", ""MySQL"", ""Redis"", ""Elasticsearch"", ""Kafka"", ""Kubernetes"", ""性能优化"", ""故障排查"", ""数据仓库"", ""数据建模"", ""Doris"", ""Hive"", ""Spark"", ""Flink"", ""维度建模"", ""分层建设"", ""指标体系"", ""漏斗分析"", ""留存分析"", ""分群分析"", ""AWS""]",仅供盲标完成后复核，不得直接复制为金标
JD-110,GOV-2024-154105-300147013001,[],仅供盲标完成后复核，不得直接复制为金标
JD-111,job_d881a6608f2105a36502,[],仅供盲标完成后复核，不得直接复制为金标
JD-112,job_a352cc39230a1896ff5f,[],仅供盲标完成后复核，不得直接复制为金标
JD-113,GOV-2025-158112-300130860057,[],仅供盲标完成后复核，不得直接复制为金标
JD-114,JOB02154,"[""C"", ""C++"", ""Golang"", ""数据结构"", ""算法"", ""多线程编程"", ""I/O"", ""操作系统调度"", ""数据库存储引擎"", ""分布式存储"", ""ClickHouse"", ""Greenplum"", ""MySQL"", ""Doris"", ""Key-Value存储""]",仅供盲标完成后复核，不得直接复制为金标
JD-115,GOV-2025-132111-300147205001,[],仅供盲标完成后复核，不得直接复制为金标
JD-116,job_e753d9acd8fa9f4b0286,[],仅供盲标完成后复核，不得直接复制为金标
JD-117,JOB07645,"[""Objective-C"", ""iOS开发"", ""iOS UI"", ""iOS网络"", ""开源库"", ""Mac OS X"", ""Xcode"", ""算法"", ""数据结构"", ""Swift""]",仅供盲标完成后复核，不得直接复制为金标
JD-118,GOV-2025-132125-300147663001,[],仅供盲标完成后复核，不得直接复制为金标
JD-119,GOV-2025-130130-300110330003,[],仅供盲标完成后复核，不得直接复制为金标
JD-120,job_b89b1b5d40773baa300a,[],仅供盲标完成后复核，不得直接复制为金标
JD-121,JOB00263,"[""GPU"", ""AI服务器硬件"", ""GPU性能指标测试"", ""算力测试"", ""功耗测试"", ""FMEA"", ""SPC"", ""Excel数据处理""]",仅供盲标完成后复核，不得直接复制为金标
JD-122,JOB00589,"[""Python"", ""SQL"", ""机器学习"", ""深度学习"", ""异常检测"", ""时序建模"", ""分类算法"", ""聚类算法"", ""统计分析"", ""高维数据处理"", ""稀疏数据处理"", ""异构数据处理"", ""低标签数据处理"", ""工程代码""]",仅供盲标完成后复核，不得直接复制为金标
JD-123,JOB02696,"[""前端架构"", ""Webpack"", ""Esbuild"", ""Vite"", ""前端框架"", ""前端工程化""]",仅供盲标完成后复核，不得直接复制为金标
JD-124,JOB12268,"[""AI加速器"", ""ASIC前端设计"", ""EDA"", ""Verdi"", ""SpyGlass"", ""RTL设计"", ""RTL编码"", ""Verilog"", ""SystemVerilog"", ""CPU架构"", ""GPGPU架构"", ""AXI"", ""片上网络"", ""大芯片""]",仅供盲标完成后复核，不得直接复制为金标
JD-125,GOV-2026-109434-300130001001,[],仅供盲标完成后复核，不得直接复制为金标
JD-126,JOB00165,"[""C++"", ""Python"", ""仿真系统开发"", ""仿真引擎"", ""仿真机制"", ""仿真工具"", ""仿真平台架构"", ""算法模型集成"", ""3DGS"", ""NeRF"", ""SmartAgent"", ""Waymax""]",仅供盲标完成后复核，不得直接复制为金标
JD-127,JOB07590,"[""Golang"", ""Python"", ""前端技术"", ""MySQL"", ""MongoDB"", ""Redis"", ""Kafka"", ""时序数据库"", ""Linux"", ""容器"", ""云服务"", ""分布式计算"", ""大模型编排"", ""AI应用"", ""基础设施资源管理"", ""工单流程"", ""网络控制器"", ""数据结构"", ""算法""]",仅供盲标完成后复核，不得直接复制为金标
JD-128,JOB12044,"[""芯片制程"", ""FPC生产工艺"", ""PCB生产工艺"", ""ISO9001"", ""TS16949"", ""ISO14001"", ""Minitab"", ""JMP"", ""DOE"", ""MSA"", ""FMEA"", ""SPC"", ""IPD"", ""PPAP""]",仅供盲标完成后复核，不得直接复制为金标
JD-129,job_868afe6f1d606426526f,[],仅供盲标完成后复核，不得直接复制为金标
JD-130,JOB11268,"[""计算机体系结构"", ""操作系统"", ""Windows内核"", ""macOS内核"", ""Linux内核"", ""C"", ""C++"", ""汇编"", ""Go"", ""Python"", ""Rust"", ""注入"", ""Hook"", ""程序逆向"", ""木马分析"", ""EDR"", ""AV"", ""DLP"", ""过滤驱动"", ""内核扩展"", ""macOS Endpoint Security"", ""eBPF"", ""LLM Agent"", ""MCP"", ""Function Calling"", ""Agent沙箱"", ""LLM Gateway"", ""Coding Agent"", ""Prompt Injection"", ""模型越狱"", ""Claude Code"", ""Cursor"", ""Copilot""]",仅供盲标完成后复核，不得直接复制为金标
JD-131,job_3dfc51808877e5326583,[],仅供盲标完成后复核，不得直接复制为金标
JD-132,job_906484b3c05000b3901b,[],仅供盲标完成后复核，不得直接复制为金标
JD-133,job_f536227c0f809ea6000d,[],仅供盲标完成后复核，不得直接复制为金标
JD-134,job_15e9814e1e23ba4a33b6,[],仅供盲标完成后复核，不得直接复制为金标
JD-135,job_94bdf2783f3ce622da62,"[""Android""]",仅供盲标完成后复核，不得直接复制为金标
JD-136,job_c4cd77adc200f9472f47,[],仅供盲标完成后复核，不得直接复制为金标
JD-137,GOV-2025-137117-400110117019,[],仅供盲标完成后复核，不得直接复制为金标
JD-138,JOB05298,"[""工业相机"", ""仿人眼镜头"", ""自准直仪"", ""色度计"", ""光谱仪"", ""光学系统验证"", ""光学设备调试校准"", ""MTF"", ""Distortion"", ""XR光学测试"", ""MATLAB"", ""Python"", ""C"", ""C#"", ""C++""]",仅供盲标完成后复核，不得直接复制为金标
JD-139,GOV-2024-130130-300110010002,[],仅供盲标完成后复核，不得直接复制为金标
JD-140,JOB02157,"[""C"", ""C++"", ""Golang"", ""Java"", ""Python"", ""软件开发"", ""平台产品"", ""LLM应用"", ""LLM-powered应用"", ""研发工具链""]",仅供盲标完成后复核，不得直接复制为金标
JD-141,JOB01154,"[""服务器硬件"", ""BIOS"", ""BMC"", ""服务器故障定位"", ""云计算硬件"", ""存储硬件"", ""数据库硬件"", ""CDN硬件"", ""边缘计算硬件"", ""混合云硬件"", ""生产测试系统""]",仅供盲标完成后复核，不得直接复制为金标
JD-142,job_69d41239b2fd0b4c4b5f,[],仅供盲标完成后复核，不得直接复制为金标
JD-143,job_47e0a8b9da77ddf84bbb,"[""iOS""]",仅供盲标完成后复核，不得直接复制为金标
JD-144,JOB06165,"[""Python"", ""Java"", ""C"", ""C++"", ""Hadoop"", ""Storm"", ""Spark"", ""Hive"", ""Kafka"", ""Elasticsearch"", ""Druid"", ""Superset""]",仅供盲标完成后复核，不得直接复制为金标
JD-145,GOV-2025-137105-400110105032,[],仅供盲标完成后复核，不得直接复制为金标
JD-146,GOV-2025-130130-300110090005,[],仅供盲标完成后复核，不得直接复制为金标
JD-147,job_dfe23f246970e792df70,[],仅供盲标完成后复核，不得直接复制为金标
JD-148,JOB03862,"[""Android应用开发"", ""Java"", ""Kotlin"", ""C++"", ""Android SDK"", ""Android NDK"", ""Android系统框架"", ""Android Framework"", ""Jetpack Compose"", ""XR开发"", ""OpenXR"", ""OpenGL"", ""Vulkan"", ""Skia""]",仅供盲标完成后复核，不得直接复制为金标
JD-149,JOB03264,"[""AI Agent"", ""Vibe Coding"", ""GPT"", ""Claude"", ""开源大模型"", ""模型能力评测"", ""数据分析"", ""评测数据分析""]",仅供盲标完成后复核，不得直接复制为金标
JD-150,JOB09271,"[""机器学习"", ""C++"", ""Python"", ""Linux"", ""图像深度学习"", ""3D卷积"", ""稀疏卷积"", ""Transformer"", ""LLM"", ""VLM"", ""VLA"", ""计算机视觉"", ""机器人感知""]",仅供盲标完成后复核，不得直接复制为金标
JD-151,GOV-2025-137106-400110106027,[],仅供盲标完成后复核，不得直接复制为金标
JD-152,JOB06374,"[""Go"", ""Python"", ""C"", ""多线程编程"", ""大数据分析"", ""机器学习"", ""深度学习"", ""MySQL"", ""Redis"", ""Elasticsearch"", ""Hive"", ""DDoS防护"", ""TCP/IP"", ""HTTP"", ""网络攻击防御""]",仅供盲标完成后复核，不得直接复制为金标
JD-153,JOB11176,"[""大模型"", ""搜索算法"", ""推荐算法"", ""召回算法"", ""排序算法"", ""AI Search"", ""Copilot"", ""智能问答"", ""AI Agent"", ""Transformer"", ""SFT"", ""RLHF"", ""DPO"", ""推理优化""]",仅供盲标完成后复核，不得直接复制为金标
JD-154,JOB04615,"[""iOS"", ""Objective-C"", ""Swift"", ""iPhone App开发"", ""移动端开发""]",仅供盲标完成后复核，不得直接复制为金标
JD-155,job_834a5d2da1c46ea59d2d,[],仅供盲标完成后复核，不得直接复制为金标
JD-156,job_888eff6448de0285b28e,"[""Docker"", ""Kubernetes"", ""GPU""]",仅供盲标完成后复核，不得直接复制为金标
JD-157,job_b7dd2c60da44896188df,"[""运营""]",仅供盲标完成后复核，不得直接复制为金标
JD-158,GOV-2025-137122-400110122011,[],仅供盲标完成后复核，不得直接复制为金标
JD-159,GOV-2024-135118-400110718041,[],仅供盲标完成后复核，不得直接复制为金标
JD-160,job_48ae3eb2c4394f41dd6b,[],仅供盲标完成后复核，不得直接复制为金标
JD-161,job_4d4889adda211367d9ab,"[""品牌""]",仅供盲标完成后复核，不得直接复制为金标
JD-162,JOB12395,"[""云计算"", ""公共云"", ""AI"", ""AI智能硬件"", ""架构设计"", ""生成式AI"", ""人工智能"", ""机器学习"", ""基础模型""]",仅供盲标完成后复核，不得直接复制为金标
JD-163,job_d7afd13020f442f80b15,[],仅供盲标完成后复核，不得直接复制为金标
JD-164,job_ecb7e30456fea3bc9ae7,[],仅供盲标完成后复核，不得直接复制为金标
JD-165,JOB06085,"[""数据结构与算法"", ""机器学习"", ""NLP"", ""数据挖掘"", ""推荐系统"", ""计算广告"", ""搜索引擎""]",仅供盲标完成后复核，不得直接复制为金标
JD-166,job_4f0466b4dc55f8236d23,[],仅供盲标完成后复核，不得直接复制为金标
JD-167,job_6c136b0883dd182fa99b,[],仅供盲标完成后复核，不得直接复制为金标
JD-168,JOB08555,"[""Java"", ""JVM内存模型"", ""GC调优"", ""多线程"", ""并发编程"", ""网络通信"", ""分布式系统"", ""MySQL"", ""索引优化"", ""事务"", ""锁机制"", ""消息队列"", ""Elasticsearch"", ""性能调优"", ""故障排查"", ""高并发"", ""高可用"", ""高性能"", ""智能核身"", ""人脸核验"", ""证件核验"", ""决策引擎"", ""规则引擎""]",仅供盲标完成后复核，不得直接复制为金标
JD-169,GOV-2024-135105-400110105090,[],仅供盲标完成后复核，不得直接复制为金标
JD-170,JOB12313,"[""嵌入式软件开发"", ""C"", ""C++"", ""Python"", ""Makefile"", ""Shell"", ""Rust"", ""ARM"", ""RISC-V"", ""UART"", ""SPI"", ""I2C"", ""I3C"", ""PCIe"", ""DDR"", ""ONFI"", ""MAC""]",仅供盲标完成后复核，不得直接复制为金标
JD-171,JOB02285,"[""元数据平台"", ""数据治理"", ""数据血缘"", ""数据资产平台"", ""AI数据体系"", ""RAG"", ""AI-Friendly Schema"", ""Agent Tooling"", ""API平台"", ""分布式系统"", ""微服务"", ""服务治理"", ""AI Agent"", ""MCP"", ""Tool Use"", ""数据服务化平台"", ""AI数据消费体系""]",仅供盲标完成后复核，不得直接复制为金标
