sample_id,pair_id,source_grade,reference_warning
MATCH-048,resume_000007__07,1,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-049,resume_000009__04,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-050,resume_000003__06,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-051,resume_000001__04,2,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-052,resume_000005__09,3,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-053,resume_000030__18,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-054,resume_000002__15,2,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-055,resume_000011__01,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-056,resume_000002__18,3,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-057,resume_000052__20,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-058,resume_000001__13,2,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-059,resume_000016__07,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-060,resume_000006__17,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-061,resume_000001__14,1,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-062,resume_000057__05,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-063,resume_000009__05,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-064,resume_000030__17,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-065,resume_000018__17,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-066,resume_000022__05,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-067,resume_000035__06,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-068,resume_000057__09,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-069,resume_000026__20,1,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-070,resume_000005__04,3,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-071,resume_000001__20,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-072,resume_000009__07,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-073,resume_000002__12,3,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-074,resume_000017__16,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-075,resume_000014__07,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-076,resume_000005__01,3,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-077,resume_000057__12,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-078,resume_000035__19,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-079,resume_000005__16,2,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-080,resume_000015__20,1,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-081,resume_000035__02,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-082,resume_000002__04,2,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-083,resume_000012__08,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-084,resume_000027__12,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-085,resume_000010__03,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-086,resume_000023__15,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-087,resume_000004__13,3,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-088,resume_000027__02,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-089,resume_000035__01,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-090,resume_000016__10,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-091,resume_000016__18,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-092,resume_000016__08,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-093,resume_000004__09,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-094,resume_000052__06,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-095,resume_000037__20,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-096,resume_000017__02,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-097,resume_000007__12,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-098,resume_000035__03,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-099,resume_000003__10,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-100,resume_000014__01,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-101,resume_000011__17,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-102,resume_000008__13,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-103,resume_000012__05,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-104,resume_000015__18,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-105,resume_000023__05,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-106,resume_000023__19,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-107,resume_000004__08,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-108,resume_000024__19,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-109,resume_000030__12,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-110,resume_000008__03,3,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-111,resume_000014__13,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-112,resume_000026__09,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-113,resume_000026__10,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-114,resume_000009__19,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-115,resume_000022__15,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-116,resume_000017__09,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-117,resume_000027__19,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-118,resume_000001__16,3,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-119,resume_000005__06,1,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-120,resume_000023__10,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-121,resume_000013__11,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-122,resume_000008__04,3,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-123,resume_000011__14,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-124,resume_000005__07,3,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-125,resume_000057__08,2,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-126,resume_000020__11,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-127,resume_000019__01,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-128,resume_000057__16,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-129,resume_000012__04,3,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-130,resume_000015__10,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-131,resume_000027__09,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-132,resume_000037__01,2,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-133,resume_000008__19,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-134,resume_000008__17,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-135,resume_000026__01,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-136,resume_000010__15,3,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-137,resume_000057__04,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-138,resume_000001__11,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-139,resume_000026__11,2,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-140,resume_000017__20,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-141,resume_000015__02,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-142,resume_000057__18,1,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-143,resume_000002__16,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-144,resume_000007__18,2,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-145,resume_000008__10,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-146,resume_000030__10,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-147,resume_000004__15,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-148,resume_000008__12,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-149,resume_000016__05,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-150,resume_000009__17,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-151,resume_000011__20,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-152,resume_000057__03,2,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-153,resume_000017__04,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-154,resume_000010__10,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-155,resume_000030__05,2,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-156,resume_000018__20,2,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-157,resume_000008__08,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-158,resume_000002__01,2,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-159,resume_000010__08,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-160,resume_000013__08,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-161,resume_000007__04,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-162,resume_000010__14,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-163,resume_000015__19,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-164,resume_000020__09,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-165,resume_000037__19,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-166,resume_000035__18,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-167,resume_000003__02,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-168,resume_000052__14,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-169,resume_000014__16,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-170,resume_000052__16,2,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-171,resume_000016__16,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-172,resume_000014__14,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-173,resume_000022__18,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-174,resume_000005__19,2,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-175,resume_000004__10,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-176,resume_000017__17,1,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-177,resume_000004__18,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-178,resume_000035__09,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-179,resume_000035__15,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-180,resume_000007__14,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-181,resume_000026__06,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-182,resume_000015__04,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-183,resume_000037__09,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-184,resume_000020__08,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-185,resume_000022__06,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-186,resume_000037__04,2,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-187,resume_000024__07,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-188,resume_000002__20,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-189,resume_000007__10,2,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-190,resume_000013__05,1,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-191,resume_000007__11,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-192,resume_000030__06,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-193,resume_000035__13,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-194,resume_000016__06,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-195,resume_000016__13,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-196,resume_000012__17,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-197,resume_000024__13,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-198,resume_000004__14,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-199,resume_000014__08,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-200,resume_000010__09,1,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-201,resume_000017__08,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-202,resume_000008__20,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-203,resume_000004__20,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-204,resume_000037__15,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-205,resume_000015__13,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-206,resume_000037__18,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-207,resume_000019__04,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-208,resume_000009__02,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-209,resume_000005__03,3,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-210,resume_000001__03,2,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-211,resume_000027__01,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-212,resume_000037__08,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-213,resume_000030__20,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-214,resume_000012__06,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-215,resume_000027__06,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-216,resume_000007__02,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-217,resume_000004__16,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-218,resume_000024__08,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-219,resume_000013__10,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-220,resume_000002__05,2,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-221,resume_000003__15,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-222,resume_000057__14,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-223,resume_000026__13,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-224,resume_000001__06,3,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-225,resume_000012__14,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-226,resume_000004__07,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-227,resume_000005__13,2,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-228,resume_000005__05,1,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-229,resume_000004__01,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-230,resume_000023__11,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-231,resume_000057__06,3,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-232,resume_000015__03,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-233,resume_000015__15,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-234,resume_000024__20,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-235,resume_000027__07,1,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-236,resume_000019__03,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-237,resume_000057__17,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-238,resume_000037__11,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-239,resume_000003__03,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-240,resume_000030__01,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-241,resume_000052__11,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-242,resume_000005__12,3,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-243,resume_000020__20,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-244,resume_000012__18,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-245,resume_000013__07,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-246,resume_000023__06,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-247,resume_000006__01,3,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-248,resume_000014__04,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-249,resume_000052__12,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-250,resume_000023__16,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-251,resume_000057__10,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-252,resume_000018__13,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-253,resume_000024__14,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-254,resume_000002__14,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-255,resume_000006__08,3,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-256,resume_000006__11,2,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-257,resume_000022__20,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-258,resume_000003__04,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-259,resume_000017__03,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-260,resume_000052__02,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-261,resume_000023__07,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-262,resume_000007__06,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-263,resume_000052__13,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-264,resume_000019__20,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-265,resume_000010__16,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-266,resume_000016__19,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-267,resume_000010__18,3,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-268,resume_000019__05,2,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-269,resume_000004__04,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-270,resume_000009__01,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-271,resume_000015__17,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-272,resume_000026__19,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-273,resume_000027__14,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-274,resume_000002__17,2,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-275,resume_000022__07,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-276,resume_000008__02,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-277,resume_000037__13,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-278,resume_000013__16,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-279,resume_000037__06,2,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-280,resume_000035__05,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-281,resume_000019__18,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-282,resume_000024__05,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-283,resume_000005__17,3,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-284,resume_000015__16,1,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-285,resume_000019__09,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-286,resume_000008__07,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-287,resume_000027__15,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-288,resume_000024__16,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-289,resume_000035__07,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-290,resume_000035__11,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-291,resume_000027__13,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-292,resume_000020__04,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-293,resume_000017__01,3,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-294,resume_000052__03,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-295,resume_000018__03,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-296,resume_000003__20,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
