sample_id,candidate_id,target_job_family,resume_text,gold_name,gold_skills,gold_years_experience,gold_education,gold_experience_titles,is_parseable,annotator,notes
RES-040,resume_000508_exp00_0,多模态算法工程师,"求职意向：多模态算法工程师。
标准岗位：多模态算法工程师；岗位大族：AI算法；经验年限：0年；候选人层级：校招/无全职经验。
岗位系统技能画像：Diffusion、Python、PyTorch、SFT、AIGC、C/C++、NLP、VLM、分布式训练、大模型训练、DeepSpeed、LLM。
个人概述：具备0年左右多模态算法工程师相关实践经验，熟悉Diffusion、Python、PyTorch、SFT、AIGC、C/C++、NLP、VLM，能够承担基础实践、原型验证和学习型任务。
教育背景：本科，学士学位，211高校，计算机科学与技术专业，英语四级。
技能栈：Diffusion、Python、PyTorch、SFT、AIGC、C/C++、NLP、VLM、分布式训练、大模型训练、DeepSpeed、LLM、JavaScript、TensorFlow、Tableau、Power BI、FineBI、AIOps。
工作经历：多模态算法工程师方向，累计0年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：企业知识库 RAG 问答平台：担任主要负责人，技术栈包括Spark、MLIR/LLVM、分布式系统、系统设计、AIOps、特征工程。负责语义检索、召回排序、Prompt 模板和效果评估，沉淀离线评测集并优化回答准确率。项目结果：将核心流程耗时降低约 20%。 多模态内容理解与标签系统：担任核心成员，技术栈包括NPU/GPU、AI Agent、Java、分布式系统、Computer Vision、机器学习。参与图文特征抽取、模型训练和推理服务部署，支持业务侧内容审核与推荐分发。项目结果：显著改善系统稳定性和可维护性。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。",,,,,,,,
RES-041,resume_003835_exp10_4,大模型算法工程师,"求职意向：大模型算法工程师。
标准岗位：大模型算法工程师；岗位大族：AI算法；经验年限：10年；候选人层级：专家。
岗位系统技能画像：LLM、Megatron、PPO、LoRA微调、C/C++、PyTorch、DeepSpeed、Python、机器学习、GRPO、深度学习、计算机视觉。
个人概述：具备10年左右大模型算法工程师相关实践经验，熟悉LLM、Megatron、PPO、LoRA微调、C/C++、PyTorch、DeepSpeed、Python，能够承担技术规划、架构演进、团队赋能和关键项目决策。
教育背景：本科，学士学位，普通高校，软件工程专业，英语四级。
技能栈：LLM、Megatron、PPO、LoRA微调、C/C++、PyTorch、DeepSpeed、Python、机器学习、GRPO、深度学习、计算机视觉、Java、JavaScript、SQL、TensorFlow、Tableau、Power BI。
工作经历：大模型算法工程师方向，累计10年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：企业知识库 RAG 问答平台：担任主要负责人，技术栈包括模型量化、Prompt Engineering、机器学习、数据仓库、LoRA、C#。负责语义检索、召回排序、Prompt 模板和效果评估，沉淀离线评测集并优化回答准确率。项目结果：支撑多业务线稳定复用。 多模态内容理解与标签系统：担任核心成员，技术栈包括Java、PyTorch、分布式训练、Prompt Engineering、LoRA、代码测试。参与图文特征抽取、模型训练和推理服务部署，支持业务侧内容审核与推荐分发。项目结果：提升问题定位和交付效率。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。",,,,,,,,
RES-042,resume_005302_exp02_0,大模型应用工程师,"求职意向：大模型应用工程师。
标准岗位：大模型应用工程师；岗位大族：AI应用；经验年限：2年；候选人层级：初级。
岗位系统技能画像：大模型调优、AI应用开发、LLM、模型微调、Embedding、Function Calling、RAG、大模型应用、模型工程、prompt工程、LangChain、向量数据库。
个人概述：具备2年左右大模型应用工程师相关实践经验，熟悉大模型调优、AI应用开发、LLM、模型微调、Embedding、Function Calling、RAG、大模型应用，能够承担模块开发、测试验证和问题跟进。
教育背景：专科，高职院校，计算机科学与技术专业，无。
技能栈：大模型调优、AI应用开发、LLM、模型微调、Embedding、Function Calling、RAG、大模型应用、模型工程、prompt工程、LangChain、向量数据库、Python、Java、JavaScript、SQL、Go、HTML。
工作经历：大模型应用工程师方向，累计2年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：企业级运营管理后台：担任主要负责人，技术栈包括性能优化、品牌、Vue、JavaScript、Webpack、SQL。负责组件库封装、状态管理、权限路由和复杂表单交互。项目结果：提升问题定位和交付效率。 数据可视化大屏：担任核心成员，技术栈包括Java、Power BI、Tableau、CSS、Vuex、Go。实现图表组件、实时数据刷新和性能优化，支持业务运营分析。项目结果：支撑多业务线稳定复用。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。",,,,,,,,
RES-043,resume_004149_exp10_4,数据治理工程师,"求职意向：数据治理工程师。
标准岗位：数据治理工程师；岗位大族：数据；经验年限：10年；候选人层级：专家。
岗位系统技能画像：Hive、Python、Spark、数据工程、SQL、MySQL、PostgreSQL、MongoDB、Redis、Pandas、NumPy、Tableau。
个人概述：具备10年左右数据治理工程师相关实践经验，熟悉Hive、Python、Spark、数据工程、SQL、MySQL、PostgreSQL、MongoDB，能够承担技术规划、架构演进、团队赋能和关键项目决策。
教育背景：本科，学士学位，211高校，统计学专业，英语六级。
技能栈：Hive、Python、Spark、数据工程、SQL、MySQL、PostgreSQL、MongoDB、Redis、Pandas、NumPy、Tableau、Power BI、FineBI、数据分析、ETL、Flink、数据仓库。
工作经历：数据治理工程师方向，累计10年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：业务经营分析看板：担任主要负责人，技术栈包括Java、数据可视化、Pandas、数据仓库、运营、Elasticsearch。建设核心指标体系，使用 SQL 和 BI 工具输出日活、留存、转化和收入分析。项目结果：将核心流程耗时降低约 20%。 用户增长归因分析：担任核心成员，技术栈包括用户研究、C++、FineBI、IP、MongoDB、Flink。围绕渠道、活动和用户分层构建分析模型，支持运营策略迭代。项目结果：提升问题定位和交付效率。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。",,,,,,,,
RES-044,resume_002329_exp01_1,语音算法工程师,"求职意向：语音算法工程师。
标准岗位：语音算法工程师；岗位大族：AI算法；经验年限：1年；候选人层级：初级。
岗位系统技能画像：Python、TensorFlow、C/C++、TTS、PyTorch、Go、NLP、机器学习、ASR、信号处理、音视频技术、Linux。
个人概述：具备1年左右语音算法工程师相关实践经验，熟悉Python、TensorFlow、C/C++、TTS、PyTorch、Go、NLP、机器学习，能够承担模块开发、测试验证和问题跟进。
教育背景：硕士研究生，硕士学位，双一流高校，软件工程专业，英语六级。
技能栈：Python、TensorFlow、C/C++、TTS、PyTorch、Go、NLP、机器学习、ASR、信号处理、音视频技术、Linux、Java、JavaScript、SQL、Pandas、NumPy、Hadoop。
工作经历：语音算法工程师方向，累计1年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：企业知识库 RAG 问答平台：担任主要负责人，技术栈包括CTR/CVR、QClaw-AI、大模型、TDSQL、Agentic、Python。负责语义检索、召回排序、Prompt 模板和效果评估，沉淀离线评测集并优化回答准确率。项目结果：显著改善系统稳定性和可维护性。 多模态内容理解与标签系统：担任核心成员，技术栈包括C++、Python、MPI、MindSpore、Agentic、模型压缩。参与图文特征抽取、模型训练和推理服务部署，支持业务侧内容审核与推荐分发。项目结果：支撑多业务线稳定复用。 大模型推理性能优化：担任核心成员，技术栈包括机器学习、数据湖、高并发、TDSQL、特征工程、CTR/CVR。围绕批处理、缓存、量化和 GPU 资源利用率进行调优，降低在线推理延迟。项目结果：形成可复用的技术方案和项目文档。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。",,,,,,,,
RES-045,resume_005241_exp05_2,AIGC算法工程师,"求职意向：AIGC算法工程师。
标准岗位：AIGC算法工程师；岗位大族：AI算法；经验年限：5年；候选人层级：中级。
岗位系统技能画像：TensorFlow、Python、计算机视觉、Diffusion、PyTorch、机器学习、AIGC、Machine Learning、图像图形技术、多模态、C/C++、LLM。
个人概述：具备5年左右AIGC算法工程师相关实践经验，熟悉TensorFlow、Python、计算机视觉、Diffusion、PyTorch、机器学习、AIGC、Machine Learning，能够承担独立模块交付、跨团队协作和质量改进。
教育背景：专科，高职院校，软件工程专业，无。
技能栈：TensorFlow、Python、计算机视觉、Diffusion、PyTorch、机器学习、AIGC、Machine Learning、图像图形技术、多模态、C/C++、LLM、Pandas、NumPy、Tableau、Power BI、FineBI、多模态AI。
工作经历：AIGC算法工程师方向，累计5年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：企业知识库 RAG 问答平台：担任主要负责人，技术栈包括深度学习、Scikit-learn、多模态AI、C++、数据湖、Flux。负责语义检索、召回排序、Prompt 模板和效果评估，沉淀离线评测集并优化回答准确率。项目结果：将核心流程耗时降低约 20%。 多模态内容理解与标签系统：担任核心成员，技术栈包括多模态AI、AgentBench、PyTorch、CV/NLP、MPI、MindSpore。参与图文特征抽取、模型训练和推理服务部署，支持业务侧内容审核与推荐分发。项目结果：支撑多业务线稳定复用。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。",,,,,,,,
RES-046,resume_001363_exp00_0,数据分析师,"求职意向：数据分析师。
标准岗位：数据分析师；岗位大族：数据；经验年限：0年；候选人层级：校招/无全职经验。
岗位系统技能画像：数据工程、机器学习、Python、因果推断、算法工程、Spark、Hive、Hadoop、Machine Learning、Transformer、模型训练、PyTorch。
个人概述：具备0年左右数据分析师相关实践经验，熟悉数据工程、机器学习、Python、因果推断、算法工程、Spark、Hive、Hadoop，能够承担基础实践、原型验证和学习型任务。
教育背景：硕士研究生，硕士学位，985高校，信息管理与信息系统专业，英语六级。
技能栈：数据工程、机器学习、Python、因果推断、算法工程、Spark、Hive、Hadoop、Machine Learning、Transformer、模型训练、PyTorch、Java、JavaScript、SQL、Go、MySQL、MongoDB。
工作经历：数据分析师方向，累计0年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：业务经营分析看板：担任主要负责人，技术栈包括FineBI、Python、Flink、数据可视化、Power BI、PostgreSQL。建设核心指标体系，使用 SQL 和 BI 工具输出日活、留存、转化和收入分析。项目结果：显著改善系统稳定性和可维护性。 用户增长归因分析：担任核心成员，技术栈包括TDSQL、PostgreSQL、运营、IP、ETL、数据分析。围绕渠道、活动和用户分层构建分析模型，支持运营策略迭代。项目结果：形成可复用的技术方案和项目文档。 异常波动监控与复盘：担任核心成员，技术栈包括MongoDB、FineBI、Java、NLP、经营分析、SQL。搭建自动化监控报表，定位指标波动原因并输出数据结论。项目结果：提升问题定位和交付效率。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。",,,,,,,,
RES-047,resume_std_005710_exp00_0,图形图像工程师,"求职意向：图形图像工程师。
标准岗位：图形图像工程师；岗位大族：多媒体；经验年限：0年；候选人层级：校招/无全职经验。
岗位系统技能画像：C++、OpenGL、Vulkan、DirectX、图形渲染、Shader、图像处理、GPU、CUDA、计算机视觉、Unreal、Unity。
个人概述：具备0年左右图形图像工程师相关实践经验，熟悉C++、OpenGL、Vulkan、DirectX、图形渲染、Shader、图像处理、GPU，能够承担基础实践、原型验证和学习型任务。
教育背景：博士研究生，博士学位，普通高校，软件工程专业。
技能栈：C++、OpenGL、Vulkan、DirectX、图形渲染、Shader、图像处理、GPU、CUDA、计算机视觉、Unreal、Unity、Java、高性能计算、C/C++、Unreal Engine、图像图形技术、游戏与图形开发。
工作经历：图形图像工程师方向，累计0年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：实时流媒体传输平台：担任核心成员，技术栈包括C++、OpenGL、Vulkan、DirectX、图形渲染、Shader、图像处理、GPU。面向图形图像工程师岗位场景，围绕C++、OpenGL、Vulkan构建从方案设计、实现验证到质量复盘的闭环能力。项目结果：支撑多业务线稳定复用。 图形渲染性能优化：担任核心成员，技术栈包括Shader、图像处理、GPU、CUDA、计算机视觉、Unreal、Unity、Java。基于Shader、图像处理等技术完成方案验证、问题定位和迭代优化。项目结果：提升问题定位和交付效率。
综合能力：具备文档沉淀、跨团队沟通、问题定位、质量意识和持续学习能力，能够根据业务目标选择合适的技术方案。",,,,,,,,
RES-048,resume_002235_exp08_4,数据治理工程师,"求职意向：数据治理工程师。
标准岗位：数据治理工程师；岗位大族：数据；经验年限：8年；候选人层级：高级。
岗位系统技能画像：Hive、Python、Spark、数据工程、Java、SQL、Go、MySQL、MongoDB、Pandas、NumPy、Hadoop。
个人概述：具备8年左右数据治理工程师相关实践经验，熟悉Hive、Python、Spark、数据工程、Java、SQL、Go、MySQL，能够承担核心项目主导、方案评审和复杂问题攻坚。
教育背景：本科，学士学位，211高校，数据科学与大数据技术专业，英语四级。
技能栈：Hive、Python、Spark、数据工程、Java、SQL、Go、MySQL、MongoDB、Pandas、NumPy、Hadoop、Tableau、Power BI、FineBI、数据分析、Kafka、Flink。
工作经历：数据治理工程师方向，累计8年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：业务经营分析看板：担任主要负责人，技术栈包括Vector Database、经营分析、Oracle、IP、JavaScript、Pandas。建设核心指标体系，使用 SQL 和 BI 工具输出日活、留存、转化和收入分析。项目结果：支撑多业务线稳定复用。 用户增长归因分析：担任核心成员，技术栈包括JavaScript、MySQL、C#、用户增长、Scikit-learn、NLP。围绕渠道、活动和用户分层构建分析模型，支持运营策略迭代。项目结果：形成可复用的技术方案和项目文档。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。",,,,,,,,
RES-049,resume_std_005570_exp00_0,嵌入式软件工程师,"求职意向：嵌入式软件工程师。
标准岗位：嵌入式软件工程师；岗位大族：软件研发；经验年限：0年；候选人层级：校招/无全职经验。
岗位系统技能画像：C/C++、嵌入式系统、Linux、RTOS、ARM、MCU、驱动开发、串口、CAN、I2C、SPI、硬件调试。
个人概述：具备0年左右嵌入式软件工程师相关实践经验，熟悉C/C++、嵌入式系统、Linux、RTOS、ARM、MCU、驱动开发、串口，能够承担基础实践、原型验证和学习型任务。
教育背景：博士研究生，博士学位，普通高校，计算机科学与技术专业。
技能栈：C/C++、嵌入式系统、Linux、RTOS、ARM、MCU、驱动开发、串口、CAN、I2C、SPI、硬件调试、TCP/IP、光学技术、内存管理、系统开发、Python、Shell脚本。
工作经历：嵌入式软件工程师方向，累计0年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：嵌入式软件工程师核心能力建设：担任主要负责人，技术栈包括C/C++、嵌入式系统、Linux、RTOS、ARM、MCU、驱动开发、串口。面向嵌入式软件工程师岗位场景，围绕C/C++、嵌入式系统、Linux构建从方案设计、实现验证到质量复盘的闭环能力。项目结果：支撑多业务线稳定复用。 嵌入式软件工程师质量提升项目：担任核心成员，技术栈包括MCU、驱动开发、串口、CAN、I2C、SPI、硬件调试、TCP/IP。基于MCU、驱动开发等技术完成方案验证、问题定位和迭代优化。项目结果：提升问题定位和交付效率。
综合能力：具备文档沉淀、跨团队沟通、问题定位、质量意识和持续学习能力，能够根据业务目标选择合适的技术方案。",,,,,,,,
RES-050,resume_std_005869_exp05_2,FPGA工程师,"求职意向：FPGA工程师。
标准岗位：FPGA工程师；岗位大族：芯片；经验年限：5年；候选人层级：中级。
岗位系统技能画像：FPGA、Verilog、VHDL、Vivado、时序约束、RTL设计、AXI、PCIe、DDR、硬件调试、数字电路、信号完整性。
个人概述：具备5年左右FPGA工程师相关实践经验，熟悉FPGA、Verilog、VHDL、Vivado、时序约束、RTL设计、AXI、PCIe，能够承担独立模块交付、跨团队协作和质量改进。
教育背景：博士研究生，博士学位，985高校，电子科学与技术专业。
技能栈：FPGA、Verilog、VHDL、Vivado、时序约束、RTL设计、AXI、PCIe、DDR、硬件调试、数字电路、信号完整性。
工作经历：FPGA工程师方向，累计5年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：量产测试数据分析平台：担任核心成员，技术栈包括FPGA、Verilog、VHDL、Vivado、时序约束、RTL设计、AXI、PCIe。面向FPGA工程师岗位场景，围绕FPGA、Verilog、VHDL构建从方案设计、实现验证到质量复盘的闭环能力。项目结果：支撑多业务线稳定复用。 SoC 子系统设计项目：担任核心成员，技术栈包括RTL设计、AXI、PCIe、DDR、硬件调试、数字电路、信号完整性。基于RTL设计、AXI等技术完成方案验证、问题定位和迭代优化。项目结果：提升问题定位和交付效率。
综合能力：具备文档沉淀、跨团队沟通、问题定位、质量意识和持续学习能力，能够根据业务目标选择合适的技术方案。",,,,,,,,
RES-051,resume_003578_exp00_0,数据挖掘算法工程师,"求职意向：数据挖掘算法工程师。
标准岗位：数据挖掘算法工程师；岗位大族：算法；经验年限：0年；候选人层级：校招/无全职经验。
岗位系统技能画像：Java、TensorFlow、算法工程、C/C++、Hadoop、Hive、Machine Learning、NLP、PyTorch、Python、数据工程、机器学习。
个人概述：具备0年左右数据挖掘算法工程师相关实践经验，熟悉Java、TensorFlow、算法工程、C/C++、Hadoop、Hive、Machine Learning、NLP，能够承担基础实践、原型验证和学习型任务。
教育背景：本科，学士学位，双一流高校，应用数学专业，英语六级。
技能栈：Java、TensorFlow、算法工程、C/C++、Hadoop、Hive、Machine Learning、NLP、PyTorch、Python、数据工程、机器学习、SQL、MySQL、PostgreSQL、MongoDB、Redis、Pandas。
工作经历：数据挖掘算法工程师方向，累计0年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：业务经营分析看板：担任主要负责人，技术栈包括LLM/NLP、数据可视化、Milvus、TDSQL、Pandas、Oracle。建设核心指标体系，使用 SQL 和 BI 工具输出日活、留存、转化和收入分析。项目结果：支撑多业务线稳定复用。 用户增长归因分析：担任核心成员，技术栈包括用户增长、用户研究、MySQL、TDSQL、MongoDB、JavaScript。围绕渠道、活动和用户分层构建分析模型，支持运营策略迭代。项目结果：显著改善系统稳定性和可维护性。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。",,,,,,,,
RES-052,resume_005171_exp01_1,数据仓库工程师,"求职意向：数据仓库工程师。
标准岗位：数据仓库工程师；岗位大族：数据；经验年限：1年；候选人层级：初级。
岗位系统技能画像：Hadoop、数据工程、Hive、Kafka、Spark、Flink、Java、Python、C/C++、Docker、HBase、操作系统。
个人概述：具备1年左右数据仓库工程师相关实践经验，熟悉Hadoop、数据工程、Hive、Kafka、Spark、Flink、Java、Python，能够承担模块开发、测试验证和问题跟进。
教育背景：专科，高职院校，信息管理与信息系统专业，无。
技能栈：Hadoop、数据工程、Hive、Kafka、Spark、Flink、Java、Python、C/C++、Docker、HBase、操作系统、JavaScript、SQL、Go、MySQL、PostgreSQL、MongoDB。
工作经历：数据仓库工程师方向，累计1年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：业务经营分析看板：担任主要负责人，技术栈包括C#、MySQL、用户增长、Power BI、CTR/CVR、Computer Vision。建设核心指标体系，使用 SQL 和 BI 工具输出日活、留存、转化和收入分析。项目结果：支撑多业务线稳定复用。 用户增长归因分析：担任核心成员，技术栈包括经营分析、Vector Database、Java、NumPy、Pandas、Flux。围绕渠道、活动和用户分层构建分析模型，支持运营策略迭代。项目结果：支撑多业务线稳定复用。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。",,,,,,,,
RES-053,resume_003303_exp00_0,搜索算法工程师,"求职意向：搜索算法工程师。
标准岗位：搜索算法工程师；岗位大族：算法；经验年限：0年；候选人层级：校招/无全职经验。
岗位系统技能画像：Machine Learning、分布式系统、机器学习、深度学习、C/C++、Embedding、Linux、NLP、Python、RAG、向量数据库、推荐算法。
个人概述：具备0年左右搜索算法工程师相关实践经验，熟悉Machine Learning、分布式系统、机器学习、深度学习、C/C++、Embedding、Linux、NLP，能够承担基础实践、原型验证和学习型任务。
教育背景：本科，学士学位，普通高校，软件工程专业，英语六级。
技能栈：Machine Learning、分布式系统、机器学习、深度学习、C/C++、Embedding、Linux、NLP、Python、RAG、向量数据库、推荐算法、TensorFlow、PyTorch、Tableau、Power BI、FineBI、Agentlightning。
工作经历：搜索算法工程师方向，累计0年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：企业知识库 RAG 问答平台：担任主要负责人，技术栈包括系统设计、vLLM、PyTorch、Flux、Kafka、CUDA/NPU。负责语义检索、召回排序、Prompt 模板和效果评估，沉淀离线评测集并优化回答准确率。项目结果：支撑多业务线稳定复用。 多模态内容理解与标签系统：担任核心成员，技术栈包括LangChain、Spark、System Prompt、TDSQL、Model Training、深度学习。参与图文特征抽取、模型训练和推理服务部署，支持业务侧内容审核与推荐分发。项目结果：支撑多业务线稳定复用。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。",,,,,,,,
RES-054,resume_001599_exp02_0,质量工程师,"求职意向：质量工程师。
标准岗位：质量工程师；岗位大族：测试质量；经验年限：2年；候选人层级：初级。
岗位系统技能画像：系统开发、Python、软件测试、Java、AI测试、大模型评测、模型评测、DevOps、Linux、研发效能、信号处理、硬件开发。
个人概述：具备2年左右质量工程师相关实践经验，熟悉系统开发、Python、软件测试、Java、AI测试、大模型评测、模型评测、DevOps，能够承担模块开发、测试验证和问题跟进。
教育背景：本科，学士学位，双一流高校，信息安全专业，英语四级。
技能栈：系统开发、Python、软件测试、Java、AI测试、大模型评测、模型评测、DevOps、Linux、研发效能、信号处理、硬件开发、Selenium、JMeter、自动化测试、性能测试、安全测试、Security Testing。
工作经历：质量工程师方向，累计2年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：接口自动化测试平台：担任主要负责人，技术栈包括Java、Security Testing、云计算、Postman、Milvus、分布式系统。设计用例管理、接口执行、报告生成和 CI 集成流程。项目结果：支撑多业务线稳定复用。 性能压测与容量评估：担任核心成员，技术栈包括安全测试、PostgreSQL、Elasticsearch、Automated Testing、分布式系统、Milvus。使用压测工具定位瓶颈，输出容量基线和优化建议。项目结果：形成可复用的技术方案和项目文档。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。",,,,,,,,
RES-055,resume_002971_exp02_0,大模型算法工程师,"求职意向：大模型算法工程师。
标准岗位：大模型算法工程师；岗位大族：AI算法；经验年限：2年；候选人层级：初级。
岗位系统技能画像：LLM、Megatron、PPO、LoRA微调、C/C++、PyTorch、DeepSpeed、Python、机器学习、GRPO、深度学习、计算机视觉。
个人概述：具备2年左右大模型算法工程师相关实践经验，熟悉LLM、Megatron、PPO、LoRA微调、C/C++、PyTorch、DeepSpeed、Python，能够承担模块开发、测试验证和问题跟进。
教育背景：硕士研究生，硕士学位，211高校，模式识别与智能系统专业，英语六级。
技能栈：LLM、Megatron、PPO、LoRA微调、C/C++、PyTorch、DeepSpeed、Python、机器学习、GRPO、深度学习、计算机视觉、Java、JavaScript、TensorFlow、Hadoop、Spark、DATA+AI。
工作经历：大模型算法工程师方向，累计2年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：企业知识库 RAG 问答平台：担任主要负责人，技术栈包括多模态AI、DATA+AI、AIBot、PyTorch、Model Inference、LangChain。负责语义检索、召回排序、Prompt 模板和效果评估，沉淀离线评测集并优化回答准确率。项目结果：提升问题定位和交付效率。 多模态内容理解与标签系统：担任核心成员，技术栈包括AIBot、PyTorch、MPI、分布式系统、SQL、JavaScript。参与图文特征抽取、模型训练和推理服务部署，支持业务侧内容审核与推荐分发。项目结果：显著改善系统稳定性和可维护性。 大模型推理性能优化：担任核心成员，技术栈包括SQL、Python、大模型、CUDA、MindSpore、数据仓库。围绕批处理、缓存、量化和 GPU 资源利用率进行调优，降低在线推理延迟。项目结果：显著改善系统稳定性和可维护性。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。",,,,,,,,
RES-056,resume_002435_exp08_3,C++开发工程师,"求职意向：C++开发工程师。
标准岗位：C++开发工程师；岗位大族：软件研发；经验年限：8年；候选人层级：高级。
岗位系统技能画像：Python、Linux、Rust、C/C++、操作系统、硬件开发、网络编程、Go、Machine Learning、模型压缩、iOS、机器人与自动驾驶。
个人概述：具备8年左右C++开发工程师相关实践经验，熟悉Python、Linux、Rust、C/C++、操作系统、硬件开发、网络编程、Go，能够承担核心项目主导、方案评审和复杂问题攻坚。
教育背景：本科，学士学位，211高校，网络工程专业，英语四级。
技能栈：Python、Linux、Rust、C/C++、操作系统、硬件开发、网络编程、Go、Machine Learning、模型压缩、iOS、机器人与自动驾驶、Java、Spring Boot、Django、Flask、MySQL、Microservices。
工作经历：C++开发工程师方向，累计8年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：高并发订单服务改造：担任主要负责人，技术栈包括SQL、Flask、Docker、PostgreSQL、Microservices、系统设计。负责核心接口、缓存策略、消息队列和数据库索引优化，提升峰值吞吐。项目结果：形成可复用的技术方案和项目文档。 微服务治理与网关平台：担任核心成员，技术栈包括Node.js、系统设计、Linux、CI/CD、Django、Flask。参与服务拆分、限流熔断、链路追踪和配置中心建设。项目结果：形成可复用的技术方案和项目文档。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。",,,,,,,,
RES-057,resume_004226_exp05_2,客户端开发工程师,"求职意向：客户端开发工程师。
标准岗位：客户端开发工程师；岗位大族：软件研发；经验年限：5年；候选人层级：中级。
岗位系统技能画像：Android、C/C++、Objective-C、Swift、Java、Kotlin、iOS、Python、Unreal Engine、动画技术、性能优化、操作系统。
个人概述：具备5年左右客户端开发工程师相关实践经验，熟悉Android、C/C++、Objective-C、Swift、Java、Kotlin、iOS、Python，能够承担独立模块交付、跨团队协作和质量改进。
教育背景：本科，学士学位，211高校，数字媒体技术专业，英语四级。
技能栈：Android、C/C++、Objective-C、Swift、Java、Kotlin、iOS、Python、Unreal Engine、动画技术、性能优化、操作系统、JavaScript、SQL、Go、React Native、Flutter、React。
工作经历：客户端开发工程师方向，累计5年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：移动端核心业务模块重构：担任主要负责人，技术栈包括Vue、Python、自动化测试、架构设计、Android、代码生成。负责页面架构、网络层封装、缓存策略和性能优化。项目结果：支撑多业务线稳定复用。 跨端组件与发布体系：担任核心成员，技术栈包括Python、性能测试、React、Vue、架构设计、Rust。沉淀通用组件，提升 Android/iOS 多端研发效率。项目结果：支撑多业务线稳定复用。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。",,,,,,,,
