skill_id,canonical_name,aliases,skill_category,parent_skill,match_pattern,source,version
SK091,DPDK,数据平面开发套件,网络,系统编程,,team_review,v1
SK092,CXL,计算快速连接,硬件,计算机体系结构,,team_review,v1
SK093,Automated Testing,自动化测试,测试,软件工程,,team_review,v1
SK094,Android,安卓,移动开发,前端开发,,team_review,v1
SK095,LangChain,LangChain框架,大模型应用,生成式AI,,team_review,v1
SK096,模型优化,模型优化,AI工程,人工智能,,team_review,v1
SK097,推理优化,推理优化,AI工程,人工智能,,team_review,v1
SK098,高性能计算,"HPC;High Performance Computing",AI工程,人工智能,,team_review,v1
SK099,并行计算,并行计算,AI工程,人工智能,,team_review,v1
SK100,图计算,图计算,AI工程,人工智能,,team_review,v1
