candidate_id,summary,extracted_skills,skill_count
resume_000017,"求职意向：移动开发工程师。
教育背景：本科，学士学位，普通高校，软件工程专业，英语四级。
个人概述：...",Swift;Android;React;Vue;品牌;Java;JavaScript;Go;系统架构;性能优化;Automated Testing;产品经理;运维,13
resume_000018,"求职意向：后端开发工程师。
教育背景：本科，学士学位，211高校，信息工程专业，英语四级。
个人概述...",微服务;Node.js;系统架构;分布式系统;Redis;PostgreSQL;Java;Spring;Django;Flask;Kafka;商业分析;MySQL;Kubernetes;ETL;C++;TypeScript,17
resume_000019,"求职意向：全栈开发工程师。
教育背景：本科，学士学位，双一流高校，信息工程专业，无。
个人概述：具备...",全栈;React;Vue;微服务;Node.js;分布式系统;Java;JavaScript;Go;CSS;Web;TypeScript;Spring;Django;Flask;MySQL;PostgreSQL;MongoDB;技术美术;人工智能;Python;产品经理;运维;Linux;数据可视化;向量数据库,26
resume_000020,"求职意向：后端开发工程师。
教育背景：硕士研究生，硕士学位，985高校，网络工程专业，英语六级。
个...",微服务;Node.js;系统架构;Redis;Java;JavaScript;SQL;Spring;Django;Flask;Kafka;商业分析;MySQL;PostgreSQL;Linux;C++;产品经理;运维;分布式系统;Spark,20
resume_000021,"求职意向：后端开发工程师。
教育背景：本科，学士学位，普通高校，信息工程专业，英语四级。
个人概述：...",Node.js;微服务;分布式系统;系统架构;Redis;Python;Java;JavaScript;SQL;Go;Spring;Django;Flask;Kafka;商业分析;MySQL;PostgreSQL;MongoDB;ETL;Spark,20
resume_000022,"求职意向：云计算工程师。
教育背景：本科，学士学位，211高校，软件工程专业，英语四级。
个人概述：...",Kubernetes;Linux;Docker;分布式训练;Python;Java;AWS;Azure;Terraform;技术美术;人工智能;Prometheus;SQL;产品经理;运维;C++;项目管理;向量数据库,18
resume_000023,"求职意向：测试工程师。
教育背景：本科，学士学位，普通高校，质量管理工程专业，英语四级。
个人概述：...",Automated Testing;系统架构;Java;SQL;Go;分布式系统;测试开发;Docker;Redis;产品经理;运维;C#;技术美术;向量数据库,14
resume_000024,"求职意向：数据工程师。
教育背景：本科，学士学位，普通高校，数据科学与大数据技术专业，无。
个人概述...",数据科学;Data Warehouse;数据湖;SQL;技术美术;Redis;Linux;Python;JavaScript;MySQL;MongoDB;TensorFlow;PyTorch;Hadoop;Spark;Kubernetes;Docker;实时计算;Kafka;系统架构;数据治理;产品经理;运维;实时数仓;自然语言处理;ETL;数据质量;Rust;计算机视觉;机器学习;向量数据库,31
resume_000025,"求职意向：后端开发工程师。
教育背景：本科，学士学位，211高校，信息工程专业，英语六级。
个人概述...",微服务;Node.js;系统架构;分布式系统;PostgreSQL;技术美术;Python;JavaScript;Go;Spring;Django;Flask;Kafka;商业分析;MySQL;Java;Redis;人工智能;产品经理;运维;SQL;Rust;向量数据库,23
resume_000026,"求职意向：数据工程师。
教育背景：本科，学士学位，双一流高校，计算机科学与技术专业，英语四级。
个人...",ETL;Spark;Kafka;Redis;技术美术;PostgreSQL;Linux;Python;Java;JavaScript;SQL;Go;MySQL;MongoDB;Hadoop;商业分析;Docker;实时计算;人工智能;产品经理;运维;实时数仓;数据治理;机器学习;分布式系统;数据质量;系统架构;TypeScript;向量数据库;Data Warehouse,30
resume_000027,"求职意向：数据分析师。
教育背景：本科，学士学位，普通高校，数据科学与大数据技术专业，英语四级。
个...",数据科学;商业分析;数据分析;ETL;Data Warehouse;Kafka;自然语言处理;计算机视觉;Python;Java;JavaScript;SQL;Go;MySQL;PostgreSQL;MongoDB;Redis;Hadoop;Spark;机器学习;数据可视化;用户增长;Rust;产品经理;运维;经营分析;品牌;渠道运营,28
resume_000028,"求职意向：云计算工程师。
教育背景：本科，学士学位，211高校，网络工程专业，英语六级。
个人概述：...",Kubernetes;Linux;Ascend;人工智能;CUDA;Python;AWS;Azure;Docker;Ansible;Terraform;Redis;PostgreSQL;产品经理;运维;Prometheus;项目管理;系统架构,18
resume_000029,"求职意向：运维工程师。
教育背景：本科，学士学位，双一流高校，信息安全专业，无。
个人概述：具备2年...",运维;网络安全;Linux;Docker;Automated Testing;Python;Java;JavaScript;SQL;Go;AWS;Azure;Kubernetes;Ansible;Terraform;PostgreSQL;技术美术;Prometheus;人工智能;产品经理;C++;系统架构;向量数据库,23
resume_000030,"求职意向：全栈开发工程师。
教育背景：本科，学士学位，211高校，计算机科学与技术专业，无。
个人概...",全栈;Vue;React;微服务;Node.js;系统架构;Python;JavaScript;SQL;Go;CSS;Web;Spring;Django;Flask;Kafka;商业分析;MySQL;MongoDB;Redis;技术美术;TypeScript;C#;产品经理;运维;Linux;数据可视化;向量数据库,28
resume_000031,"求职意向：云计算工程师。
教育背景：硕士研究生，硕士学位，211高校，网络工程专业，英语六级。
个人...",Docker;Kubernetes;模型推理;Ascend;Java;JavaScript;SQL;AWS;Azure;Linux;Ansible;Terraform;PostgreSQL;技术美术;产品经理;运维;TypeScript;项目管理;Redis;C++;分布式系统;向量数据库,22
resume_000032,"求职意向：运维工程师。
教育背景：本科，学士学位，211高校，软件工程专业，无。
个人概述：具备1年...",运维;Kubernetes;Automated Testing;Redis;Python;Java;JavaScript;Docker;Linux;PostgreSQL;技术美术;Prometheus;产品经理;风控模型;网络安全;向量数据库,16
resume_000033,"求职意向：测试工程师。
教育背景：本科，学士学位，普通高校，信息安全专业，英语四级。
个人概述：具备...",网络安全;Automated Testing;系统架构;Python;Java;JavaScript;SQL;Go;人工智能;测试开发;Kubernetes;产品经理;运维;Linux;Rust,15
resume_000034,"求职意向：后端开发工程师。
教育背景：本科，学士学位，普通高校，计算机科学与技术专业，英语四级。
个...",Node.js;微服务;系统架构;Python;Java;JavaScript;Spring;Django;Flask;Kafka;商业分析;MySQL;PostgreSQL;Redis;SQL;产品经理;运维;Linux;Rust;分布式系统;Docker;Spark,22
resume_000035,"求职意向：数据分析师。
教育背景：硕士研究生，硕士学位，双一流高校，信息管理与信息系统专业，英语六级...",商业分析;数据分析;Spark;数据湖;SQL;人工智能;Python;Java;JavaScript;Go;MySQL;PostgreSQL;MongoDB;Redis;Hadoop;技术美术;数据可视化;产品经理;运维;经营分析;TypeScript;用户增长;渠道运营;C++;Data Warehouse;深度学习,26
resume_000036,"求职意向：运维工程师。
教育背景：博士研究生，博士学位，双一流高校，软件工程专业，英语六级。
个人概...",运维;Linux;Docker;Automated Testing;技术美术;Java;AWS;Azure;Kubernetes;Ansible;Terraform;Redis;PostgreSQL;Prometheus;网络安全;TypeScript;产品经理;系统架构;向量数据库,19
resume_000037,"求职意向：移动开发工程师。
教育背景：本科，学士学位，普通高校，软件工程专业，无。
个人概述：具备2...",Android;React;Vue;用户增长;Python;性能优化;Automated Testing;产品经理;运维;Java;TypeScript,11
resume_000038,"求职意向：云计算工程师。
教育背景：硕士研究生，硕士学位，211高校，计算机科学与技术专业，英语六级...",Kubernetes;Linux;模型压缩;人工智能;Python;AWS;Azure;Docker;Ansible;Terraform;PostgreSQL;技术美术;Rust;JavaScript;系统架构;产品经理;运维;Redis;分布式训练;向量数据库,20
resume_000039,"求职意向：后端开发工程师。
教育背景：本科，学士学位，双一流高校，软件工程专业，英语六级。
个人概述...",Node.js;微服务;分布式系统;系统架构;MySQL;PostgreSQL;Python;Java;JavaScript;SQL;Go;Spring;Django;Flask;Redis;Kafka;Data Warehouse,17
resume_000040,"求职意向：数据分析师。
教育背景：本科，学士学位，普通高校，数据科学与大数据技术专业，英语四级。
个...",数据科学;商业分析;数据分析;Spark;数据湖;SQL;技术美术;Python;MySQL;MongoDB;自然语言处理;数据可视化;经营分析;用户增长;渠道运营;Data Warehouse;深度学习,17
resume_000041,"求职意向：全栈开发工程师。
教育背景：本科，学士学位，211高校，网络工程专业，无。
个人概述：具备...",全栈;Vue;React;微服务;Node.js;分布式系统;系统架构;Java;JavaScript;CSS;Web;Spring;Django;Flask;MySQL;PostgreSQL;Redis;TypeScript;产品经理;运维;数据可视化,21
resume_000042,"求职意向：数据分析师。
教育背景：硕士研究生，硕士学位，双一流高校，信息管理与信息系统专业，英语六级...",商业分析;数据分析;Kafka;Data Warehouse;SQL;推荐算法;计算机视觉;Python;JavaScript;Go;MySQL;MongoDB;Hadoop;Spark;数据可视化;人工智能;PostgreSQL;产品经理;运维;经营分析;用户增长;渠道运营,22
resume_000043,"求职意向：测试工程师。
教育背景：硕士研究生，硕士学位，双一流高校，软件工程专业，英语六级。
个人概...",Automated Testing;系统架构;Java;Docker;测试开发;Redis;产品经理;运维;Kubernetes;PostgreSQL;Linux;JavaScript,12
resume_000044,"求职意向：数据分析师。
教育背景：硕士研究生，硕士学位，211高校，数据科学与大数据技术专业，英语六...",数据科学;数据分析;商业分析;数据湖;Data Warehouse;Spark;推荐算法;Java;SQL;MySQL;MongoDB;TensorFlow;PyTorch;Hadoop;Python;数据可视化;品牌;用户增长;Redis;产品经理;运维;经营分析;Rust;渠道运营,24
resume_000045,"求职意向：数据分析师。
教育背景：硕士研究生，硕士学位，211高校，数据科学与大数据技术专业，英语六...",数据科学;数据分析;商业分析;ETL;SQL;Spark;深度学习;Python;Java;MySQL;MongoDB;Redis;数据挖掘;数据可视化;用户增长;经营分析;TypeScript;产品经理;运维;品牌;C++;渠道运营;PostgreSQL,23
resume_000046,"求职意向：云计算工程师。
教育背景：硕士研究生，硕士学位，211高校，网络工程专业，英语六级。
个人...",Linux;Docker;模型训练;CXL;Python;Java;JavaScript;SQL;Go;AWS;Azure;Kubernetes;Terraform;技术美术;C#;Redis;产品经理;运维;向量数据库,19
resume_000047,"求职意向：移动开发工程师。
教育背景：硕士研究生，硕士学位，985高校，软件工程专业，英语六级。
个...",Android;Swift;React;Vue;品牌;Python;Java;JavaScript;SQL;Go;系统架构;性能优化;分布式系统;产品经理;运维;Automated Testing,16
resume_000048,"求职意向：移动开发工程师。
教育背景：博士研究生，博士学位，985高校，移动应用开发专业，英语六级。...",Swift;Android;React;Vue;用户增长;Python;SQL;系统架构;性能优化;人工智能;Rust;产品经理;运维;C#;Automated Testing,15
resume_000049,"求职意向：全栈开发工程师。
教育背景：博士研究生，博士学位，985高校，软件工程专业，英语六级。
个...",全栈;React;Vue;微服务;Node.js;系统架构;分布式系统;Python;Java;JavaScript;SQL;Go;CSS;TypeScript;Spring;Django;Flask;MySQL;PostgreSQL;MongoDB;Redis;技术美术;Docker;产品经理;运维;Kubernetes;数据可视化;向量数据库,28
resume_000050,"求职意向：测试工程师。
教育背景：硕士研究生，硕士学位，211高校，软件工程专业，英语六级。
个人概...",Automated Testing;分布式系统;Python;Java;SQL;系统架构;Kubernetes;测试开发;技术美术;产品经理;运维;C++;向量数据库,13
resume_000051,"求职意向：运维工程师。
教育背景：硕士研究生，硕士学位，211高校，信息安全专业，英语六级。
个人概...",运维;网络安全;Docker;Linux;Automated Testing;Python;Java;JavaScript;Kubernetes;Terraform;Redis;MySQL;Prometheus;人工智能;系统架构;产品经理;C++;风控模型;Go,19
resume_000052,"求职意向：算法工程师。
教育背景：本科，学士学位，双一流高校，计算机科学与技术专业，英语四级。
个人...",AIGC;人工智能;AIBot;提示词工程;深度学习;特征工程;Python;Java;SQL;Go;TensorFlow;PyTorch;商业分析;机器学习;检索增强生成;大模型;多模态;内容运营;分布式系统;模型训练,20
resume_000053,"求职意向：运维工程师。
教育背景：博士研究生，博士学位，双一流高校，信息安全专业，英语六级。
个人概...",运维;网络安全;Kubernetes;Linux;Automated Testing;Java;AWS;Azure;Docker;Ansible;Terraform;PostgreSQL;技术美术;Prometheus;人工智能;C#;产品经理;风控模型;TypeScript;系统架构;JavaScript;向量数据库,22
resume_000054,"求职意向：数据分析师。
教育背景：博士研究生，博士学位，双一流高校，应用数学专业，英语六级。
个人概...",商业分析;数据分析;数据湖;Data Warehouse;实时计算;计算机视觉;自然语言处理;风控模型;Python;Java;JavaScript;SQL;MySQL;MongoDB;TensorFlow;PyTorch;Hadoop;Spark;数据可视化;TypeScript;产品经理;运维;经营分析;用户增长;渠道运营;技术美术;向量数据库,27
resume_000055,"求职意向：全栈开发工程师。
教育背景：本科，学士学位，双一流高校，网络工程专业，无。
个人概述：具备...",全栈;React;Vue;微服务;Node.js;分布式系统;系统架构;Python;Java;JavaScript;SQL;Go;CSS;Spring;Django;Flask;MySQL;MongoDB;Redis;PostgreSQL;TypeScript;产品经理;运维;数据可视化,24
resume_000056,"求职意向：数据工程师。
教育背景：硕士研究生，硕士学位，211高校，计算机科学与技术专业，英语六级。...",Data Warehouse;数据湖;SQL;Redis;技术美术;Linux;Python;JavaScript;Go;MySQL;MongoDB;TensorFlow;PyTorch;Hadoop;Spark;Kubernetes;实时计算;Kafka;人工智能;产品经理;运维;实时数仓;数据治理;分布式系统;系统架构;ETL;数据质量;Java;C++;计算机视觉;自然语言处理;向量数据库,32
resume_000057,"求职意向：算法工程师。
教育背景：本科，学士学位，211高校，软件工程专业，英语四级。
个人概述：具...",智能体开发;大模型;人工智能;特征工程;Python;TensorFlow;PyTorch;CUDA;机器学习;深度学习;C++;产品经理;运维;检索增强生成;提示词工程;多模态;内容运营;TypeScript;ETL;模型训练;分布式训练,21
resume_000058,"求职意向：测试工程师。
教育背景：本科，学士学位，211高校，信息安全专业，英语四级。
个人概述：具...",网络安全;Automated Testing;Python;Go;系统架构;C#,6
resume_000059,"求职意向：后端开发工程师。
教育背景：本科，学士学位，211高校，信息工程专业，英语四级。
个人概述...",微服务;Node.js;分布式系统;系统架构;MySQL;Redis;Java;SQL;Spring;Django;Flask;Kafka;商业分析;人工智能;产品经理;运维;C++;实时计算,18
resume_000060,"求职意向：数据工程师。
教育背景：硕士研究生，硕士学位，双一流高校，计算机科学与技术专业，英语六级。...",SQL;Kafka;ETL;Redis;MySQL;Docker;Python;Java;JavaScript;MongoDB;Hadoop;Spark;实时计算;人工智能;产品经理;运维;实时数仓;数据治理;推荐算法;系统架构;数据质量;深度学习;Rust,23
resume_000061,"求职意向：数据分析师。
教育背景：硕士研究生，硕士学位，双一流高校，应用数学专业，英语六级。
个人概...",商业分析;数据分析;SQL;Kafka;数据湖;技术美术;风控模型;Java;MySQL;PostgreSQL;MongoDB;Redis;TensorFlow;PyTorch;数据挖掘;Python;数据可视化;JavaScript;产品经理;运维;经营分析;用户增长;品牌;渠道运营;Data Warehouse;深度学习,26
resume_000062,"求职意向：数据工程师。
教育背景：本科，学士学位，双一流高校，计算机科学与技术专业，英语四级。
个人...",Data Warehouse;ETL;SQL;技术美术;Docker;Java;MySQL;PostgreSQL;MongoDB;Redis;Hadoop;Spark;Linux;Kubernetes;Python;实时计算;Kafka;实时数仓;数据治理;系统架构;TypeScript;数据质量;向量数据库,23
resume_000063,"求职意向：前端开发工程师。
教育背景：硕士研究生，硕士学位，985高校，计算机科学与技术专业，英语六...",Vue;React;系统架构;分布式系统;用户增长;品牌;Java;JavaScript;SQL;Go;CSS;Web;Rust;TypeScript;人工智能;产品经理;运维;运营管理;游戏服务器;数据分析;商业分析;数据可视化;UX设计;性能优化;Automated Testing,25
resume_000064,"求职意向：数据分析师。
教育背景：本科，学士学位，普通高校，统计学专业，英语四级。
个人概述：具备0...",数据分析;商业分析;实时计算;ETL;Spark;机器学习;Python;SQL;MySQL;PostgreSQL;MongoDB;Redis;Hadoop;计算机视觉;自然语言处理;数据可视化;经营分析;用户增长;技术美术;渠道运营;向量数据库,21
resume_000065,"求职意向：后端开发工程师。
教育背景：本科，学士学位，普通高校，计算机科学与技术专业，英语四级。
个...",微服务;Node.js;分布式系统;PostgreSQL;Java;Spring;Django;Flask;Kafka;商业分析;MySQL;MongoDB;Redis;Python;产品经理;运维;SQL;Kubernetes,18
resume_000066,"求职意向：数据分析师。
教育背景：本科，学士学位，双一流高校，信息管理与信息系统专业，英语四级。
个...",商业分析;数据分析;数据湖;ETL;Spark;Python;Java;JavaScript;SQL;Go;MySQL;MongoDB;TensorFlow;PyTorch;Hadoop;推荐算法;数据可视化;人工智能;TypeScript;产品经理;运维;经营分析;用户增长;渠道运营,24
resume_000067,"求职意向：云计算工程师。
教育背景：本科，学士学位，普通高校，软件工程专业，无。
个人概述：具备2年...",Docker;Kubernetes;人工智能;分布式推理;Python;Java;JavaScript;SQL;Go;AWS;Azure;Terraform;技术美术;Linux;TypeScript;产品经理;运维;分布式系统;Prometheus;项目管理;向量数据库,21
resume_000068,"求职意向：后端开发工程师。
教育背景：本科，学士学位，双一流高校，信息工程专业，无。
个人概述：具备...",微服务;Node.js;系统架构;技术美术;Redis;Java;JavaScript;Spring;Django;Flask;MySQL;MongoDB;PostgreSQL;Docker;人工智能;产品经理;运维;Linux;实时计算;Kafka;向量数据库,21
resume_000069,"求职意向：测试工程师。
教育背景：硕士研究生，硕士学位，985高校，计算机科学与技术专业，英语六级。...",Automated Testing;系统架构;Python;Java;JavaScript;Go;Kubernetes;测试开发;SQL;产品经理;运维;PostgreSQL;Rust,13
resume_000070,"求职意向：前端开发工程师。
教育背景：本科，学士学位，双一流高校，交互设计专业，英语六级。
个人概述...",UX设计;React;Vue;系统架构;Python;Java;JavaScript;CSS;C++;TypeScript;C#;产品经理;运维;运营管理;游戏服务器;数据分析;数据可视化;性能优化,18
resume_000071,"求职意向：数据分析师。
教育背景：本科，学士学位，双一流高校，数据科学与大数据技术专业，英语四级。
...",数据科学;商业分析;数据分析;Kafka;数据湖;Data Warehouse;计算机视觉;自然语言处理;Python;Java;SQL;Go;MySQL;MongoDB;TensorFlow;PyTorch;机器学习;推荐算法;数据可视化;经营分析;用户增长;C++;技术美术;渠道运营;向量数据库,25
resume_000072,"求职意向：移动开发工程师。
教育背景：硕士研究生，硕士学位，985高校，计算机科学与技术专业，英语六...",Android;Vue;React;用户增长;Python;Swift;分布式系统;性能优化;系统架构;JavaScript;产品经理;运维;SQL;Automated Testing,14
resume_000073,"求职意向：前端开发工程师。
教育背景：本科，学士学位，双一流高校，软件工程专业，英语四级。
个人概述...",Vue;React;分布式系统;品牌;Java;JavaScript;CSS;Web;Rust;Go;TypeScript;UX设计;产品经理;运维;运营管理;游戏服务器;数据分析;数据可视化;性能优化,19
resume_000074,"求职意向：前端开发工程师。
教育背景：本科，学士学位，双一流高校，数字媒体技术专业，英语六级。
个人...",React;Vue;系统架构;分布式系统;Python;Java;JavaScript;CSS;Web;TypeScript;C#;产品经理;运维;运营管理;游戏服务器;数据分析;数据可视化;性能优化,18
resume_000075,"求职意向：运维工程师。
教育背景：博士研究生，博士学位，双一流高校，网络工程专业，英语六级。
个人概...",运维;Docker;Linux;Automated Testing;PostgreSQL;Python;Java;SQL;Go;Kubernetes;Ansible;技术美术;Prometheus;系统架构;产品经理;网络安全;分布式系统;向量数据库,18
resume_000076,"求职意向：算法工程师。
教育背景：本科，学士学位，普通高校，模式识别与智能系统专业，英语六级。
个人...",人工智能;向量数据库;深度学习;计算机视觉;自然语言处理;特征工程;Python;Java;JavaScript;SQL;Go;TensorFlow;PyTorch;Hadoop;Spark;商业分析;机器学习;数据湖;产品经理;运维;检索增强生成;系统架构;提示词工程;多模态;内容运营;模型训练,26
resume_000077,"求职意向：前端开发工程师。
教育背景：本科，学士学位，普通高校，计算机科学与技术专业，英语四级。
个...",React;Vue;系统架构;分布式系统;品牌;Java;JavaScript;Go;CSS;Web;TypeScript;SQL;C#;运营管理;游戏服务器;商业分析;数据分析;数据可视化;UX设计;性能优化,20
resume_000078,"求职意向：算法工程师。
教育背景：本科，学士学位，211高校，软件工程专业，英语六级。
个人概述：具...",智能体框架;人类反馈强化学习;人工智能;机器学习;风控模型;自然语言处理;Python;TensorFlow;PyTorch;Ascend;CUDA;深度学习;TypeScript;产品经理;运维;检索增强生成;分布式系统;C++;Go;LangChain;提示词工程;多模态;内容运营;模型训练;大模型,25
resume_000079,"求职意向：前端开发工程师。
教育背景：本科，学士学位，211高校，数字媒体技术专业，无。
个人概述：...",Vue;React;系统架构;用户增长;Python;Java;JavaScript;SQL;Go;CSS;Web;TypeScript;运营管理;游戏服务器;性能优化;UX设计;商业分析;数据可视化;数据分析,19
resume_000080,"求职意向：前端开发工程师。
教育背景：硕士研究生，硕士学位，985高校，交互设计专业，英语六级。
个...",UX设计;Vue;React;系统架构;用户增长;Python;JavaScript;SQL;Go;CSS;Web;C++;TypeScript;性能优化;产品经理;运维;运营管理;游戏服务器;数据分析;数据可视化;Automated Testing,21
resume_000081,"求职意向：运维工程师。
教育背景：硕士研究生，硕士学位，211高校，信息安全专业，英语六级。
个人概...",运维;网络安全;Docker;Linux;Automated Testing;Redis;Python;Java;SQL;Go;AWS;Azure;Kubernetes;Ansible;Terraform;PostgreSQL;Prometheus;人工智能;产品经理,19
resume_000082,"求职意向：移动开发工程师。
教育背景：硕士研究生，硕士学位，211高校，软件工程专业，英语六级。
个...",Android;Vue;React;品牌;Python;Java;JavaScript;SQL;Go;性能优化;产品经理;运维;C++;Automated Testing,14
resume_000083,"求职意向：数据分析师。
教育背景：硕士研究生，硕士学位，双一流高校，应用数学专业，英语六级。
个人概...",商业分析;数据分析;Data Warehouse;SQL;Kafka;Python;Java;Go;MySQL;MongoDB;自然语言处理;数据可视化;用户增长;产品经理;运维;经营分析;C++;渠道运营;计算机视觉,19
resume_000084,"求职意向：数据分析师。
教育背景：本科，学士学位，211高校，数据科学与大数据技术专业，英语四级。
...",数据科学;商业分析;数据分析;Kafka;Spark;实时计算;大模型;自然语言处理;Python;Java;SQL;MySQL;MongoDB;TensorFlow;PyTorch;Hadoop;人工智能;数据可视化;经营分析;JavaScript;用户增长;渠道运营,22
resume_000085,"求职意向：数据分析师。
教育背景：本科，学士学位，211高校，信息管理与信息系统专业，英语四级。
个...",数据分析;商业分析;Data Warehouse;ETL;Spark;机器学习;Java;JavaScript;SQL;Go;MySQL;PostgreSQL;MongoDB;Redis;Hadoop;Python;数据可视化;人工智能;产品经理;运维;经营分析;用户增长;品牌;渠道运营,24
resume_000086,"求职意向：数据工程师。
教育背景：本科，学士学位，普通高校，计算机科学与技术专业，无。
个人概述：具...",数据湖;ETL;SQL;MySQL;Linux;Kubernetes;Python;PostgreSQL;MongoDB;TensorFlow;PyTorch;Hadoop;Spark;Docker;实时计算;Kafka;人工智能;Data Warehouse;产品经理;运维;实时数仓;数据治理;计算机视觉;自然语言处理;数据质量;特征工程;Java;TypeScript,28
resume_000087,"求职意向：运维工程师。
教育背景：本科，学士学位，双一流高校，信息安全专业，英语四级。
个人概述：具...",运维;网络安全;Linux;Automated Testing;Redis;Python;AWS;Azure;Docker;Kubernetes;Terraform;技术美术;MySQL;Prometheus;人工智能;产品经理;SQL;向量数据库,18
