job_id,title,extracted_skills,skill_count
job_0bb9f8119acd6f512627,王者荣耀IP 3D英雄竞技对抗项目-高级角色动画设计师（战斗方向）,动画设计;游戏策划;特效设计,3
job_0bff1ad2ac8d08bc1c67,智能体终端安全工程师（深圳）,智能体;产品经理,2
job_0c0a4699c47e199c371e,海外技术支持-售前,技术支持;人工智能;产品经理;智能体;提示词工程;场景设计;思维链;智能体开发;检索增强生成;大模型,10
job_0c181572626e48cb092c,微信-AI Infra工程师-大模型训练与RL方向,人工智能;模型训练;大模型;分布式训练;系统架构;强化学习;引擎开发;资源管理;场景设计,9
job_0c5d80b78d016e3f7032,微信小店-后台开发工程师-商业基建,游戏服务器;产品策划;系统架构,3
job_0cbf9b9ee4eb46fd60d8,掌上无畏契约-Android客户端开发工程师,Android;游戏客户端;UX设计;产品经理,4
job_0cbfc90e27c9f2354406,天美游戏广告分析师,用户增长,1
job_0da85eb0c6b19443bcac,QClaw-Windows客户端研发工程师,产品经理;C++;性能优化;资源管理,4
job_0e3c544b996cfae7c93b,数据中心项目建设管理,数据中心;项目管理,2
job_0e6238e02f19fccf7ffe,腾讯云-元宝SRE工程师,机器学习;人工智能;技术支持;运维,4
job_0e797a9621308a5364a4,《王者万象棋》服务器高级开发工程师,,0
job_0ea3d1a4482309a00278,UE微恐轻动作项目-资深游戏交互设计师,动画设计;产品经理;UX设计;场景设计;游戏策划,5
job_0eff8408d4ec29bc7fd3,AI算子性能优化专家,人工智能;性能优化;多智能体;智能体;数据分析;大模型;C++;提示词工程;检索增强生成;系统架构;模型微调,11
job_0f1816ba6dce4eed5d80,腾讯视频-安全与风控后台开发工程师,风控模型;游戏服务器;系统架构;场景设计;人工智能;大模型;数据挖掘;智能体;数据分析;检索增强生成;模型微调;提示词工程,12
job_0fa89b8ccb9d2e81882b,微信视频号-后台开发工程师-加热系统,游戏服务器;系统架构;推荐算法;场景设计,4
job_10274ff5552e4bd59b2a,通讯-平台产品经理-用户运营方向,产品经理;用户增长;场景设计,3
job_10616ab8f87d189824dd,游戏AI-高级运维工程师,人工智能;运维;场景设计;系统架构,4
job_10ffa1f35fd22bc1e7fe,资深AI评测工程师（多模态与 AIGC方向）,人工智能;多模态;AIGC;数据标注;场景设计;内容运营;模型量化,7
job_126493562faffa0435af,构网型储能研发工程师,系统架构;产品经理;解决方案;电气工程;人工智能,5
job_1313362009bfd9464127,云数据库管控调度研发工程师(北京/深圳),云原生;资源管理;系统架构;场景设计;多模态;运维;人工智能;机器学习,8
job_138758d563b2bfa0df31,腾讯云-医疗行业海外项目交付经理-上海,解决方案;市场宣发;项目管理,3
job_1407b2cc3687259e6aef,魔方技术中心-高级游戏引擎开发工程师,引擎开发;图形渲染;性能优化,3
job_14b6fd6b6e6ad97e575f,IDC数字化交付工程师,数据中心,1
job_154e647550ca612dd901,微信 -大模型LLM系统研发工程师,大模型;场景设计;人工智能;产品经理,4
job_15e9814e1e23ba4a33b6,云数据库内核研发工程师,系统架构;云原生;分布式系统;SQL;引擎开发,5
job_1610f01c1a36c304dd6c,UE微恐轻动作项目-系统策划(PO),动画设计;游戏策划;系统架构;内容运营;产品经理,5
job_164ae5bf2ef93884746b,OG项目组-3D 场景设计师（自然生态向）,场景设计;内容运营;技术美术;游戏策划;性能优化;人工智能,6
job_164b660f84c2b2bfd300,腾讯云-云原生技术支持工程师for海外客户(成都/深圳/上海/北京）,云原生;技术支持;产品经理;场景设计,4
job_179f11e246093ce863df,大模型存储研发工程师,大模型;模型训练;场景设计;系统架构;CXL,5
job_1806d1862d1f2ac957b0,微信秒剪-多模态强化学习训练框架开发工程师,多模态;强化学习;性能优化;分布式训练;模型训练,5
job_183d508ded93f7e2a973,腾讯战略发展部-高级商业分析经理-广告产品方向,商业分析;产品经理;推荐算法,3
job_18ce481dfcbcc9c18766,和平精英-资深2D美宣设计师-商业化,图形渲染,1
job_18e2e8daf8d0ff05246f,元宝用户增长-后台开发工程师,用户增长;游戏服务器,2
job_1927f693b7b477b4d7b6,魔方技术中心-高级游戏引擎开发工程师,引擎开发;图形渲染;性能优化,3
job_1b1ce1fbfeb38f2f3db9,服务伙伴使能助理,内容运营;产品经理;数据分析;项目管理;解决方案;商业分析,6
job_1b56417d2cbf6133bd04,微信-大模型(Agent)应用开发后台工程师,大模型;智能体;游戏服务器;系统架构;工具调用;引擎开发;多模态;多智能体;模型微调;推理优化;产品经理;UX设计,12
job_1b60ba381a56933b65d4,UE微恐轻动作项目-关卡策划（怪物设计）,动画设计;关卡策划,2
job_1bdd5f642ac15aecc05e,腾讯安全-内容风控合规运营工程师,内容运营;风控模型;场景设计;人工智能;大模型;AIGC;智能体,7
job_1be91dfd687b9feef271,游戏服务器开发工程师,游戏服务器;产品经理;游戏策划,3
job_1c11ae3a9b4d31659e23,PUBG Mobile-游戏后台开发工程师(匹配方向)-新星引力计划,商业分析;游戏服务器;机器学习;人工智能,4
job_1c77b584eae315bc5def,元宝数据平台-后台开发工程师,数据平台;游戏服务器,2
job_1c8b60cc5f49242a1135,《灰境行者》 -数据分析 (发行运营方向),数据分析;数据质量监控;用户增长;社区运营,4
job_1c911b309ea89be371c2,腾讯云汽车行业解决方案架构师,解决方案;人工智能;大模型;产品经理,4
job_1cb803b40cf18704134b,微信-基座大模型后训练算法专家,大模型;场景设计;智能体;工具调用;强化学习;模型优化;思维链,7
job_1cd8ee7cbf95dbc98384,《洛克王国：世界》-游戏策划-精灵设计方向,游戏策划;内容运营;角色设计,3
job_1d1af3b3c54fe6d83d58,数据中心项目建设管理,数据中心;项目管理,2
job_1d2ba59580567dc727f4,企业微信-产品策划-智能文档,产品策划;游戏策划;产品经理;人工智能;场景设计,5
job_1d436447643e24285472,数据中心电气产品研发工程师,数据中心;电气工程;产品经理,3
job_1d8e2a287540b257e0d5,《元梦之星》-服务器开发工程师,游戏服务器;产品经理;游戏策划,3
job_1e6f30c6f1285c6ea274,QClaw-产品策划-AI应用生态方向（应用与技能分发平台）,产品策划;人工智能,2
job_1e7b19ea8790b10e1946,云及AI 技术公关经理,人工智能;产品经理;游戏策划,3
job_1e85313b45c92dbae534,腾讯营销-大模型推荐算法工程师,市场宣发;大模型;推荐算法;机器学习;场景设计;人工智能,6
job_1e85bdf8113564879851,元宝-大模型策略产品经理（AIGC方向）,大模型;产品经理;AIGC;场景设计;内容运营;数据分析;游戏策划;模型训练;提示词工程,9
job_1ee61ce4242b8015f94f,腾讯云-稳定性测试架构工程师,产品经理;场景设计;运维,3
job_201f300e40f7d1d6c91f,信用卡-高级商业运营经理,产品经理,1
job_21af867425c028440189,《三角洲行动》-客户端开发工程师（编辑器开发与资源管理）-UGC,游戏客户端;资源管理;内容运营;性能优化;人工智能,5
job_21cd1d66509bbf92b6c9,微信基础-后端开发工程师,产品经理;智能体;人工智能;大模型,4
job_222a97a2ace600660775,天美游戏-商业分析经理（AI方向）-新星引力计划,商业分析;人工智能;产品经理;场景设计;智能体,5
job_22aa9c6e4cf75741a32b,AI协作工具产品高级产品经理,人工智能;产品经理;用户增长;市场宣发;场景设计;动画设计;UX设计,7
job_22fa1509ba711980280b,微信小店-数据科学-治理方向,数据科学;数据分析,2
job_23324d36399c4bd09fd3,单板硬件工程师,场景设计;产品经理;人工智能;ARM;产品策划,5
job_233f8e44aafd616b8122,魔方在研轻动作风格化游戏预研项目角色概念设计专家,动画设计;概念设计;技术美术,3
job_234717529bf93034f30f,AI产品解决方案架构师,人工智能;产品经理;解决方案;渠道运营,4
job_2373a6e0c7267abcbd0e,腾讯云AI后台研发工程师,人工智能;游戏服务器;产品经理;系统架构,4
job_2396de066298afbac609,智能审核平台产品经理,产品经理;内容运营;人工智能;产品策划;大模型;多模态;智能体;场景设计,8
job_23a013b568b9530f6a3d,服务器部件计划工程师,,0
job_23ac3054cfbc76cc8128,腾讯云-大模型推理优化专家,大模型;推理优化;模型推理;引擎开发,4
job_24a5fc457e089c91f851,腾讯乐享AI知识库-交付项目工程师,人工智能;产品经理,2
job_24e2338abdc6504cee68,服务器高级工程师,游戏服务器,1
job_24f974ab0119fe19fdc7,AI研效高级工程师,人工智能;智能体;产品经理;提示词工程,4
job_2647c667cc512ffbd30f,UE微恐轻动作项目-资深视觉设计师,动画设计;特效设计;UX设计,3
job_267d1ebc24dd6fe7015b,机器学习平台调度工程师​​（北京/深圳）,机器学习平台;资源管理;分布式系统;Kubernetes;Docker;云原生;分布式训练;ARM,8
job_26e0e740fa3163adbd19,微信搜索-数据算法工程师,内容运营;大模型;强化学习,3
job_274387581b25a7967613,高性能网络通信库研发工程师,模型训练;场景设计;大模型;性能优化;人工智能;系统架构,6
job_276847e475d729f2b60e,腾讯商业分析经理-医疗行业,商业分析;人工智能;市场宣发;产品经理,4
job_278cd10d76d86cbb5dd1,企业微信-大模型训练框架开发工程师-AI Infra（成都/北京）,模型训练;人工智能;场景设计;CUDA;C++;性能优化;PyTorch;大模型,8
job_27e2c7e6bdbfd825c7fc,在研MMORPG小游戏-UE4客户端开发工程师-新星引力计划,游戏客户端;场景设计;引擎开发;C++;图形渲染;动画设计;性能优化;游戏策划;人工智能,9
job_2826ef053ddd56eeca4e,品牌经理-营销策划方向,品牌;内容运营;游戏策划;社区运营;场景设计,5
job_2851a784f7c6c75705fb,AI 宠物-后台工程师,人工智能;游戏服务器;智能体;产品经理;Go;分布式系统;引擎开发;大模型;游戏客户端,9
job_28618bb34134a836dda6,云网络解决方案架构师,解决方案;产品经理,2
job_2895d64873599ecdef27,云存储高级研发工程师,分布式系统;产品经理,2
job_28adc43ebd20ab180ffe,网络交付项目经理,项目管理;资源管理,2
job_2903076bf9ff72089dda,腾讯云 SaaS AI产品-数据分析,人工智能;产品经理;数据分析;智能体;数据质量监控;数据挖掘;产品策划;用户增长;市场宣发;模型量化,10
job_294d4deef4f22afe64ca,《王者万象棋》客户端高级开发工程师-包体优化方向,游戏客户端;UX设计;游戏策划;用户增长,4
job_296cb5e4a83170d8a17c,Project T UE5 客户端开发工程师（性能优化）,游戏客户端;性能优化;引擎开发;用户增长,4
job_297b7043a1e9d39ca960,企业微信-AI应用后台开发工程师-AI大模型应用（成都/北京）,人工智能;游戏服务器;大模型;场景设计;产品经理;分布式系统;性能优化,7
job_297c868804c521b44c6d,具身智能数据基建工程师,多模态;数据资产;数据血缘;版本管理;模型训练;分布式系统;性能优化;数据可视化;数据标注;场景设计;动画设计;数据质量;产品经理,13
job_298c9b6c311d8a7d5fef,品质管理部-游戏智能体评测算法工程师,智能体;模型量化;人工智能,3
job_2a435608b6970f2a1c95,金铲铲之战-2D角色资产设计,技术美术;解决方案;产品经理;引擎开发;图形渲染;人工智能;角色设计,7
job_2a439667442b89ec70a7,UE微恐轻动作项目-资深关卡策划(玩法设计),动画设计;关卡策划,2
job_2aa4f51d0ca1f4470340,在研UE5射击游戏-游戏客户端开发-系统开发方向,游戏客户端,1
job_2aa5ac2c54bb1801bb6c,游戏模型数据专家-运营数据,多模态;游戏运营;数据治理;场景设计,4
job_2ad0a077c8418d376005,小游戏运营,游戏运营;产品经理;数据分析;市场宣发,4
job_2afb11fa14c18e9ed702,腾讯营销-大模型深度LTV-算法工程师,市场宣发;大模型;强化学习;产品经理;模型优化;场景设计;机器学习;人工智能,8
job_2b3284af50ba1fdf89b0,《怪物猎人：旅人》-UE5游戏客户端开发-性能方向,游戏客户端;用户增长,2
job_2bb53451a6ca26d06997,智能运维AI Agent平台-资深软件开发工程师,AIOps;人工智能;智能体;系统架构;运维;分布式系统;大模型;机器学习;模型推理,9
job_2bc07e61147393a51597,教育行业AI专项方案架构师,人工智能;场景设计;大模型;产品经理;智能体;UX设计;提示词工程;检索增强生成,8
job_2c02f93d80021ae4ca44,AI应用开发专家/负责人（北京/深圳）,人工智能;系统架构;大模型;多模态;产品经理,5
job_2cb2c54f06f65ea051b0,混元多模态强化学习后训练算法工程师（框架协同方向）（北京/上海）,多模态;强化学习;大模型;人类反馈强化学习;系统架构;解决方案,6
job_2cc9de4404340bd5d93e,微信-WeLM 大模型预训练框架研发工程师（深圳、上海）,大模型;多模态;场景设计;分布式训练;人工智能;强化学习;人类反馈强化学习;TypeScript;解决方案,9
job_2cd0430ddea45d7e9211,云存储高级研发工程师,分布式系统;产品经理,2
job_2cf9e96b8f7e46317a8a,大模型推理框架研发工程师,模型推理;引擎开发;分布式推理;人工智能,4
job_2d10050a151681950c1d,腾讯元宝AI战略分析师,人工智能;产品经理;市场宣发;用户增长,4
job_2d423b45f591c59297f1,《元梦之星》-游戏客户端开发工程师-Gameplay方向,游戏客户端;UX设计,2
job_2e5a24ed8648622aee63,大模型训练框架研发工程师-强化学习/精调/蒸馏方向,模型训练;强化学习;知识蒸馏;分布式训练;大模型;Swift;模型微调;人类反馈强化学习;产品经理;解决方案,10
job_2e6a52e38225417cdd10,证券-高级产品经理-用户成长与转化方向,产品经理;游戏策划;用户增长;市场宣发;项目管理,5
job_2e8a95fed4174a85fb3a,AI Infra高级工程师,人工智能;系统架构;Ascend;性能优化;模型训练;场景设计;全栈;Python;Rust;分布式系统;分布式训练;资源管理;PyTorch;TensorFlow;社区运营;CXL;C++;Linux;ARM;深度学习;大模型;多模态;引擎开发;DPDK,24
job_2e8b766c0a39665e0d35,腾讯元宝AI战略分析师,人工智能;产品经理;市场宣发;用户增长,4
job_2ea35a900f6f246bd23b,AI软件教练,人工智能;模型训练;性能优化;测试开发;场景设计;大模型;多模态;渠道运营;智能体,9
job_2ed7a88df875a3bcc5fe,《洛克王国：世界》-游戏测试开发工程师,测试开发;产品经理,2
job_2efd0c518666b996b671,微信支付-高级金融风控数据挖掘工程师,风控模型;数据挖掘;场景设计;市场宣发;深度学习;迁移学习;图计算,7
job_2f161f07c10374925e32,混元大模型数据策略负责人（北京/深圳）,大模型;数据质量;模型训练;数据标注,4
job_2f571b290a0e3344fce0,大模型训练框架研发工程师-强化学习/精调/蒸馏方向,模型训练;强化学习;知识蒸馏;分布式训练;大模型;Swift;模型微调;人类反馈强化学习;产品经理;解决方案,10
job_2f57b9375486a7386a9d,腾讯云-官网高级数据分析师,数据质量监控;数据挖掘;产品策划;用户增长;产品经理;市场宣发;模型量化,7
job_2fcb56aae0782acf9e1a,PUBG Mobile-高级算法工程师(数据挖掘)-新星引力计划,商业分析;数据挖掘;机器学习;内容运营;数据分析;用户增长;游戏策划;模型优化;人工智能,9
job_2fdf67e8f11d63c9ba5b,腾讯安全-算法工程师-设备风控方向,风控模型;深度学习;大模型;特征工程;模型训练;场景设计,6
job_302232714ea6e7f58e57,元宝-大模型策略产品经理（AIGC方向）,大模型;产品经理;AIGC;场景设计;内容运营;数据分析;游戏策划;模型训练;提示词工程,9
job_3055bbac824f4a6517b1,业务经营管理部-AI Agent 研发工程师,人工智能;智能体,2
job_30890570063826363df1,《逆战：未来》服务器开发工程师,游戏服务器;系统架构;运维,3
job_30b28aa615aa4e819812,元宝全链路高级测试工程师,智能体;分布式系统;提示词工程;检索增强生成;大模型;模型量化,6
job_31f5ee6b68b1542822b9,《王者荣耀》-技术策划-工具能力方向,游戏策划;人工智能;场景设计;产品经理;数据平台,5
job_324de0e2f44aadef94dd,微信-数据平台后台开发工程师,数据平台;游戏服务器;系统架构;产品经理;数据安全;大模型;智能体;场景设计,8
job_32bb250f6853d795f0b9,《金铲铲之战》-视觉设计师-品牌宣发方向,品牌;产品经理;游戏策划;市场宣发,4
job_331e5b7dce71d75e4e4a,腾讯云汽车行业解决方案架构师,解决方案;品牌;产品经理,3
job_33451ba6d2c3d78fdfc0,大模型训练框架研发工程师-强化学习/精调/蒸馏方向,模型训练;强化学习;知识蒸馏;分布式训练;大模型;Swift;模型微调;人类反馈强化学习;产品经理;解决方案,10
job_3358802bb75c59b4b08a,腾讯战略发展部-商业分析师/高级商业分析师-微信方向,人工智能;产品经理,2
job_3365b0f220c43a1f949b,微信搜索-AI Infra 工程师-大模型推理方向  (深圳）（广州),人工智能;模型推理;大模型;引擎开发;智能体,5
job_33be317a2b567c145887,游戏研发PM（引擎TA方向）,引擎开发;技术美术;资源管理;项目管理,4
job_346247d8f4444e234056,腾讯云-服务器硬件高级工程师,产品经理,1
job_348aa9191e3f2b6c3790,数据库运维开发工程师,运维;场景设计;解决方案;UX设计,4
job_34a6c2c220188ee0d752,异构加速框架工程师（深圳/北京/上海）,人工智能;性能优化;机器学习,3
job_34b19bdfee09d8c515bd,CSIG战略管理中心-项目经理(AI咨询类),项目管理;人工智能;大模型,3
job_352c5ebebbe590f2e2cf,User Acquisition Manager (国服项目),品牌;社区运营;产品经理;Go;TypeScript;技术美术;游戏策划;渠道运营;内容运营;人工智能;智能体,11
job_36ae99571229471ff671,J3-UE5微恐射击-游戏引擎开发工程师（CI/研发效能）,引擎开发,1
job_36b22206990e7b41a644,Sr. Security Architect II,技术美术;人工智能;系统架构;智能体;数据分析;大模型;引擎开发;检索增强生成;数据湖;向量索引;Embedding;提示词工程;机器学习;ETL;数据质量监控;模型量化;网络安全;数据科学;项目管理;向量数据库;Kafka;实时计算;场景设计;Python;Go,25
job_36c5988a5f75cb78b8fd,UE微恐轻动作项目-2D场景设计接口人,动画设计;场景设计,2
job_36f571d68ac1cfdf80ba,微信小程序-全栈开发工程师-AI方向,全栈;人工智能;大模型;智能体;UX设计,5
job_3741b9826e441c6a54c6,腾讯游戏-AIGC后台开发工程师（数据方向）-新星引力计划,AIGC;游戏服务器;人工智能;动画设计;多模态;数据安全;版本管理;数据标注,8
job_37426c7571a9041cd362,腾讯云-泛互联网行业解决方案架构师-出海,解决方案;技术支持;场景设计;产品经理,4
job_3787fde377ffcc895ce5,数字能源业务拓展代表,业务拓展;电气工程;市场宣发;产品经理;渠道运营,5
job_37a635485f3fcef4d2ab,GPU训练工程师,市场宣发;机器学习平台,2
job_37a86745679fea441c55,微信-后台开发高级工程师-机器学习工程方向,游戏服务器;机器学习;人工智能;模型推理;引擎开发;大模型;场景设计,7
job_37e1b6afec8b2c8eb513,MaaS模型评测高级工程师,产品经理;智能体框架,2
job_37e26a89245033a3ec7b,MaaS模型评测高级工程师,产品经理;智能体框架,2
job_3810951c2ec60cf4ea34,王者荣耀IP 3D英雄竞技对抗项目-高级游戏特效设计师（战斗方向）,特效设计;场景设计;游戏策划;动画设计;性能优化,5
job_38110d4203406eaeb312,单板硬件工程师,场景设计;产品经理;人工智能;ARM;产品策划,5
job_383a7266d3d49415ac1d,大数据开发工程师,大数据开发;系统架构;ETL;数据质量,4
job_38f76007cfa0cf7d5084,鲲鹏AI Infra高级工程师,人工智能;场景设计;性能优化;渠道运营;云原生;微服务;解决方案;产品经理;Go;Linux;C++;Java;Python,13
job_39012f673048580cf487,腾讯云-大数据产品客户成功经理（北京/深圳）,产品经理;场景设计,2
job_391e0d049b7ffc612b06,数据中心项目建设管理,数据中心;项目管理,2
job_39f33698b8040083775b,游可爱-goLang后台开发工程师-新星引力计划,Go;游戏服务器;内容运营;系统架构,4
job_3a87ebc2a3777e2505eb,linux内核高级研发工程师,Linux;系统架构;产品经理,3
job_3aadc8ca1d2255aeef05,UE微恐轻动作项目-资深3D场景设计师（资产方向）,动画设计;场景设计;内容运营,3
job_3adc643f6692a3ddfc25,Technology Platform-游戏机器学习研究工程师,机器学习;人工智能;图形渲染;动画设计;特效设计;AIGC;游戏策划,7
job_3aee3e46b5c27cfcd724,企业微信-多模态大模型算法工程师 -音频方向,多模态;大模型;人工智能;场景设计;模型训练;模型微调;UX设计;游戏服务器,8
job_3b33a9a1d68b69fd8f6a,SLG-unity客户端开发工程师,游戏客户端;游戏策划,2
job_3b5d56865365a660d9b6,PUBG Mobile-游戏后台开发工程师-工程方向-新星引力计划,商业分析;游戏服务器;性能优化;人工智能,4
job_3b6a02869943bafd62ef,UE微恐轻动作项目-资深2D角色设计师,动画设计;概念设计;内容运营,3
job_3ba2e58a595c3b434c26,和平精英-IP文学策划,游戏策划;角色设计;内容运营;产品经理,4
job_3cd0d58f17d29a9dfeb5,《暗区突围》手游-UE4客户端开发工程师gameplay方向-新星引力计划,游戏客户端,1
job_3dfc51808877e5326583,智慧行业四部—解决方案架构师(AI方向）上海,解决方案;人工智能;用户增长;市场宣发;产品经理,5
job_3e18b3a3bdc66e0f7d7e,《元梦之星》-研发项目管理-特性方向,项目管理;游戏策划;解决方案,3
job_3e79ac5f1e90f74e607d,魂斗罗-服务器开发工程师-新星引力计划,游戏服务器;系统架构;场景设计,3
job_3eb201dc528d8bc350cd,资源交付计划经理,解决方案;场景设计,2
job_3fe22c656b07e1fbd1b3,企业微信-大模型算法工程师-记忆系统（北京/成都）,大模型;人工智能;场景设计,3
job_4015f6c5a1a3515c7c72,大数据运维工程师,运维;数据平台,2
job_4026d46b9f05f3d9278f,微信游戏-大模型推荐算法工程师-大模型方向,大模型;推荐算法;社区运营;场景设计;用户增长,5
job_412b75dd5e1df30a74ba,AI软件平台与系统教练,人工智能;产品经理;AI平台;系统架构;大模型;多模态;渠道运营;智能体;工具调用,9
job_41476494405baafef62e,资源供需计划工程师(深圳),供应链,1
job_41dd219dd9a4771ed385,《异人之下》高级研发项目经理-特性方向,项目管理,1
job_42210294252d66dfd3b9,微信-后台开发工程师-AI方向,游戏服务器;人工智能;C++;性能优化;分布式系统,5
job_4241a029acf328ea3921,PUBG Mobile-游戏客户端开发工程师(AI 方向)-新星引力计划,商业分析;游戏客户端;人工智能;AIGC;内容运营;系统架构;性能优化,7
job_426bdddc036d435bfed5,微信搜索-AI Infra工程师-大模型后训练与RL方向（北京）（深圳）,人工智能;大模型;场景设计,3
job_4323e0ca550f945c4631,机器学习平台研发工程师（深圳/北京）,机器学习平台;系统架构;大模型;机器学习;场景设计;UX设计;资源管理;运维,8
job_436d82652ff4b148c3cc,金铲铲之战高清版-Unity3D游戏客户端工程师-系统开发向,游戏客户端;游戏策划,2
job_4393ea89c757d888a920,通讯-平台产品经理-商业化方向,产品经理;产品策划;用户增长;市场宣发,4
